{'statement': 'You are looking for a city with warm weather. Between Barranquilla and Sacramento, you should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sacramento'}
{'statement': 'You are looking for a city with warm weather. Between Suva and Minneapolis, you should visit Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a city with warm weather. Between Port Sudan and Buenos Aires, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a city with warm weather. Between Wau and Bratislava, you should visit Wau.', 'answer': 'Wau', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a city with warm weather. Between Ho Chi Minh City and Ushuaia, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Ushuaia'}
{'statement': 'You are looking for a city with warm weather. Between Managua and Napier, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Napier'}
{'statement': 'You are looking for a city with warm weather. Between Bamako and Milwaukee, you should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Milwaukee'}
{'statement': 'You are looking for a city with warm weather. Between Shanghai and Ottawa, you should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Ottawa'}
{'statement': 'You are looking for a city with warm weather. Between Willemstad and Vienna, you should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Vienna'}
{'statement': 'You are looking for a city with warm weather. Between Bujumbura and Ljubljana, you should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Ljubljana'}
{'statement': 'You are looking for a city with warm weather. Between Guangzhou and Almaty, you should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Almaty'}
{'statement': 'You are looking for a city with warm weather. Between Porto Alegre and Copenhagen, you should visit Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Copenhagen'}
{'statement': 'You are looking for a city with warm weather. Between Luanda and Ürümqi, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Ürümqi'}
{'statement': 'You are looking for a city with warm weather. Between San Juan and Addis Ababa, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Addis Ababa'}
{'statement': 'You are looking for a city with warm weather. Between Valencia and Saint Petersburg, you should visit Valencia.', 'answer': 'Valencia', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a city with warm weather. Between Wau and Anchorage, you should visit Wau.', 'answer': 'Wau', 'candidate': 'Anchorage'}
{'statement': 'You are looking for a city with warm weather. Between Mombasa and Toluca, you should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Toluca'}
{'statement': 'You are looking for a city with warm weather. Between Dodoma and Saskatoon, you should visit Dodoma.', 'answer': 'Dodoma', 'candidate': 'Saskatoon'}
{'statement': 'You are looking for a city with warm weather. Between Bujumbura and Indianapolis, you should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Indianapolis'}
{'statement': 'You are looking for a city with warm weather. Between Lusaka and Zürich, you should visit Lusaka.', 'answer': 'Lusaka', 'candidate': 'Zürich'}
{'statement': 'You are looking for a city with warm weather. Between Honolulu and Rome, you should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Rome'}
{'statement': 'You are looking for a city with warm weather. Between Mumbai and Cape Town, you should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Cape Town'}
{'statement': 'You are looking for a city with warm weather. Between Kunming and Erzurum, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Erzurum'}
{'statement': 'You are looking for a city with warm weather. Between Perth and Nur-Sultan, you should visit Perth.', 'answer': 'Perth', 'candidate': 'Nur-Sultan'}
{'statement': 'You are looking for a city with warm weather. Between Barranquilla and Yakutsk, you should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a city with warm weather. Between Lusaka and Kuopio, you should visit Lusaka.', 'answer': 'Lusaka', 'candidate': 'Kuopio'}
{'statement': 'You are looking for a city with warm weather. Between Managua and Reykjavík, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Reykjavík'}
{'statement': 'You are looking for a city with warm weather. Between Mandalay and Zürich, you should visit Mandalay.', 'answer': 'Mandalay', 'candidate': 'Zürich'}
{'statement': 'You are looking for a city with warm weather. Between Guadalajara and Chicago, you should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Chicago'}
{'statement': 'You are looking for a city with warm weather. Between San Juan and Palmerston North, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Palmerston North'}
{'statement': 'You are looking for a city with warm weather. Between Hat Yai and Campos do Jordão, you should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Campos do Jordão'}
{'statement': 'You are looking for a city with warm weather. Between Tamanrasset and Zagreb, you should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Zagreb'}
{'statement': 'You are looking for a city with warm weather. Between Willemstad and Kuopio, you should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Kuopio'}
{'statement': 'You are looking for a city with warm weather. Between Baghdad and Dublin, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Dublin'}
{'statement': 'You are looking for a city with warm weather. Between Nouakchott and Rome, you should visit Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Rome'}
{'statement': 'You are looking for a city with warm weather. Between Rangpur and Milan, you should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Milan'}
{'statement': 'You are looking for a city with warm weather. Between Phnom Penh and Christchurch, you should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Christchurch'}
{'statement': 'You are looking for a city with warm weather. Between Caracas and Murmansk, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a city with warm weather. Between Kingston and Johannesburg, you should visit Kingston.', 'answer': 'Kingston', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a city with warm weather. Between Suva and Melbourne, you should visit Suva.', 'answer': 'Suva', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a city with warm weather. Between Cotonou and Sapporo, you should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Sapporo'}
{'statement': 'You are looking for a city with warm weather. Between Valencia and Halifax, you should visit Valencia.', 'answer': 'Valencia', 'candidate': 'Halifax'}
{'statement': 'You are looking for a city with warm weather. Between Port Moresby and Sapporo, you should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Sapporo'}
{'statement': 'You are looking for a city with warm weather. Between Thiès and Frankfurt, you should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Frankfurt'}
{'statement': 'You are looking for a city with warm weather. Between Ljubljana and Yakutsk, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a city with warm weather. Between Lomé and Saskatoon, you should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Saskatoon'}
{'statement': 'You are looking for a city with warm weather. Between Upington and Irkutsk, you should visit Upington.', 'answer': 'Upington', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a city with warm weather. Between Nouadhibou and Halifax, you should visit Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Halifax'}
{'statement': 'You are looking for a city with warm weather. Between Riyadh and Frankfurt, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Frankfurt'}
{'statement': 'You are looking for a city with warm weather. Between Sokoto and Sapporo, you should visit Sokoto.', 'answer': 'Sokoto', 'candidate': 'Sapporo'}
{'statement': 'You are looking for a city with warm weather. Between Tamanrasset and Minneapolis, you should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a city with warm weather. Between Mahajanga and Bergen, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'You are looking for a city with warm weather. Between Phnom Penh and Ljubljana, you should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Ljubljana'}
{'statement': 'You are looking for a city with warm weather. Between Ségou and Lhasa, you should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Lhasa'}
{'statement': 'You are looking for a city with warm weather. Between Albuquerque and Yakutsk, you should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a city with warm weather. Between Bangui and Minneapolis, you should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Minneapolis'}
{'statement': 'You are looking for a city with warm weather. Between Kano and Belgrade, you should visit Kano.', 'answer': 'Kano', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a city with warm weather. Between Caracas and Berlin, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Berlin'}
{'statement': 'You are looking for a city with warm weather. Between Gabès and Yakutsk, you should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Yakutsk'}
{'statement': 'You are looking for a city with warm weather. Between Mombasa and Christchurch, you should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Christchurch'}
{'statement': 'You are looking for a city with warm weather. Between Port Moresby and Irkutsk, you should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a city with warm weather. Between Florianópolis and Novosibirsk, you should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Novosibirsk'}
