{'statement': 'You are looking for a city with warm weather. Between Garoua and Belgrade, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a city with warm weather. Between Port Moresby and Wellington, you should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Wellington'}
{'statement': 'You are looking for a city with warm weather. Between Panama City and Kuopio, you should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Kuopio'}
{'statement': 'You are looking for a city with warm weather. Between Rabat and Saint Petersburg, you should visit Rabat.', 'answer': 'Rabat', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a city with warm weather. Between Dar es Salaam and Murmansk, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a city with warm weather. Between Bangkok and Milwaukee, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Milwaukee'}
{'statement': 'You are looking for a city with warm weather. Between Baghdad and Zürich, you should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Zürich'}
{'statement': 'You are looking for a city with warm weather. Between Caracas and Fairbanks, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a city with warm weather. Between Bahía Blanca and Fairbanks, you should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a city with warm weather. Between Mombasa and Addis Ababa, you should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Addis Ababa'}
{'statement': 'You are looking for a city with warm weather. Between San Juan and Albuquerque, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Albuquerque'}
{'statement': 'You are looking for a city with warm weather. Between Benghazi and Toronto, you should visit Benghazi.', 'answer': 'Benghazi', 'candidate': 'Toronto'}
{'statement': 'You are looking for a city with warm weather. Between Djibouti and Fukuoka, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a city with warm weather. Between Brisbane and Novosibirsk, you should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'You are looking for a city with warm weather. Between Bangkok and Johannesburg, you should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a city with warm weather. Between Alexandria and Lviv, you should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lviv'}
{'statement': 'You are looking for a city with warm weather. Between Fianarantsoa and Saint Petersburg, you should visit Fianarantsoa.', 'answer': 'Fianarantsoa', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a city with warm weather. Between Belize City and Moscow, you should visit Belize City.', 'answer': 'Belize City', 'candidate': 'Moscow'}
{'statement': 'You are looking for a city with warm weather. Between Toliara and Milwaukee, you should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Milwaukee'}
{'statement': 'You are looking for a city with warm weather. Between Goiânia and Oslo, you should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Oslo'}
{'statement': 'You are looking for a city with warm weather. Between Garissa and Lisbon, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Lisbon'}
{'statement': 'You are looking for a city with warm weather. Between Kabul and Ulaanbaatar, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Ulaanbaatar'}
{'statement': 'You are looking for a city with warm weather. Between Kansas City and Murmansk, you should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a city with warm weather. Between Nakhon Ratchasima and Wellington, you should visit Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Wellington'}
{'statement': 'You are looking for a city with warm weather. Between Garissa and Tauranga, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Tauranga'}
{'statement': 'You are looking for a city with warm weather. Between Managua and Saskatoon, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Saskatoon'}
{'statement': 'You are looking for a city with warm weather. Between Riyadh and Vladivostok, you should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Vladivostok'}
{'statement': 'You are looking for a city with warm weather. Between Boise and Fairbanks, you should visit Boise.', 'answer': 'Boise', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a city with warm weather. Between Cotonou and Tirana, you should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Tirana'}
{'statement': 'You are looking for a city with warm weather. Between Paramaribo and Erzurum, you should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Erzurum'}
{'statement': 'You are looking for a city with warm weather. Between Entebbe and Vienna, you should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Vienna'}
{'statement': 'You are looking for a city with warm weather. Between Jakarta and Moscow, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Moscow'}
{'statement': 'You are looking for a city with warm weather. Between Dar es Salaam and Canberra, you should visit Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Canberra'}
{'statement': 'You are looking for a city with warm weather. Between Toliara and Vladivostok, you should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Vladivostok'}
{'statement': 'You are looking for a city with warm weather. Between Suva and Dublin, you should visit Suva.', 'answer': 'Suva', 'candidate': 'Dublin'}
{'statement': 'You are looking for a city with warm weather. Between Kathmandu and Minsk, you should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Minsk'}
{'statement': 'You are looking for a city with warm weather. Between Makurdi and Pittsburgh, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Pittsburgh'}
{'statement': 'You are looking for a city with warm weather. Between Jakarta and Yinchuan, you should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Yinchuan'}
{'statement': 'You are looking for a city with warm weather. Between Caracas and Bishkek, you should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Bishkek'}
{'statement': 'You are looking for a city with warm weather. Between Brisbane and Amsterdam, you should visit Brisbane.', 'answer': 'Brisbane', 'candidate': 'Amsterdam'}
{'statement': 'You are looking for a city with warm weather. Between Yaoundé and Bucharest, you should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Bucharest'}
{'statement': 'You are looking for a city with warm weather. Between Panama City and Changsha, you should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Changsha'}
{'statement': 'You are looking for a city with warm weather. Between Tamanrasset and Lviv, you should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Lviv'}
{'statement': 'You are looking for a city with warm weather. Between Monterrey and Ottawa, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Ottawa'}
{'statement': 'You are looking for a city with warm weather. Between Cayenne and Anchorage, you should visit Cayenne.', 'answer': 'Cayenne', 'candidate': 'Anchorage'}
{'statement': 'You are looking for a city with warm weather. Between Panama City and Almaty, you should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Almaty'}
{'statement': 'You are looking for a city with warm weather. Between Phoenix and Bratislava, you should visit Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bratislava'}
{'statement': 'You are looking for a city with warm weather. Between Tampa and Murmansk, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Murmansk'}
{'statement': 'You are looking for a city with warm weather. Between Barranquilla and Bratislava, you should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Bratislava'}
