{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Kansas City, this person should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Dodoma, this person should visit Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Minneapolis, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Garissa, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Mahajanga, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Shanghai and Cape Town, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Shanghai'}
{'statement': 'Someone is looking for a small city to visit. Between Bogotá and Douala, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a small city to visit. Between Brasília and Campos do Jordão, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Asmara, this person should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Moscow and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Denver and Upington, this person should visit Upington.', 'answer': 'Upington', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Murmansk, this person should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Garoua, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Palermo, this person should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Denver and Bergen, this person should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Asmara, this person should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Monterrey and Kathmandu, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Tampa, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Baltimore, this person should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Lima and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Pretoria, this person should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Guadalajara and Honolulu, this person should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a small city to visit. Between Moscow and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Tabora, this person should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Tabora, this person should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Palembang, this person should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Palermo, this person should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Kano, this person should visit Kano.', 'answer': 'Kano', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Guadalajara, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Lake Havasu City, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Kunming and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Kathmandu, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Perth, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Karachi and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between London and Bamako, this person should visit Bamako.', 'answer': 'Bamako', 'candidate': 'London'}
