{'statement': 'Between Córdoba and Abéché, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Córdoba'}
{'statement': 'Between Fairbanks and Wau, the city with warmer weather is Wau.', 'answer': 'Wau', 'candidate': 'Fairbanks'}
{'statement': 'Between Rome and Mumbai, the city with warmer weather is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Rome'}
{'statement': 'Between Sydney and Erzurum, the city with warmer weather is Sydney.', 'answer': 'Sydney', 'candidate': 'Erzurum'}
{'statement': 'Between Ulaanbaatar and Chihuahua, the city with warmer weather is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Skopje and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Skopje'}
{'statement': 'Between Cayenne and Ürümqi, the city with warmer weather is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Ürümqi'}
{'statement': 'Between Fairbanks and Bergen, the city with warmer weather is Bergen.', 'answer': 'Bergen', 'candidate': 'Fairbanks'}
{'statement': 'Between Lima and Oslo, the city with warmer weather is Lima.', 'answer': 'Lima', 'candidate': 'Oslo'}
{'statement': 'Between Baku and Abéché, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Baku'}
{'statement': 'Between Podgorica and Belize City, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Podgorica'}
{'statement': 'Between Belize City and Frankfurt, the city with warmer weather is Belize City.', 'answer': 'Belize City', 'candidate': 'Frankfurt'}
{'statement': 'Between Algiers and Willemstad, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Algiers'}
{'statement': 'Between Port Moresby and Moscow, the city with warmer weather is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Moscow'}
{'statement': 'Between Halifax and Bangui, the city with warmer weather is Bangui.', 'answer': 'Bangui', 'candidate': 'Halifax'}
{'statement': 'Between Minsk and Sokoto, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Minsk'}
{'statement': 'Between Denver and Lake Havasu City, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Denver'}
{'statement': 'Between Toronto and San Juan, the city with warmer weather is San Juan.', 'answer': 'San Juan', 'candidate': 'Toronto'}
{'statement': 'Between Malabo and Cape Town, the city with warmer weather is Malabo.', 'answer': 'Malabo', 'candidate': 'Cape Town'}
{'statement': 'Between Riyadh and Napier, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Napier'}
{'statement': 'Between Karachi and Saint Petersburg, the city with warmer weather is Karachi.', 'answer': 'Karachi', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Boise and Cabo San Lucas, the city with warmer weather is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Boise'}
{'statement': 'Between Minsk and Phnom Penh, the city with warmer weather is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Minsk'}
{'statement': 'Between Manila and Ankara, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Between Juba and Mexico City, the city with warmer weather is Juba.', 'answer': 'Juba', 'candidate': 'Mexico City'}
{'statement': 'Between Niamey and Campos do Jordão, the city with warmer weather is Niamey.', 'answer': 'Niamey', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Phoenix and Denver, the city with warmer weather is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Denver'}
{'statement': 'Between Kingston and Boise, the city with warmer weather is Kingston.', 'answer': 'Kingston', 'candidate': 'Boise'}
{'statement': 'Between Lagos and Calgary, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'Calgary'}
{'statement': 'Between Bahía Blanca and Erzurum, the city with warmer weather is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Erzurum'}
{'statement': 'Between Algiers and Bangkok, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Algiers'}
{'statement': 'Between Garissa and Campos do Jordão, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Paris and Dodoma, the city with warmer weather is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Paris'}
{'statement': 'Between Algiers and Abéché, the city with warmer weather is Abéché.', 'answer': 'Abéché', 'candidate': 'Algiers'}
{'statement': 'Between Paris and Palembang, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Paris'}
{'statement': 'Between Punta Arenas and Lomé, the city with warmer weather is Lomé.', 'answer': 'Lomé', 'candidate': 'Punta Arenas'}
{'statement': 'Between Kunming and Palembang, the city with warmer weather is Palembang.', 'answer': 'Palembang', 'candidate': 'Kunming'}
{'statement': 'Between Ushuaia and Toamasina, the city with warmer weather is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Ushuaia'}
{'statement': 'Between Mandalay and Kabul, the city with warmer weather is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Kabul'}
{'statement': 'Between Mombasa and Palmerston North, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Palmerston North'}
{'statement': 'Between Dublin and Cayenne, the city with warmer weather is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Dublin'}
{'statement': 'Between Sucre and Surabaya, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Sucre'}
{'statement': 'Between Kuopio and Addis Ababa, the city with warmer weather is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Kuopio'}
{'statement': 'Between Saint Petersburg and Rabat, the city with warmer weather is Rabat.', 'answer': 'Rabat', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Cabo San Lucas and Punta Arenas, the city with warmer weather is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Punta Arenas'}
{'statement': 'Between Tauranga and Aden, the city with warmer weather is Aden.', 'answer': 'Aden', 'candidate': 'Tauranga'}
{'statement': 'Between Addis Ababa and Cayenne, the city with warmer weather is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Addis Ababa'}
{'statement': 'Between Rangpur and Kuopio, the city with warmer weather is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Kuopio'}
{'statement': 'Between Manila and Lyon, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Lyon'}
{'statement': 'Between Niamey and Quito, the city with warmer weather is Niamey.', 'answer': 'Niamey', 'candidate': 'Quito'}
{'statement': 'Between Minneapolis and Gabès, the city with warmer weather is Gabès.', 'answer': 'Gabès', 'candidate': 'Minneapolis'}
{'statement': 'Between Nakhon Ratchasima and Napier, the city with warmer weather is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Napier'}
{'statement': 'Between Maputo and Lviv, the city with warmer weather is Maputo.', 'answer': 'Maputo', 'candidate': 'Lviv'}
{'statement': 'Between Sokoto and Sacramento, the city with warmer weather is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Sacramento'}
{'statement': 'Between Willemstad and Sydney, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Sydney'}
{'statement': 'Between Manila and Changsha, the city with warmer weather is Manila.', 'answer': 'Manila', 'candidate': 'Changsha'}
{'statement': 'Between Brussels and Suva, the city with warmer weather is Suva.', 'answer': 'Suva', 'candidate': 'Brussels'}
{'statement': 'Between Zürich and Riyadh, the city with warmer weather is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Zürich'}
{'statement': 'Between Garissa and Minneapolis, the city with warmer weather is Garissa.', 'answer': 'Garissa', 'candidate': 'Minneapolis'}
{'statement': 'Between Beirut and Irkutsk, the city with warmer weather is Beirut.', 'answer': 'Beirut', 'candidate': 'Irkutsk'}
{'statement': 'Between Neuquén and Manaus, the city with warmer weather is Manaus.', 'answer': 'Manaus', 'candidate': 'Neuquén'}
{'statement': 'Between Malabo and Sucre, the city with warmer weather is Malabo.', 'answer': 'Malabo', 'candidate': 'Sucre'}
{'statement': 'Between Reykjavík and Changsha, the city with warmer weather is Changsha.', 'answer': 'Changsha', 'candidate': 'Reykjavík'}
{'statement': 'Between Napier and Calgary, the city with warmer weather is Napier.', 'answer': 'Napier', 'candidate': 'Calgary'}
