{'statement': 'Someone is looking for a big city to visit. Between Changsha and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Changsha'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and Managua, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Managua'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Gabès, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Cayenne, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a big city to visit. Between Ürümqi and Canberra, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a big city to visit. Between Dublin and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Dublin'}
{'statement': 'Someone is looking for a big city to visit. Between Niamey and Algiers, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Guadalajara, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and Cairo, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Honolulu, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Johannesburg, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Damascus, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Damascus'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Ürümqi, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a big city to visit. Between Denpasar and Kuwait City, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Denpasar'}
