{'statement': 'Between Addis Ababa and Cotonou, the bigger city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cotonou'}
{'statement': 'Between Chicago and Baku, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Baku'}
{'statement': 'Between Medellín and Garoua, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Garoua'}
{'statement': 'Between Perth and Suwałki, the bigger city is Perth.', 'answer': 'Perth', 'candidate': 'Suwałki'}
{'statement': 'Between Los Angeles and Lomé, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Lomé'}
{'statement': 'Between Houston and Bishkek, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Bishkek'}
{'statement': 'Between Paris and Cape Town, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Cape Town'}
{'statement': 'Between Melbourne and Ouahigouya, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ouahigouya'}
{'statement': 'Between Guadalajara and Kuopio, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kuopio'}
{'statement': 'Between Nairobi and Pretoria, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Pretoria'}
{'statement': 'Between London and Bujumbura, the bigger city is London.', 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': 'Between Saint Petersburg and Novosibirsk, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Novosibirsk'}
{'statement': 'Between Luanda and Podgorica, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Podgorica'}
{'statement': 'Between Shanghai and Belgrade, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Belgrade'}
{'statement': 'Between Houston and Ouahigouya, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Ouahigouya'}
{'statement': 'Between Fukuoka and Nouadhibou, the bigger city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'Between Sydney and Garoua, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Garoua'}
{'statement': 'Between Kabul and Garissa, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Garissa'}
{'statement': 'Between Mexico City and Changsha, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Changsha'}
{'statement': 'Between Kunming and Nur-Sultan, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Mumbai and Ouahigouya, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Ouahigouya'}
{'statement': 'Between Sydney and Kuopio, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Kuopio'}
{'statement': 'Between Ankara and Cotonou, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Cotonou'}
{'statement': 'Between Riyadh and Erbil, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Erbil'}
{'statement': 'Between Toronto and Makurdi, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Makurdi'}
{'statement': 'Between Los Angeles and Changsha, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Changsha'}
{'statement': 'Between London and Barranquilla, the bigger city is London.', 'answer': 'London', 'candidate': 'Barranquilla'}
{'statement': 'Between Ankara and Skopje, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Skopje'}
{'statement': 'Between Karachi and Kano, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Kano'}
{'statement': 'Between Cairo and Sokoto, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Sokoto'}
{'statement': 'Between London and Pontianak, the bigger city is London.', 'answer': 'London', 'candidate': 'Pontianak'}
{'statement': 'Between Los Angeles and Belgrade, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Belgrade'}
{'statement': 'Between Melbourne and Zagreb, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Zagreb'}
{'statement': 'Between Bogotá and Porto Alegre, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Porto Alegre'}
{'statement': 'Between Saint Petersburg and Zagreb, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Zagreb'}
{'statement': 'Between Guangzhou and Amsterdam, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Amsterdam'}
{'statement': 'Between Hanoi and Bamako, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bamako'}
{'statement': 'Between Los Angeles and Kunming, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Kunming'}
{'statement': 'Between Lagos and Berlin, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Berlin'}
{'statement': 'Between Los Angeles and Tirana, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Tirana'}
{'statement': 'Between Lagos and Panama City, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Panama City'}
{'statement': 'Between Ho Chi Minh City and Almaty, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Almaty'}
{'statement': 'Between London and Garissa, the bigger city is London.', 'answer': 'London', 'candidate': 'Garissa'}
{'statement': 'Between Buenos Aires and Bratislava, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Bratislava'}
{'statement': 'Between Guadalajara and Maputo, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Maputo'}
{'statement': 'Between Alexandria and Nakhon Ratchasima, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Dar es Salaam and Tabora, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Tabora'}
{'statement': 'Between Shanghai and Yakutsk, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Yakutsk'}
{'statement': 'Between Riyadh and Palembang, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palembang'}
{'statement': 'Between Buenos Aires and Pittsburgh, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Pittsburgh'}
{'statement': 'Between Phoenix and Nouakchott, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Nouakchott'}
{'statement': 'Between Minneapolis and Albuquerque, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Albuquerque'}
{'statement': 'Between Monterrey and Upington, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Upington'}
{'statement': 'Between Baghdad and Malabo, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Malabo'}
{'statement': 'Between London and Maputo, the bigger city is London.', 'answer': 'London', 'candidate': 'Maputo'}
{'statement': 'Between Surabaya and Lusaka, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Lusaka'}
{'statement': 'Between Melbourne and Cabo San Lucas, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Sydney and Ulaanbaatar, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Kabul and Asmara, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Asmara'}
{'statement': 'Between Jakarta and Toliara, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Toliara'}
{'statement': 'Between Rome and Fairbanks, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Fairbanks'}
{'statement': 'Between Karachi and Nouadhibou, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Nouadhibou'}
{'statement': 'Between Santiago and Durban, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Durban'}
{'statement': 'Between Lima and Managua, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Managua'}
{'statement': 'Between Manila and Brussels, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Brussels'}
{'statement': 'Between Lima and Port Moresby, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Port Moresby'}
{'statement': 'Between Johannesburg and Lake Havasu City, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Baghdad and Novosibirsk, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Novosibirsk'}
{'statement': 'Between Shanghai and Baltimore, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Baltimore'}
{'statement': 'Between Guangzhou and Melbourne, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Melbourne'}
{'statement': 'Between Ankara and Anchorage, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Anchorage'}
{'statement': 'Between Johannesburg and Reykjavík, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Reykjavík'}
{'statement': 'Between Alexandria and Baku, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Baku'}
{'statement': 'Between Buenos Aires and Mandalay, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Mandalay'}
{'statement': 'Between Houston and Bergen, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Bergen'}
{'statement': 'Between Harare and Abéché, the bigger city is Harare.', 'answer': 'Harare', 'candidate': 'Abéché'}
{'statement': 'Between Kuwait City and Gabès, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Gabès'}
{'statement': 'Between Kuwait City and Reykjavík, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Reykjavík'}
{'statement': 'Between Sydney and Ottawa, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Ottawa'}
{'statement': 'Between Dar es Salaam and Makurdi, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Makurdi'}
{'statement': 'Between Ho Chi Minh City and Mahajanga, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Mahajanga'}
{'statement': 'Between Shanghai and Entebbe, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Entebbe'}
{'statement': 'Between Shanghai and Sokoto, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Sokoto'}
{'statement': 'Between Douala and Tirana, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Tirana'}
{'statement': 'Between Ankara and Amsterdam, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Amsterdam'}
{'statement': 'Between Tashkent and Anchorage, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Anchorage'}
