{'statement': 'Someone is looking for a city with cold weather. Between Córdoba and Abéché, this person should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Fairbanks and Wau, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a city with cold weather. Between Rome and Mumbai, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a city with cold weather. Between Sydney and Erzurum, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a city with cold weather. Between Ulaanbaatar and Chihuahua, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Chihuahua'}
{'statement': 'Someone is looking for a city with cold weather. Between Mahajanga and Skopje, this person should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a city with cold weather. Between Ürümqi and Cayenne, this person should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a city with cold weather. Between Fairbanks and Bergen, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bergen'}
{'statement': 'Someone is looking for a city with cold weather. Between Oslo and Lima, this person should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a city with cold weather. Between Abéché and Baku, this person should visit Baku.', 'answer': 'Baku', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Podgorica and Belize City, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between Frankfurt and Belize City, this person should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Algiers, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Moresby and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Port Moresby'}
{'statement': 'Someone is looking for a city with cold weather. Between Bangui and Halifax, this person should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Bangui'}
{'statement': 'Someone is looking for a city with cold weather. Between Minsk and Sokoto, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Sokoto'}
{'statement': 'Someone is looking for a city with cold weather. Between Denver and Lake Havasu City, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Toronto, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Malabo and Cape Town, this person should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Malabo'}
{'statement': 'Someone is looking for a city with cold weather. Between Riyadh and Napier, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a city with cold weather. Between Karachi and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a city with cold weather. Between Cabo San Lucas and Boise, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a city with cold weather. Between Phnom Penh and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a city with cold weather. Between Ankara and Manila, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Juba and Mexico City, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a city with cold weather. Between Campos do Jordão and Niamey, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a city with cold weather. Between Phoenix and Denver, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a city with cold weather. Between Boise and Kingston, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'Kingston'}
{'statement': 'Someone is looking for a city with cold weather. Between Calgary and Lagos, this person should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a city with cold weather. Between Erzurum and Bahía Blanca, this person should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Bahía Blanca'}
{'statement': 'Someone is looking for a city with cold weather. Between Algiers and Bangkok, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a city with cold weather. Between Campos do Jordão and Garissa, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a city with cold weather. Between Paris and Dodoma, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a city with cold weather. Between Algiers and Abéché, this person should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Abéché'}
{'statement': 'Someone is looking for a city with cold weather. Between Palembang and Paris, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a city with cold weather. Between Lomé and Punta Arenas, this person should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a city with cold weather. Between Kunming and Palembang, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a city with cold weather. Between Toamasina and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Toamasina'}
{'statement': 'Someone is looking for a city with cold weather. Between Kabul and Mandalay, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a city with cold weather. Between Mombasa and Palmerston North, this person should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a city with cold weather. Between Dublin and Cayenne, this person should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a city with cold weather. Between Sucre and Surabaya, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a city with cold weather. Between Kuopio and Addis Ababa, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a city with cold weather. Between Rabat and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Rabat'}
{'statement': 'Someone is looking for a city with cold weather. Between Cabo San Lucas and Punta Arenas, this person should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Cabo San Lucas'}
{'statement': 'Someone is looking for a city with cold weather. Between Tauranga and Aden, this person should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Aden'}
{'statement': 'Someone is looking for a city with cold weather. Between Addis Ababa and Cayenne, this person should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a city with cold weather. Between Kuopio and Rangpur, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Rangpur'}
{'statement': 'Someone is looking for a city with cold weather. Between Lyon and Manila, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Niamey and Quito, this person should visit Quito.', 'answer': 'Quito', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a city with cold weather. Between Minneapolis and Gabès, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a city with cold weather. Between Napier and Nakhon Ratchasima, this person should visit Napier.', 'answer': 'Napier', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Someone is looking for a city with cold weather. Between Maputo and Lviv, this person should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Maputo'}
{'statement': 'Someone is looking for a city with cold weather. Between Sacramento and Sokoto, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Sokoto'}
{'statement': 'Someone is looking for a city with cold weather. Between Sydney and Willemstad, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Changsha and Manila, this person should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Manila'}
