{'statement': 'Between Kabul and Changsha, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Changsha'}
{'statement': 'Between Managua and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Managua'}
{'statement': 'Between Gabès and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Gabès'}
{'statement': 'Between Buenos Aires and Cayenne, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Cayenne'}
{'statement': 'Between Ürümqi and Canberra, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Canberra'}
{'statement': 'Between Paris and Dublin, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Dublin'}
{'statement': 'Between Niamey and Algiers, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Niamey'}
{'statement': 'Between Guadalajara and Lima, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Guadalajara'}
{'statement': 'Between Cairo and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cairo'}
{'statement': 'Between Honolulu and Guangzhou, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Honolulu'}
{'statement': 'Between Johannesburg and Santiago, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Johannesburg'}
{'statement': 'Between Damascus and Chicago, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Damascus'}
{'statement': 'Between Saint Petersburg and Ürümqi, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ürümqi'}
{'statement': 'Between Denpasar and Kuwait City, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Denpasar'}
{'statement': 'Between Houston and Brussels, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Brussels'}
{'statement': 'Between Hanoi and Mendoza, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Mendoza'}
{'statement': 'Between Tampa and Viedma, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Viedma'}
{'statement': 'Between Port Sudan and Berlin, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Port Sudan'}
{'statement': 'Between Chicago and Djibouti, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Djibouti'}
{'statement': 'Between Shanghai and Douala, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Douala'}
{'statement': 'Between Luanda and Berlin, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Berlin'}
{'statement': 'Between Melbourne and La Paz, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'La Paz'}
{'statement': 'Between Manila and Lviv, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Lviv'}
{'statement': 'Between Luanda and Barranquilla, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Barranquilla'}
{'statement': 'Between Jakarta and Mexicali, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mexicali'}
{'statement': 'Between Hamilton and Tampa, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Hamilton'}
{'statement': 'Between Mumbai and Sokoto, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Sokoto'}
{'statement': 'Between Ankara and Hobart, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Hobart'}
{'statement': 'Between Mumbai and Monterrey, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Monterrey'}
{'statement': 'Between Tampa and Djibouti, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Djibouti'}
{'statement': 'Between Mombasa and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Mombasa'}
{'statement': 'Between Bujumbura and Denver, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Bujumbura'}
{'statement': 'Between Luanda and Skopje, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Skopje'}
{'statement': 'Between Alexandria and Yaoundé, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Yaoundé'}
{'statement': 'Between Bangui and Manila, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Bangui'}
{'statement': 'Between Bogotá and Minneapolis, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Minneapolis'}
{'statement': 'Between Kano and Guadalajara, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kano'}
{'statement': 'Between Thiès and Luanda, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Thiès'}
{'statement': 'Between Nairobi and Denpasar, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Denpasar'}
{'statement': 'Between Mumbai and Podgorica, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Podgorica'}
{'statement': 'Between Honolulu and Jakarta, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Honolulu'}
{'statement': 'Between Paris and Muscat, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Muscat'}
{'statement': 'Between Baghdad and Nakhon Ratchasima, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'Between Oslo and Alexandria, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Oslo'}
{'statement': 'Between Kabul and Ouahigouya, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Ouahigouya'}
{'statement': 'Between Paris and Tauranga, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Tauranga'}
{'statement': 'Between Johannesburg and Brussels, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Brussels'}
{'statement': 'Between Baghdad and Parakou, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Parakou'}
{'statement': 'Between Baghdad and Moscow, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Baghdad'}
{'statement': 'Between London and La Ceiba, the bigger city is London.', 'answer': 'London', 'candidate': 'La Ceiba'}
{'statement': 'Between Mexico City and Mumbai, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mexico City'}
{'statement': 'Between Guangzhou and Paris, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Paris'}
{'statement': 'Between Lima and Ottawa, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Ottawa'}
{'statement': 'Between Ankara and Podgorica, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Podgorica'}
{'statement': 'Between Reykjavík and Luanda, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Reykjavík'}
{'statement': 'Between Makurdi and Tampa, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Makurdi'}
{'statement': 'Between Frankfurt and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Frankfurt'}
{'statement': 'Between Bratislava and Alexandria, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bratislava'}
{'statement': 'Between Lima and Toronto, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Toronto'}
{'statement': 'Between Mexicali and Surabaya, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Mexicali'}
{'statement': 'Between Makassar and Bogotá, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Makassar'}
{'statement': 'Between Sucre and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Sucre'}
{'statement': 'Between Parakou and Ankara, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Parakou'}
{'statement': 'Between London and Kampala, the bigger city is London.', 'answer': 'London', 'candidate': 'Kampala'}
{'statement': 'Between Curitiba and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Curitiba'}
{'statement': 'Between Djibouti and Rome, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Djibouti'}
{'statement': 'Between Neuquén and Manila, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Neuquén'}
{'statement': 'Between Napier and Algiers, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Napier'}
{'statement': 'Between Saskatoon and Surabaya, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Saskatoon'}
{'statement': 'Between Shanghai and Entebbe, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Entebbe'}
{'statement': 'Between Ndola and Kano, the bigger city is Kano.', 'answer': 'Kano', 'candidate': 'Ndola'}
{'statement': 'Between Palembang and Surabaya, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Palembang'}
{'statement': 'Between Ürümqi and Malabo, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Malabo'}
{'statement': 'Between Manila and Piura, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Piura'}
{'statement': 'Between Mexico City and Minneapolis, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Minneapolis'}
{'statement': 'Between Santiago and Mendoza, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Mendoza'}
{'statement': 'Between Manaus and Riyadh, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Manaus'}
{'statement': 'Between Cairo and Saint Petersburg, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Santiago and Chihuahua, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Chihuahua'}
{'statement': 'Between Mumbai and Kuopio, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kuopio'}
{'statement': 'Between Bahía Blanca and Karachi, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Paris and Mexicali, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Mexicali'}
{'statement': 'Between Brisbane and Ho Chi Minh City, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Brisbane'}
{'statement': 'Between Entebbe and Douala, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Entebbe'}
{'statement': 'Between Florianópolis and Guangzhou, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Florianópolis'}
{'statement': 'Between Managua and Shanghai, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Managua'}
{'statement': 'Between Luanda and Ouahigouya, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Ouahigouya'}
{'statement': 'Between Hat Yai and Baghdad, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Hat Yai'}
{'statement': 'Between Medellín and Dodoma, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Dodoma'}
{'statement': 'Between London and Neuquén, the bigger city is London.', 'answer': 'London', 'candidate': 'Neuquén'}
{'statement': 'Between Guangzhou and Bratislava, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Bratislava'}
{'statement': 'Between Bratislava and Lahore, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Bratislava'}
{'statement': 'Between Beijing and Lagos, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Lagos'}
{'statement': 'Between Mexico City and Guadalajara, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Guadalajara'}
{'statement': 'Between Hanoi and Podgorica, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Podgorica'}
{'statement': 'Between Nouakchott and Beijing, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Nouakchott'}
{'statement': 'Between Beijing and Bergen, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Bergen'}
{'statement': 'Between Shanghai and Tashkent, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tashkent'}
{'statement': 'Between Johannesburg and Mexicali, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Mexicali'}
{'statement': 'Between Moscow and Omaha, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Omaha'}
{'statement': 'Between Toronto and Rosario, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Rosario'}
