{'statement': "You don't like cheap restaurants. Between Mt Everest Restaurant and Sizzlers, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Mirage Grill & Lounge and Ardor Bistro, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between 9 Restaurant and Fitness Avenue, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Shawarma Twist and Farmacia Health Bar, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Madras Pantry, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Pho 88 and Taste of Greek Cuisine, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Carole's Cheesecake Cafe and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like cheap restaurants. Between Anatolia Restaurant and Sizzlers, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Solero Mediterranean Bakery, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and It's All Grk, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "It's All Grk"}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Pasta Pantry, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Pasta Pantry'}
{'statement': "You don't like cheap restaurants. Between Branca and Kim PO Vietnamese, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like cheap restaurants. Between Mövenpick Café and Green Room, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Big Al's Diner and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and Just Soups Take Out & Catering, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Delicious Paradise Kitchen and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Cantine Bar & Grill and Shawarma Twist, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and St. Clair Shawarma and Falafel, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Mi Mi Restaurant and Freshii, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between EJ Sushi and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'EJ Sushi'}
{'statement': "You don't like cheap restaurants. Between Green Room and Kibo Sushi House, you should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Green Room'}
