{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Kansas City, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kansas City'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Dodoma, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Dodoma'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Minneapolis, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Garissa, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a big city to visit. Between Mumbai and Mahajanga, this person should visit Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mahajanga'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and Cape Town, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Douala, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Douala'}
{'statement': 'Someone is looking for a big city to visit. Between Brasília and Campos do Jordão, this person should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Campos do Jordão'}
{'statement': 'Someone is looking for a big city to visit. Between Hanoi and Asmara, this person should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Asmara'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Napier, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Upington, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Upington'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Murmansk, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Garoua, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and San José, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'San José'}
{'statement': 'Someone is looking for a big city to visit. Between Los Angeles and Palermo, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palermo'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Bergen, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Bergen'}
{'statement': 'Someone is looking for a big city to visit. Between Lahore and Asmara, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Asmara'}
{'statement': 'Someone is looking for a big city to visit. Between Monterrey and Kathmandu, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Tampa, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Yakutsk, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Baltimore, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Baltimore'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Irkutsk, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Pretoria, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Pretoria'}
{'statement': 'Someone is looking for a big city to visit. Between Guadalajara and Honolulu, this person should visit Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Honolulu'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Gabès, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Beijing and Tabora, this person should visit Beijing.', 'answer': 'Beijing', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between Minneapolis and Tabora, this person should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Tabora'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Palembang, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a big city to visit. Between Paris and Palermo, this person should visit Paris.', 'answer': 'Paris', 'candidate': 'Palermo'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Kano, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a big city to visit. Between Luanda and Guadalajara, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Guadalajara'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Lake Havasu City, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Canberra, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a big city to visit. Between Kunming and Omaha, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a big city to visit. Between Kuwait City and Kathmandu, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kathmandu'}
{'statement': 'Someone is looking for a big city to visit. Between Chicago and Perth, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a big city to visit. Between Karachi and San José, this person should visit Karachi.', 'answer': 'Karachi', 'candidate': 'San José'}
{'statement': 'Someone is looking for a big city to visit. Between London and Bamako, this person should visit London.', 'answer': 'London', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a big city to visit. Between Santiago and Berlin, this person should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a big city to visit. Between Lima and Lviv, this person should visit Lima.', 'answer': 'Lima', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a big city to visit. Between Lagos and Cape Town, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Cape Town'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Amsterdam, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Amsterdam'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Mexicali, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mexicali'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Mombasa, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mombasa'}
{'statement': 'Someone is looking for a big city to visit. Between Sydney and Brussels, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Port-Gentil, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Port-Gentil'}
