{'statement': 'Someone is looking for a big city to visit. Between Chicago and Mandalay, this person should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Minneapolis, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Manila and Hamilton, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Hamilton'}
{'statement': 'Someone is looking for a big city to visit. Between Kabul and Yinchuan, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Yinchuan'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Goiânia, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Goiânia'}
{'statement': 'Someone is looking for a big city to visit. Between Lahore and Belgrade, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Belgrade'}
{'statement': 'Someone is looking for a big city to visit. Between Jakarta and Ushuaia, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Piura, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a big city to visit. Between Shanghai and Tauranga, this person should visit Shanghai.', 'answer': 'Shanghai', 'candidate': 'Tauranga'}
{'statement': 'Someone is looking for a big city to visit. Between Bangkok and Minneapolis, this person should visit Bangkok.', 'answer': 'Bangkok', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a big city to visit. Between Berlin and Garoua, this person should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Garoua'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Suwałki, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Suwałki'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Toliara, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Toliara'}
{'statement': 'Someone is looking for a big city to visit. Between Johannesburg and Kampala, this person should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Kampala'}
{'statement': 'Someone is looking for a big city to visit. Between Baghdad and Gabès, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Gabès'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Lake Havasu City, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lake Havasu City'}
{'statement': 'Someone is looking for a big city to visit. Between Saint Petersburg and Algiers, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Algiers'}
{'statement': 'Someone is looking for a big city to visit. Between Cairo and Makurdi, this person should visit Cairo.', 'answer': 'Cairo', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a big city to visit. Between Bogotá and Denver, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Sapporo, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a big city to visit. Between Toronto and Tampa, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a big city to visit. Between Buenos Aires and Toronto, this person should visit Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a big city to visit. Between Riyadh and Omaha, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Omaha'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Makassar, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Makassar'}
{'statement': 'Someone is looking for a big city to visit. Between Douala and Boise, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Boise'}
{'statement': 'Someone is looking for a big city to visit. Between Mexico City and Tamanrasset, this person should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tamanrasset'}
{'statement': 'Someone is looking for a big city to visit. Between Lahore and Valencia, this person should visit Lahore.', 'answer': 'Lahore', 'candidate': 'Valencia'}
{'statement': 'Someone is looking for a big city to visit. Between Ho Chi Minh City and Napier, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Napier'}
{'statement': 'Someone is looking for a big city to visit. Between Moscow and Houston, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Houston'}
{'statement': 'Someone is looking for a big city to visit. Between Perth and Palmerston North, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Palmerston North'}
{'statement': 'Someone is looking for a big city to visit. Between Ankara and Tauranga, this person should visit Ankara.', 'answer': 'Ankara', 'candidate': 'Tauranga'}
{'statement': 'Someone is looking for a big city to visit. Between Guangzhou and Piura, this person should visit Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Piura'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Port-Gentil, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a big city to visit. Between Nairobi and Río Gallegos, this person should visit Nairobi.', 'answer': 'Nairobi', 'candidate': 'Río Gallegos'}
{'statement': 'Someone is looking for a big city to visit. Between Alexandria and Bangui, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bangui'}
{'statement': 'Someone is looking for a big city to visit. Between Melbourne and Ségou, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ségou'}
{'statement': 'Someone is looking for a big city to visit. Between Denver and Garissa, this person should visit Denver.', 'answer': 'Denver', 'candidate': 'Garissa'}
