{'statement': "You don't like expensive restaurants. Between Mt Everest Restaurant and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like expensive restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Ardor Bistro and Mirage Grill & Lounge, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like expensive restaurants. Between Druxy's Famous Deli and Lebanese Bakery, you should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Lebanese Bakery'}
{'statement': "You don't like expensive restaurants. Between Fitness Avenue and 9 Restaurant, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': '9 Restaurant'}
{'statement': "You don't like expensive restaurants. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between Farmacia Health Bar and Shawarma Twist, you should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Farmacia Health Bar'}
{'statement': "You don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Pho 88 and Taste of Greek Cuisine, you should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Anatolia Restaurant and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like expensive restaurants. Between Solero Mediterranean Bakery and Harry's Char Broil & Dining Lounge, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like expensive restaurants. Between Ici Bistro and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Ici Bistro'}
{'statement': "You don't like expensive restaurants. Between Pasta Pantry and Ici Bistro, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Ici Bistro'}
{'statement': "You don't like expensive restaurants. Between Branca and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Branca'}
{'statement': "You don't like expensive restaurants. Between Green Room and Mövenpick Café, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like expensive restaurants. Between Big Al's Diner and Basha Middle Eastern Grill, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like expensive restaurants. Between Phil's Original BBQ and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Phil's Original BBQ"}
