{'statement': 'Someone is looking for a city with warm weather. Between Suva and Berlin, this person should visit Suva.', 'answer': 'Suva', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a city with warm weather. Between Baghdad and Halifax, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Halifax'}
{'statement': 'Someone is looking for a city with warm weather. Between Abéché and Kuopio, this person should visit Abéché.', 'answer': 'Abéché', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Garoua and Milan, this person should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Milan'}
{'statement': 'Someone is looking for a city with warm weather. Between Riyadh and Indianapolis, this person should visit Riyadh.', 'answer': 'Riyadh', 'candidate': 'Indianapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Lagos and Podgorica, this person should visit Lagos.', 'answer': 'Lagos', 'candidate': 'Podgorica'}
{'statement': 'Someone is looking for a city with warm weather. Between Mexicali and Milan, this person should visit Mexicali.', 'answer': 'Mexicali', 'candidate': 'Milan'}
{'statement': 'Someone is looking for a city with warm weather. Between Mendoza and Irkutsk, this person should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between San Juan and Baltimore, this person should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Baltimore'}
{'statement': 'Someone is looking for a city with warm weather. Between Garissa and Chicago, this person should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a city with warm weather. Between Pontianak and Moscow, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a city with warm weather. Between Yaoundé and Minsk, this person should visit Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Minsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Mahajanga and Lhasa, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Lhasa'}
