{'statement': 'Someone is looking for a small city to visit. Between Córdoba and Bogotá, this person should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Bogotá'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Palembang, this person should visit Palembang.', 'answer': 'Palembang', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Podgorica, this person should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Bangui, this person should visit Bangui.', 'answer': 'Bangui', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Port Sudan, this person should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Harare, this person should visit Harare.', 'answer': 'Harare', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Caracas, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Ankara and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Ankara'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Kuwait City and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kuwait City'}
{'statement': 'Someone is looking for a small city to visit. Between Ürümqi and Tabora, this person should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and San José, this person should visit San José.', 'answer': 'San José', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Beijing and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Phnom Penh and Guangzhou, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Bangkok and Sucre, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Bangkok'}
{'statement': 'Someone is looking for a small city to visit. Between Jakarta and Fukuoka, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Antofagasta and Lima, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Thiès and Phoenix, this person should visit Thiès.', 'answer': 'Thiès', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a small city to visit. Between Mexico City and Parakou, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Mexico City'}
{'statement': 'Someone is looking for a small city to visit. Between Cairo and Ho Chi Minh City, this person should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Cairo'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Johannesburg and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Suwałki and Luanda, this person should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Managua and Brasília, this person should visit Managua.', 'answer': 'Managua', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Copenhagen, this person should visit Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Christchurch and Monterrey, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Monterrey'}
{'statement': 'Someone is looking for a small city to visit. Between Surabaya and Bamako, this person should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Ouahigouya and Santiago, this person should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Piura and Kunming, this person should visit Piura.', 'answer': 'Piura', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Lomé, this person should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Beirut and Beijing, this person should visit Beirut.', 'answer': 'Beirut', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Ürümqi and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a small city to visit. Between Melbourne and Darwin, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Kabul and Zürich, this person should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Kabul'}
{'statement': 'Someone is looking for a small city to visit. Between Kingston and Lima, this person should visit Kingston.', 'answer': 'Kingston', 'candidate': 'Lima'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Sydney, this person should visit Sydney.', 'answer': 'Sydney', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Rangpur and Johannesburg, this person should visit Rangpur.', 'answer': 'Rangpur', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Nur-Sultan and Karachi, this person should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Jakarta, this person should visit Alexandria.', 'answer': 'Alexandria', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between La Ceiba and Surabaya, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Perth, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Kampala and Baghdad, this person should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Río Gallegos and Minneapolis, this person should visit Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Tamanrasset, this person should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Mombasa and Melbourne, this person should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between San Diego and Lisbon, this person should visit Lisbon.', 'answer': 'Lisbon', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Moscow and Palermo, this person should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Moscow'}
{'statement': 'Someone is looking for a small city to visit. Between Lisbon and Beijing, this person should visit Lisbon.', 'answer': 'Lisbon', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a small city to visit. Between Kathmandu and Lahore, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Christchurch, this person should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Irkutsk and Paris, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Sydney and Toliara, this person should visit Toliara.', 'answer': 'Toliara', 'candidate': 'Sydney'}
{'statement': 'Someone is looking for a small city to visit. Between Ho Chi Minh City and Caracas, this person should visit Caracas.', 'answer': 'Caracas', 'candidate': 'Ho Chi Minh City'}
