{'statement': 'You are looking for a city with cold weather. Between Anchorage and Tampa, you should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'You are looking for a city with cold weather. Between Bamako and Auckland, you should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Bamako'}
{'statement': 'You are looking for a city with cold weather. Between Suwałki and Luanda, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'You are looking for a city with cold weather. Between Sucre and Pontianak, you should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Bergen, you should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Frankfurt and Barranquilla, you should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Lyon and Pontianak, you should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Vladivostok and Port Sudan, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Port Sudan'}
{'statement': 'You are looking for a city with cold weather. Between Kansas City and Managua, you should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Managua'}
{'statement': 'You are looking for a city with cold weather. Between Managua and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Managua'}
{'statement': 'You are looking for a city with cold weather. Between Hanoi and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a city with cold weather. Between Ushuaia and Maputo, you should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Maputo'}
{'statement': 'You are looking for a city with cold weather. Between Bogotá and Suva, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Ottawa and Mendoza, you should visit Ottawa.', 'answer': 'Ottawa', 'candidate': 'Mendoza'}
{'statement': 'You are looking for a city with cold weather. Between Paris and Ulaanbaatar, you should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Paris'}
{'statement': 'You are looking for a city with cold weather. Between Makurdi and London, you should visit London.', 'answer': 'London', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a city with cold weather. Between Irkutsk and Bishkek, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Bishkek'}
{'statement': 'You are looking for a city with cold weather. Between Mexico City and Panama City, you should visit Mexico City.', 'answer': 'Mexico City', 'candidate': 'Panama City'}
{'statement': 'You are looking for a city with cold weather. Between Addis Ababa and Port Moresby, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Port Moresby'}
