{'statement': 'You are looking for a city with warm weather. Between Mahajanga and Bahía Blanca, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bahía Blanca'}
{'statement': 'You are looking for a city with warm weather. Between Douala and Paris, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Paris'}
{'statement': 'You are looking for a city with warm weather. Between La Paz and Erzurum, you should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Erzurum'}
{'statement': 'You are looking for a city with warm weather. Between Kano and Cape Town, you should visit Kano.', 'answer': 'Kano', 'candidate': 'Cape Town'}
{'statement': 'You are looking for a city with warm weather. Between Ho Chi Minh City and Tirana, you should visit Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Tirana'}
{'statement': 'You are looking for a city with warm weather. Between Kuwait City and Bergen, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Bergen'}
{'statement': 'You are looking for a city with warm weather. Between Rosario and Oslo, you should visit Rosario.', 'answer': 'Rosario', 'candidate': 'Oslo'}
{'statement': 'You are looking for a city with warm weather. Between Honolulu and Fairbanks, you should visit Honolulu.', 'answer': 'Honolulu', 'candidate': 'Fairbanks'}
{'statement': 'You are looking for a city with warm weather. Between Hamilton and Calgary, you should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Calgary'}
{'statement': 'You are looking for a city with warm weather. Between Kingston and Pittsburgh, you should visit Kingston.', 'answer': 'Kingston', 'candidate': 'Pittsburgh'}
{'statement': 'You are looking for a city with warm weather. Between Djibouti and Podgorica, you should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Podgorica'}
{'statement': 'You are looking for a city with warm weather. Between Surabaya and Indianapolis, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Indianapolis'}
{'statement': 'You are looking for a city with warm weather. Between Brasília and Calgary, you should visit Brasília.', 'answer': 'Brasília', 'candidate': 'Calgary'}
{'statement': 'You are looking for a city with warm weather. Between San Juan and Bucharest, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Bucharest'}
{'statement': 'You are looking for a city with warm weather. Between Hanoi and Frankfurt, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Frankfurt'}
{'statement': 'You are looking for a city with warm weather. Between Durban and Minneapolis, you should visit Durban.', 'answer': 'Durban', 'candidate': 'Minneapolis'}
