{'statement': 'Between Nairobi and Vientiane, the smaller city is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Nairobi'}
{'statement': 'Between Saskatoon and Guangzhou, the smaller city is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Guangzhou'}
{'statement': 'Between Alexandria and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'Between Thiès and Johannesburg, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Johannesburg'}
{'statement': 'Between Willemstad and Monterrey, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Monterrey'}
{'statement': 'Between Manaus and Paris, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Paris'}
{'statement': 'Between Sydney and Pittsburgh, the smaller city is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Sydney'}
{'statement': 'Between Ürümqi and Hanoi, the smaller city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Hanoi'}
{'statement': 'Between Jakarta and Harare, the smaller city is Harare.', 'answer': 'Harare', 'candidate': 'Jakarta'}
{'statement': 'Between Córdoba and Moscow, the smaller city is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Moscow'}
{'statement': 'Between Luanda and Sydney, the smaller city is Sydney.', 'answer': 'Sydney', 'candidate': 'Luanda'}
{'statement': 'Between Shanghai and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Shanghai'}
{'statement': 'Between Nairobi and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Nairobi'}
{'statement': 'Between Lima and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Lima'}
{'statement': 'Between Kabul and Nur-Sultan, the smaller city is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kabul'}
{'statement': 'Between Goiânia and Paris, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Paris'}
{'statement': 'Between Kuwait City and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Kuwait City'}
{'statement': 'Between La Paz and Kabul, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Kabul'}
{'statement': 'Between Hobart and London, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'London'}
