{'statement': 'Between Bamako and Dublin, the city with colder weather is Dublin.', 'answer': 'Dublin', 'candidate': 'Bamako'}
{'statement': 'Between Willemstad and Baltimore, the city with colder weather is Baltimore.', 'answer': 'Baltimore', 'candidate': 'Willemstad'}
{'statement': 'Between Willemstad and Tirana, the city with colder weather is Tirana.', 'answer': 'Tirana', 'candidate': 'Willemstad'}
{'statement': 'Between Toamasina and Indianapolis, the city with colder weather is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toamasina'}
{'statement': 'Between Pontianak and Zagreb, the city with colder weather is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Pontianak'}
{'statement': 'Between Hat Yai and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Hat Yai'}
{'statement': 'Between Lomé and Lhasa, the city with colder weather is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lomé'}
{'statement': 'Between Muscat and Punta Arenas, the city with colder weather is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Muscat'}
{'statement': 'Between Garissa and Podgorica, the city with colder weather is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Garissa'}
{'statement': 'Between Kathmandu and Suwałki, the city with colder weather is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kathmandu'}
{'statement': 'Between Ouahigouya and Saint Petersburg, the city with colder weather is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ouahigouya'}
{'statement': 'Between Hamilton and Erzurum, the city with colder weather is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Hamilton'}
{'statement': 'Between Douala and Skopje, the city with colder weather is Skopje.', 'answer': 'Skopje', 'candidate': 'Douala'}
{'statement': 'Between Antofagasta and Minsk, the city with colder weather is Minsk.', 'answer': 'Minsk', 'candidate': 'Antofagasta'}
{'statement': 'Between Malabo and Sacramento, the city with colder weather is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Malabo'}
{'statement': 'Between Lusaka and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Lusaka'}
{'statement': 'Between Sydney and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Sydney'}
{'statement': 'Between Tampa and Anchorage, the city with colder weather is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'Between Port Sudan and Ulaanbaatar, the city with colder weather is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Port Sudan'}
{'statement': 'Between Toamasina and Chicago, the city with colder weather is Chicago.', 'answer': 'Chicago', 'candidate': 'Toamasina'}
{'statement': 'Between Florianópolis and Fairbanks, the city with colder weather is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Florianópolis'}
{'statement': 'Between Djibouti and Pittsburgh, the city with colder weather is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Djibouti'}
{'statement': 'Between Abéché and Kabul, the city with colder weather is Kabul.', 'answer': 'Kabul', 'candidate': 'Abéché'}
{'statement': 'Between Antsiranana and Murmansk, the city with colder weather is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Antsiranana'}
{'statement': 'Between La Ceiba and Albuquerque, the city with colder weather is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'La Ceiba'}
