{'statement': 'Between Monterrey and Florianópolis, the smaller city is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Monterrey'}
{'statement': 'Between Saint Petersburg and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Phoenix and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Phoenix'}
{'statement': 'Between Sydney and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Sydney'}
{'statement': 'Between Buenos Aires and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'Between Ürümqi and Cotonou, the smaller city is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ürümqi'}
{'statement': 'Between Tampa and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Tampa'}
{'statement': 'Between Phoenix and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Phoenix'}
{'statement': 'Between Guangzhou and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Guangzhou'}
{'statement': 'Between Medellín and Neuquén, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Medellín'}
{'statement': 'Between Surabaya and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Surabaya'}
{'statement': 'Between Denver and Juba, the smaller city is Juba.', 'answer': 'Juba', 'candidate': 'Denver'}
{'statement': 'Between Lagos and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Lagos'}
{'statement': 'Between Jakarta and Palermo, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Jakarta'}
{'statement': 'Between Karachi and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Karachi'}
{'statement': 'Between Surabaya and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Surabaya'}
{'statement': 'Between Kabul and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Kabul'}
{'statement': 'Between Lagos and Surabaya, the smaller city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Lagos'}
{'statement': 'Between Bangkok and Curitiba, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Lima'}
{'statement': 'Between Denver and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Denver'}
{'statement': 'Between Mexico City and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Pontianak, the smaller city is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Melbourne'}
{'statement': 'Between Douala and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Douala'}
{'statement': 'Between Brisbane and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Brisbane'}
{'statement': 'Between Buenos Aires and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Buenos Aires'}
{'statement': 'Between Guangzhou and Boise, the smaller city is Boise.', 'answer': 'Boise', 'candidate': 'Guangzhou'}
{'statement': 'Between Guangzhou and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Guangzhou'}
{'statement': 'Between Shanghai and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Shanghai'}
{'statement': 'Between Rome and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Rome'}
