{'statement': 'You are looking for a city with cold weather. Between Bamako and Dublin, you should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Bamako'}
{'statement': 'You are looking for a city with cold weather. Between Willemstad and Baltimore, you should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'Willemstad'}
{'statement': 'You are looking for a city with cold weather. Between Willemstad and Tirana, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Willemstad'}
{'statement': 'You are looking for a city with cold weather. Between Toamasina and Indianapolis, you should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toamasina'}
{'statement': 'You are looking for a city with cold weather. Between Pontianak and Zagreb, you should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Hat Yai and Skopje, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Hat Yai'}
{'statement': 'You are looking for a city with cold weather. Between Lomé and Lhasa, you should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Lomé'}
{'statement': 'You are looking for a city with cold weather. Between Muscat and Punta Arenas, you should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Muscat'}
{'statement': 'You are looking for a city with cold weather. Between Garissa and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Garissa'}
{'statement': 'You are looking for a city with cold weather. Between Kathmandu and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a city with cold weather. Between Ouahigouya and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Ouahigouya'}
{'statement': 'You are looking for a city with cold weather. Between Hamilton and Erzurum, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Hamilton'}
{'statement': 'You are looking for a city with cold weather. Between Douala and Skopje, you should visit Skopje.', 'answer': 'Skopje', 'candidate': 'Douala'}
{'statement': 'You are looking for a city with cold weather. Between Antofagasta and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Antofagasta'}
{'statement': 'You are looking for a city with cold weather. Between Malabo and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Malabo'}
{'statement': 'You are looking for a city with cold weather. Between Lusaka and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Lusaka'}
{'statement': 'You are looking for a city with cold weather. Between Sydney and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Sydney'}
{'statement': 'You are looking for a city with cold weather. Between Tampa and Anchorage, you should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Tampa'}
{'statement': 'You are looking for a city with cold weather. Between Port Sudan and Ulaanbaatar, you should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Port Sudan'}
{'statement': 'You are looking for a city with cold weather. Between Toamasina and Chicago, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Toamasina'}
{'statement': 'You are looking for a city with cold weather. Between Florianópolis and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Florianópolis'}
