{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Mirage Grill & Lounge and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like expensive restaurants. Between LCBO and Buk Chang Dong Soon Tofu, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'LCBO'}
{'statement': "You don't like expensive restaurants. Between Juice & Java Cafe and Cake Opera, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between Hina Sushi and Mysteriously Yours Dinner Theatre, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Sichuan Landscape Chinese Restaurant'}
{'statement': "You don't like expensive restaurants. Between LCBO and Queen Pita, you should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'LCBO'}
{'statement': "You don't like expensive restaurants. Between Lebanese Bakery and Supermodel Pizza, you should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Lebanese Bakery'}
{'statement': "You don't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and New Bilan Restaurant, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "You don't like expensive restaurants. Between Chipotle Mexican Grill and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like expensive restaurants. Between Helena's Magic Kitchen and FreshCo, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'FreshCo'}
{'statement': "You don't like expensive restaurants. Between Piper's Pub And Grill and Dinah's Cupboard, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between Top Sushi and Maurya East Indian Roti, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like expensive restaurants. Between La Pupusa Loka and KFC, you should go to KFC.", 'answer': 'KFC', 'candidate': 'La Pupusa Loka'}
{'statement': "You don't like expensive restaurants. Between Hapa Toronto and Buk Chang Dong Soon Tofu, you should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like expensive restaurants. Between Milo's Pita and Topham Corner, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Topham Corner'}
{'statement': "You don't like expensive restaurants. Between Just Soups Take Out & Catering and Itamae Ayce Sushi, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "You don't like expensive restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like expensive restaurants. Between Carole's Cheesecake Cafe and Solero Mediterranean Bakery, you should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like expensive restaurants. Between Sushi World and Domino's Pizza, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': "Domino's Pizza"}
{'statement': "You don't like expensive restaurants. Between LCBO and Dinah's Cupboard, you should go to LCBO.", 'answer': 'LCBO', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like expensive restaurants. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You don't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "You don't like expensive restaurants. Between Nook and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Nook'}
{'statement': "You don't like expensive restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Falafel Hut Village and Hapa Toronto, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like expensive restaurants. Between Edible Arrangements and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Marcello’s pizzeria and Aris Place, you should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like expensive restaurants. Between 9 Restaurant and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': '9 Restaurant'}
{'statement': "You don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like expensive restaurants. Between Farmacia Health Bar and Mirage Grill & Lounge, you should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like expensive restaurants. Between Beryl's Pepper Pot and Nutella Cafe by Pusateri's, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Edible Arrangements and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Queen Slice and Phil's Original BBQ, you should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like expensive restaurants. Between Top Sushi and Ciao Europa wine bar, you should go to Top Sushi.", 'answer': 'Top Sushi', 'candidate': 'Ciao Europa wine bar'}
