{'statement': 'Between San Diego and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Between Piura and Luanda, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Luanda'}
{'statement': 'Between Buenos Aires and Makurdi, the smaller city is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Buenos Aires'}
{'statement': 'Between Gabès and Minneapolis, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Minneapolis'}
{'statement': 'Between Denver and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Denver'}
{'statement': 'Between Los Angeles and Jakarta, the smaller city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Jakarta'}
{'statement': 'Between Bratislava and Surabaya, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Surabaya'}
{'statement': 'Between Johannesburg and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Johannesburg'}
{'statement': 'Between Nairobi and Goiânia, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Nairobi'}
{'statement': 'Between Saint Petersburg and Hanoi, the smaller city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hanoi'}
{'statement': 'Between Tampa and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Tampa'}
{'statement': 'Between Alexandria and Auckland, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Alexandria'}
{'statement': 'Between Malabo and Chicago, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Between Lake Havasu City and Alexandria, the smaller city is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Alexandria'}
{'statement': 'Between Mumbai and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Melbourne'}
{'statement': 'Between Bratislava and Hanoi, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'Between Guangzhou and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Guangzhou'}
{'statement': 'Between Irkutsk and Nairobi, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Nairobi'}
{'statement': 'Between Karachi and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Karachi'}
{'statement': 'Between Mahajanga and Buenos Aires, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Buenos Aires'}
{'statement': 'Between Hanoi and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Hanoi'}
{'statement': 'Between Lagos and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Lagos'}
{'statement': 'Between Vladivostok and Paris, the smaller city is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Paris'}
{'statement': 'Between Sucre and Nairobi, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Nairobi'}
{'statement': 'Between Chihuahua and Brasília, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Brasília'}
{'statement': 'Between Buenos Aires and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Buenos Aires'}
{'statement': 'Between Perth and Kunming, the smaller city is Perth.', 'answer': 'Perth', 'candidate': 'Kunming'}
{'statement': 'Between Alexandria and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Alexandria'}
{'statement': 'Between Niamey and Berlin, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Berlin'}
{'statement': 'Between Bangkok and Toronto, the smaller city is Toronto.', 'answer': 'Toronto', 'candidate': 'Bangkok'}
{'statement': 'Between Kuwait City and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kuwait City'}
{'statement': 'Between Yaoundé and Jakarta, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Jakarta'}
{'statement': 'Between San Juan and Phoenix, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Phoenix'}
{'statement': 'Between Minneapolis and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Minneapolis'}
{'statement': 'Between Wellington and Riyadh, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Riyadh'}
{'statement': 'Between Tirana and Mexico City, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Mumbai'}
{'statement': 'Between Tampa and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Tampa'}
{'statement': 'Between Johannesburg and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Johannesburg'}
{'statement': 'Between Tamanrasset and Baltimore, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Baltimore'}
{'statement': 'Between Tampa and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Tampa'}
{'statement': 'Between Erzurum and Melbourne, the smaller city is Erzurum.', 'answer': 'Erzurum', 'candidate': 'Melbourne'}
{'statement': 'Between Curitiba and Manila, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Manila'}
{'statement': 'Between Palermo and Bangkok, the smaller city is Palermo.', 'answer': 'Palermo', 'candidate': 'Bangkok'}
{'statement': 'Between Riyadh and Lomé, the smaller city is Lomé.', 'answer': 'Lomé', 'candidate': 'Riyadh'}
{'statement': 'Between Cairo and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Cairo'}
{'statement': 'Between Wellington and Beijing, the smaller city is Wellington.', 'answer': 'Wellington', 'candidate': 'Beijing'}
{'statement': 'Between Harare and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Harare'}
{'statement': 'Between El Paso and Denver, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Denver'}
{'statement': 'Between Cairo and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cairo'}
{'statement': 'Between Brasília and San Juan, the smaller city is San Juan.', 'answer': 'San Juan', 'candidate': 'Brasília'}
{'statement': 'Between Santiago and Los Angeles, the smaller city is Santiago.', 'answer': 'Santiago', 'candidate': 'Los Angeles'}
{'statement': 'Between Quito and Chicago, the smaller city is Quito.', 'answer': 'Quito', 'candidate': 'Chicago'}
{'statement': 'Between Nakhon Ratchasima and Berlin, the smaller city is Nakhon Ratchasima.', 'answer': 'Nakhon Ratchasima', 'candidate': 'Berlin'}
{'statement': 'Between Denpasar and Buenos Aires, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Buenos Aires'}
{'statement': 'Between Christchurch and Surabaya, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Surabaya'}
{'statement': 'Between Sydney and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'Between Cayenne and Bangkok, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Bangkok'}
{'statement': 'Between Almaty and Johannesburg, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Johannesburg'}
{'statement': 'Between Kabul and Rosario, the smaller city is Rosario.', 'answer': 'Rosario', 'candidate': 'Kabul'}
{'statement': 'Between Yaoundé and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Yaoundé'}
{'statement': 'Between Ho Chi Minh City and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Cairo and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Cairo'}
{'statement': 'Between Auckland and Riyadh, the smaller city is Auckland.', 'answer': 'Auckland', 'candidate': 'Riyadh'}
{'statement': 'Between Riyadh and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Riyadh'}
{'statement': 'Between Brasília and Parakou, the smaller city is Parakou.', 'answer': 'Parakou', 'candidate': 'Brasília'}
{'statement': 'Between Nairobi and Tabora, the smaller city is Tabora.', 'answer': 'Tabora', 'candidate': 'Nairobi'}
{'statement': 'Between Tampa and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Tampa'}
{'statement': 'Between Phoenix and Ulaanbaatar, the smaller city is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Phoenix'}
{'statement': 'Between El Paso and Baghdad, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Baghdad'}
{'statement': 'Between Saint Petersburg and Kano, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Dar es Salaam and Yinchuan, the smaller city is Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Kunming and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Kunming'}
{'statement': 'Between Rabat and Santiago, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Santiago'}
{'statement': 'Between Tucson and Kuwait City, the smaller city is Tucson.', 'answer': 'Tucson', 'candidate': 'Kuwait City'}
{'statement': 'Between Paramaribo and Kabul, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Kabul'}
{'statement': 'Between La Ceiba and Lahore, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lahore'}
{'statement': 'Between Santiago and Bergen, the smaller city is Bergen.', 'answer': 'Bergen', 'candidate': 'Santiago'}
