{'statement': 'Between Manila and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Manila'}
{'statement': 'Between Buenos Aires and Zürich, the city with a smaller population is Zürich.', 'answer': 'Zürich', 'candidate': 'Buenos Aires'}
{'statement': 'Between Saint Petersburg and Barranquilla, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Luanda and Bratislava, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Luanda'}
{'statement': 'Between Los Angeles and Nairobi, the city with a smaller population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Los Angeles'}
{'statement': 'Between Ürümqi and Garissa, the city with a smaller population is Garissa.', 'answer': 'Garissa', 'candidate': 'Ürümqi'}
{'statement': 'Between Ho Chi Minh City and Santiago, the city with a smaller population is Santiago.', 'answer': 'Santiago', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'San Diego'}
{'statement': 'Between Lahore and Mandalay, the city with a smaller population is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Lahore'}
{'statement': 'Between Baghdad and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Baghdad'}
{'statement': 'Between Mexico City and Bangkok, the city with a smaller population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Mexicali, the city with a smaller population is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Mumbai'}
{'statement': 'Between Ankara and Kuopio, the city with a smaller population is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Ankara'}
{'statement': 'Between Brasília and Garoua, the city with a smaller population is Garoua.', 'answer': 'Garoua', 'candidate': 'Brasília'}
{'statement': 'Between Lima and Ankara, the city with a smaller population is Ankara.', 'answer': 'Ankara', 'candidate': 'Lima'}
{'statement': 'Between Johannesburg and Paramaribo, the city with a smaller population is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Johannesburg'}
{'statement': 'Between Douala and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Douala'}
{'statement': 'Between Alexandria and Malabo, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Alexandria'}
{'statement': 'Between Ho Chi Minh City and Anchorage, the city with a smaller population is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Tucson, the city with a smaller population is Tucson.', 'answer': 'Tucson', 'candidate': 'San Diego'}
{'statement': 'Between Paris and Berlin, the city with a smaller population is Berlin.', 'answer': 'Berlin', 'candidate': 'Paris'}
{'statement': 'Between Toronto and Panama City, the city with a smaller population is Panama City.', 'answer': 'Panama City', 'candidate': 'Toronto'}
{'statement': 'Between Paris and Milwaukee, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Paris'}
{'statement': 'Between Jakarta and Ushuaia, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'Between London and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'London'}
{'statement': 'Between Brasília and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Brasília'}
{'statement': 'Between Lahore and Hobart, the city with a smaller population is Hobart.', 'answer': 'Hobart', 'candidate': 'Lahore'}
{'statement': 'Between Jakarta and Kano, the city with a smaller population is Kano.', 'answer': 'Kano', 'candidate': 'Jakarta'}
{'statement': 'Between Algiers and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Algiers'}
{'statement': 'Between Houston and Punta Arenas, the city with a smaller population is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Houston'}
{'statement': 'Between Jakarta and Monterrey, the city with a smaller population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Jakarta'}
{'statement': 'Between Los Angeles and Nouakchott, the city with a smaller population is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Los Angeles'}
{'statement': 'Between Cairo and Pittsburgh, the city with a smaller population is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Cairo'}
{'statement': 'Between Ankara and Neuquén, the city with a smaller population is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Ankara'}
{'statement': 'Between Kuwait City and La Ceiba, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Kuwait City'}
{'statement': 'Between Bogotá and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Bogotá'}
{'statement': 'Between Lahore and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Lahore'}
{'statement': 'Between Hanoi and Surabaya, the city with a smaller population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Hanoi'}
{'statement': 'Between Ankara and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Ankara'}
{'statement': 'Between Manila and Willemstad, the city with a smaller population is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Manila'}
{'statement': 'Between Santiago and Zürich, the city with a smaller population is Zürich.', 'answer': 'Zürich', 'candidate': 'Santiago'}
{'statement': 'Between Kunming and El Paso, the city with a smaller population is El Paso.', 'answer': 'El Paso', 'candidate': 'Kunming'}
{'statement': 'Between Buenos Aires and San Salvador, the city with a smaller population is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Buenos Aires'}
{'statement': 'Between Guangzhou and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Guangzhou'}
{'statement': 'Between Baghdad and San Antonio, the city with a smaller population is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Baghdad'}
{'statement': 'Between Berlin and Kingston, the city with a smaller population is Kingston.', 'answer': 'Kingston', 'candidate': 'Berlin'}
{'statement': 'Between Ürümqi and Toluca, the city with a smaller population is Toluca.', 'answer': 'Toluca', 'candidate': 'Ürümqi'}
{'statement': 'Between Jakarta and Phoenix, the city with a smaller population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Jakarta'}
{'statement': 'Between Shanghai and Wau, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Shanghai'}
{'statement': 'Between Toronto and Bata, the city with a smaller population is Bata.', 'answer': 'Bata', 'candidate': 'Toronto'}
{'statement': 'Between Ankara and Kuwait City, the city with a smaller population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Ankara'}
{'statement': 'Between Guadalajara and Dublin, the city with a smaller population is Dublin.', 'answer': 'Dublin', 'candidate': 'Guadalajara'}
{'statement': 'Between Los Angeles and Cape Town, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Los Angeles'}
{'statement': 'Between Yaoundé and Saskatoon, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Yaoundé'}
{'statement': 'Between Kano and Mahajanga, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Kano'}
{'statement': 'Between Saint Petersburg and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Shanghai and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Shanghai'}
{'statement': 'Between Shanghai and San Salvador, the city with a smaller population is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Shanghai'}
{'statement': 'Between Surabaya and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Surabaya'}
{'statement': 'Between Berlin and Río Gallegos, the city with a smaller population is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Berlin'}
