{'statement': 'You are looking for a city with cold weather. Between Garoua and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Garoua'}
{'statement': 'You are looking for a city with cold weather. Between Port Moresby and Wellington, you should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Port Moresby'}
{'statement': 'You are looking for a city with cold weather. Between Panama City and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Panama City'}
{'statement': 'You are looking for a city with cold weather. Between Rabat and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Rabat'}
{'statement': 'You are looking for a city with cold weather. Between Dar es Salaam and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a city with cold weather. Between Bangkok and Milwaukee, you should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a city with cold weather. Between Baghdad and Zürich, you should visit Zürich.', 'answer': 'Zürich', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a city with cold weather. Between Caracas and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Caracas'}
{'statement': 'You are looking for a city with cold weather. Between Bahía Blanca and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Bahía Blanca'}
{'statement': 'You are looking for a city with cold weather. Between Mombasa and Addis Ababa, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Mombasa'}
{'statement': 'You are looking for a city with cold weather. Between San Juan and Albuquerque, you should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Benghazi and Toronto, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Benghazi'}
{'statement': 'You are looking for a city with cold weather. Between Djibouti and Fukuoka, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Djibouti'}
{'statement': 'You are looking for a city with cold weather. Between Brisbane and Novosibirsk, you should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Brisbane'}
{'statement': 'You are looking for a city with cold weather. Between Bangkok and Johannesburg, you should visit Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a city with cold weather. Between Alexandria and Lviv, you should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a city with cold weather. Between Fianarantsoa and Saint Petersburg, you should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Fianarantsoa'}
{'statement': 'You are looking for a city with cold weather. Between Belize City and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Belize City'}
{'statement': 'You are looking for a city with cold weather. Between Toliara and Milwaukee, you should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Toliara'}
{'statement': 'You are looking for a city with cold weather. Between Goiânia and Oslo, you should visit Oslo.', 'answer': 'Oslo', 'candidate': 'Goiânia'}
{'statement': 'You are looking for a city with cold weather. Between Garissa and Lisbon, you should visit Lisbon.', 'answer': 'Lisbon', 'candidate': 'Garissa'}
{'statement': 'You are looking for a city with cold weather. Between Kabul and Ulaanbaatar, you should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Kabul'}
{'statement': 'You are looking for a city with cold weather. Between Kansas City and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kansas City'}
{'statement': 'You are looking for a city with cold weather. Between Nakhon Ratchasima and Wellington, you should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Nakhon Ratchasima'}
{'statement': 'You are looking for a city with cold weather. Between Garissa and Tauranga, you should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Garissa'}
{'statement': 'You are looking for a city with cold weather. Between Managua and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Managua'}
{'statement': 'You are looking for a city with cold weather. Between Riyadh and Vladivostok, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a city with cold weather. Between Boise and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Boise'}
{'statement': 'You are looking for a city with cold weather. Between Cotonou and Tirana, you should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a city with cold weather. Between Paramaribo and Erzurum, you should visit Erzurum.', 'answer': 'Erzurum', 'candidate': 'Paramaribo'}
{'statement': 'You are looking for a city with cold weather. Between Entebbe and Vienna, you should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Entebbe'}
{'statement': 'You are looking for a city with cold weather. Between Jakarta and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a city with cold weather. Between Dar es Salaam and Canberra, you should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Dar es Salaam'}
{'statement': 'You are looking for a city with cold weather. Between Toliara and Vladivostok, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Toliara'}
{'statement': 'You are looking for a city with cold weather. Between Suva and Dublin, you should visit Dublin.', 'answer': 'Dublin', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Kathmandu and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Kathmandu'}
{'statement': 'You are looking for a city with cold weather. Between Makurdi and Pittsburgh, you should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Makurdi'}
{'statement': 'You are looking for a city with cold weather. Between Jakarta and Yinchuan, you should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Jakarta'}
