{'statement': "You don't like cheap restaurants. Between Nook and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "You don't like cheap restaurants. Between LCBO and Buk Chang Dong Soon Tofu, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Juice & Java Cafe, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Queen Pita and LCBO, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Lebanese Bakery, you should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Madras Pantry and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and FreshCo, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and Piper's Pub And Grill, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between Top Sushi and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': "You don't like cheap restaurants. Between La Pupusa Loka and KFC, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Buk Chang Dong Soon Tofu, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Topham Corner and Milo's Pita, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Just Soups Take Out & Catering and Itamae Ayce Sushi, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Falafel Hut Village and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Carole's Cheesecake Cafe and Solero Mediterranean Bakery, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between LCBO and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Lahore Grill & Fast Food and Thai 4 You Restaurant, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Nook and Falafel House, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and z-teca Gourmet Burritos, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Falafel Hut Village, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and Carole's Cheesecake Cafe, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
