{'statement': 'Between Córdoba and Bogotá, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Bogotá'}
{'statement': 'Between Lagos and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Lagos'}
{'statement': 'Between Kabul and Podgorica, the city with a smaller population is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Kabul'}
{'statement': 'Between Bangui and Beijing, the city with a smaller population is Bangui.', 'answer': 'Bangui', 'candidate': 'Beijing'}
{'statement': 'Between Port Sudan and Toronto, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Toronto'}
{'statement': 'Between Dar es Salaam and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Ankara and Caracas, the city with a smaller population is Caracas.', 'answer': 'Caracas', 'candidate': 'Ankara'}
{'statement': 'Between Malabo and Kabul, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Kabul'}
{'statement': 'Between Ankara and Bucharest, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Ankara'}
{'statement': 'Between Reykjavík and Buenos Aires, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Buenos Aires'}
{'statement': 'Between Kuwait City and Albuquerque, the city with a smaller population is Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Kuwait City'}
{'statement': 'Between Ürümqi and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'Between Minneapolis and San José, the city with a smaller population is San José.', 'answer': 'San José', 'candidate': 'Minneapolis'}
{'statement': 'Between Kabul and Beijing, the city with a smaller population is Kabul.', 'answer': 'Kabul', 'candidate': 'Beijing'}
{'statement': 'Between Phnom Penh and Guangzhou, the city with a smaller population is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Guangzhou'}
{'statement': 'Between Sucre and Bangkok, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Bangkok'}
{'statement': 'Between Jakarta and Fukuoka, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Jakarta'}
{'statement': 'Between Antofagasta and Lima, the city with a smaller population is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Lima'}
{'statement': 'Between Phoenix and Thiès, the city with a smaller population is Thiès.', 'answer': 'Thiès', 'candidate': 'Phoenix'}
{'statement': 'Between Mexico City and Parakou, the city with a smaller population is Parakou.', 'answer': 'Parakou', 'candidate': 'Mexico City'}
{'statement': 'Between Cairo and Ho Chi Minh City, the city with a smaller population is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Cairo'}
{'statement': 'Between Dar es Salaam and Minsk, the city with a smaller population is Minsk.', 'answer': 'Minsk', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Tirana and Johannesburg, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Johannesburg'}
{'statement': 'Between Suwałki and Luanda, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Luanda'}
{'statement': 'Between Brasília and Managua, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Brasília'}
{'statement': 'Between Nairobi and Copenhagen, the city with a smaller population is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'Nairobi'}
{'statement': 'Between Monterrey and Christchurch, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Monterrey'}
{'statement': 'Between Bamako and Surabaya, the city with a smaller population is Bamako.', 'answer': 'Bamako', 'candidate': 'Surabaya'}
{'statement': 'Between Santiago and Ouahigouya, the city with a smaller population is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Santiago'}
{'statement': 'Between Piura and Kunming, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Kunming'}
{'statement': 'Between Lomé and Los Angeles, the city with a smaller population is Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'Between Beijing and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Beijing'}
