{'statement': "I don't like cheap restaurants. Between Nook and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I don't like cheap restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like cheap restaurants. Between LCBO and Buk Chang Dong Soon Tofu, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between Cake Opera and Juice & Java Cafe, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like cheap restaurants. Between Hina Sushi and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, I should go to Sichuan Landscape Chinese Restaurant.", 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between LCBO and Queen Pita, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Supermodel Pizza and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and New Bilan Restaurant, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Chipotle Mexican Grill and Madras Pantry, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between FreshCo and Helena's Magic Kitchen, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
