{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Adega Restaurante and Juice & Java Cafe, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like cheap restaurants. Between Dinah's Cupboard and Basha Middle Eastern Grill, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like cheap restaurants. Between z-teca Gourmet Burritos and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like cheap restaurants. Between Anatolia Restaurant and Mi Mi Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between EJ Sushi and McDonald's, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Popeyes Louisiana Kitchen, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Modo Mio Italian Bistro and McDonald's, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': "McDonald's"}
{'statement': "I don't like cheap restaurants. Between Viccino Pizzeria and Goldstone Noodle Restaurant, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Anatolia Restaurant, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like cheap restaurants. Between 9 Restaurant and St. Clair Shawarma and Falafel, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
