{'statement': 'Between Guangzhou and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Guangzhou'}
{'statement': 'Between Tashkent and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Tashkent'}
{'statement': 'Between Buenos Aires and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Buenos Aires'}
{'statement': 'Between Guadalajara and Lhasa, the smaller city is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Guadalajara'}
{'statement': 'Between Saint Petersburg and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Fukuoka and Ségou, the smaller city is Ségou.', 'answer': 'Ségou', 'candidate': 'Fukuoka'}
{'statement': 'Between Los Angeles and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Los Angeles'}
{'statement': 'Between Harare and Entebbe, the smaller city is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Harare'}
{'statement': 'Between Kabul and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Kabul'}
{'statement': 'Between Kuwait City and Canberra, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Kuwait City'}
{'statement': 'Between Jakarta and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Jakarta'}
{'statement': 'Between Bogotá and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Bogotá'}
{'statement': 'Between Manila and Toamasina, the smaller city is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Manila'}
{'statement': 'Between Nairobi and Antofagasta, the smaller city is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
{'statement': 'Between Melbourne and Amsterdam, the smaller city is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Melbourne'}
{'statement': 'Between Kabul and Upington, the smaller city is Upington.', 'answer': 'Upington', 'candidate': 'Kabul'}
{'statement': 'Between Rome and Belize City, the smaller city is Belize City.', 'answer': 'Belize City', 'candidate': 'Rome'}
{'statement': 'Between Santiago and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Santiago'}
{'statement': 'Between Johannesburg and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Johannesburg'}
{'statement': 'Between Hanoi and Abéché, the smaller city is Abéché.', 'answer': 'Abéché', 'candidate': 'Hanoi'}
{'statement': 'Between Berlin and Christchurch, the smaller city is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Berlin'}
{'statement': 'Between Jakarta and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Jakarta'}
{'statement': 'Between Guadalajara and Irkutsk, the smaller city is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Guadalajara'}
{'statement': 'Between Kuwait City and Bata, the smaller city is Bata.', 'answer': 'Bata', 'candidate': 'Kuwait City'}
{'statement': 'Between London and Copenhagen, the smaller city is Copenhagen.', 'answer': 'Copenhagen', 'candidate': 'London'}
{'statement': 'Between Luanda and Pretoria, the smaller city is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Luanda'}
{'statement': 'Between Perth and Toliara, the smaller city is Toliara.', 'answer': 'Toliara', 'candidate': 'Perth'}
{'statement': 'Between Riyadh and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Riyadh'}
{'statement': 'Between Luanda and Chihuahua, the smaller city is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Luanda'}
{'statement': 'Between Dar es Salaam and Porto Alegre, the smaller city is Porto Alegre.', 'answer': 'Porto Alegre', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Luanda and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Luanda'}
{'statement': 'Between Jakarta and Manaus, the smaller city is Manaus.', 'answer': 'Manaus', 'candidate': 'Jakarta'}
{'statement': 'Between Buenos Aires and Brasília, the smaller city is Brasília.', 'answer': 'Brasília', 'candidate': 'Buenos Aires'}
{'statement': 'Between Rome and Antsiranana, the smaller city is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Rome'}
{'statement': 'Between Ho Chi Minh City and Port Moresby, the smaller city is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Ürümqi and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Ürümqi'}
{'statement': 'Between London and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'London'}
{'statement': 'Between Guadalajara and Indianapolis, the smaller city is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Guadalajara'}
{'statement': 'Between Kano and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Kano'}
{'statement': 'Between Mexico City and Minsk, the smaller city is Minsk.', 'answer': 'Minsk', 'candidate': 'Mexico City'}
{'statement': 'Between Sydney and Piura, the smaller city is Piura.', 'answer': 'Piura', 'candidate': 'Sydney'}
{'statement': 'Between Lagos and Asmara, the smaller city is Asmara.', 'answer': 'Asmara', 'candidate': 'Lagos'}
{'statement': 'Between Tashkent and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Tashkent'}
{'statement': 'Between Baghdad and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Baghdad'}
{'statement': 'Between London and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'London'}
{'statement': 'Between Johannesburg and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Johannesburg'}
{'statement': 'Between Nairobi and Kuwait City, the smaller city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Nairobi'}
{'statement': 'Between Shanghai and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Shanghai'}
{'statement': 'Between Manila and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Manila'}
{'statement': 'Between Hanoi and Ottawa, the smaller city is Ottawa.', 'answer': 'Ottawa', 'candidate': 'Hanoi'}
{'statement': 'Between Hanoi and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Hanoi'}
{'statement': 'Between Jakarta and Johannesburg, the smaller city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Jakarta'}
{'statement': 'Between Mumbai and Nouadhibou, the smaller city is Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Mumbai'}
{'statement': 'Between Manila and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Manila'}
{'statement': 'Between Dar es Salaam and Río Gallegos, the smaller city is Río Gallegos.', 'answer': 'Río Gallegos', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Luanda and Mombasa, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Luanda'}
