{'statement': "I don't like cheap restaurants. Between Sizzlers and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between Ardor Bistro and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like cheap restaurants. Between Lebanese Bakery and Druxy's Famous Deli, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Fitness Avenue and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like cheap restaurants. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Farmacia Health Bar, I should go to Farmacia Health Bar.", 'answer': 'Farmacia Health Bar', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Madras Pantry, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Taste of Greek Cuisine and Pho 88, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Carole's Cheesecake Cafe and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like cheap restaurants. Between Sizzlers and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Solero Mediterranean Bakery, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "I don't like cheap restaurants. Between It's All Grk and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "It's All Grk"}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Pasta Pantry'}
{'statement': "I don't like cheap restaurants. Between Branca and Kim PO Vietnamese, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like cheap restaurants. Between Green Room and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Just Soups Take Out & Catering and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Phil's Original BBQ and Delicious Paradise Kitchen, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and La Pupusa Loka, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Smoke's Weinerie, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Freshii and Mi Mi Restaurant, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between Edible Arrangements and EJ Sushi, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'EJ Sushi'}
{'statement': "I don't like cheap restaurants. Between Green Room and Kibo Sushi House, I should go to Kibo Sushi House.", 'answer': 'Kibo Sushi House', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Pho 88 and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Branca and Kairali - Taste of Kerala, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Sizzlers and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Ciao Europa wine bar and Villa Madina, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between The Empire and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'The Empire'}
{'statement': "I don't like cheap restaurants. Between Just Soups Take Out & Catering and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Big Al's Diner and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': "Big Al's Diner"}
{'statement': "I don't like cheap restaurants. Between Sheriff Broaster Chicken and Fit For Life, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Fit For Life'}
{'statement': "I don't like cheap restaurants. Between Tik Talk Cafe and Aris Place, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Aris Place'}
{'statement': "I don't like cheap restaurants. Between Le Papillon Park and Shawarma Twist, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Topham Corner and Pho 88, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Hapa Toronto and Villa Madina, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Watson's and Supermodel Pizza, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Cafe Jules, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Le Papillon Park and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like cheap restaurants. Between Tim Hortons and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Sushi World and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Branca and Basil Express Restaurant, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like cheap restaurants. Between Sushi Shop and Mi Mi Restaurant, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Madras Pantry, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Madras Pantry'}
{'statement': "I don't like cheap restaurants. Between Pizza Pizza and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Beryl's Pepper Pot and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like cheap restaurants. Between Lahore Grill & Fast Food and Lebanese Bakery, I should go to Lebanese Bakery.", 'answer': 'Lebanese Bakery', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between Domino's Pizza and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Domino's Pizza"}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Kim PO Vietnamese, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Tim Hortons, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Breakfast Room, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "I don't like cheap restaurants. Between The Empire and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'The Empire'}
{'statement': "I don't like cheap restaurants. Between Milo's Pita and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between Edible Arrangements and Supermodel Pizza, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Supermodel Pizza'}
{'statement': "I don't like cheap restaurants. Between Cafe Jules and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Bao Bao Plus Dim Sum and Cafe Jules, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Kibo Sushi House and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Kibo Sushi House'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Just Soups Take Out & Catering, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Druxy's Famous Deli and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between La Cocina De Dona Luz and Just Soups Take Out & Catering, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Top Sushi and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Top Sushi'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between KFC and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Evoo Ristorante and Mövenpick Café, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like cheap restaurants. Between Green Room and Viccino Pizzeria, I should go to Viccino Pizzeria.", 'answer': 'Viccino Pizzeria', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Branca and Queen Pita, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Farmacia Health Bar and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Farmacia Health Bar'}
{'statement': "I don't like cheap restaurants. Between Basha Middle Eastern Grill and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like cheap restaurants. Between Mi Mi Restaurant and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between Magic Oven and Just Soups Take Out & Catering, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like cheap restaurants. Between Banjara Indian Cuisine and Cafe Jules, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Smoke's Weinerie and Paradise Farms Prime Beef Bistro, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Shawarma Twist and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Shawarma Twist'}
{'statement': "I don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': "Harry's Char Broil & Dining Lounge"}
