{'statement': 'You are looking for a city with cold weather. Between Suva and Berlin, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Baghdad and Halifax, you should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Baghdad'}
{'statement': 'You are looking for a city with cold weather. Between Abéché and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Abéché'}
{'statement': 'You are looking for a city with cold weather. Between Garoua and Milan, you should visit Milan.', 'answer': 'Milan', 'candidate': 'Garoua'}
{'statement': 'You are looking for a city with cold weather. Between Riyadh and Indianapolis, you should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a city with cold weather. Between Lagos and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Lagos'}
{'statement': 'You are looking for a city with cold weather. Between Mexicali and Milan, you should visit Milan.', 'answer': 'Milan', 'candidate': 'Mexicali'}
{'statement': 'You are looking for a city with cold weather. Between Mendoza and Irkutsk, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Mendoza'}
{'statement': 'You are looking for a city with cold weather. Between San Juan and Baltimore, you should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'San Juan'}
{'statement': 'You are looking for a city with cold weather. Between Garissa and Chicago, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Garissa'}
{'statement': 'You are looking for a city with cold weather. Between Pontianak and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Pontianak'}
{'statement': 'You are looking for a city with cold weather. Between Yaoundé and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Yaoundé'}
{'statement': 'You are looking for a city with cold weather. Between Mahajanga and Lhasa, you should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Mahajanga'}
{'statement': 'You are looking for a city with cold weather. Between Ouahigouya and Palmerston North, you should visit Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Ouahigouya'}
{'statement': 'You are looking for a city with cold weather. Between Hat Yai and Brussels, you should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Hat Yai'}
{'statement': 'You are looking for a city with cold weather. Between Yaoundé and Vladivostok, you should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Yaoundé'}
{'statement': 'You are looking for a city with cold weather. Between Rangpur and Ürümqi, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Rangpur'}
{'statement': 'You are looking for a city with cold weather. Between San Salvador and Berlin, you should visit Berlin.', 'answer': 'Berlin', 'candidate': 'San Salvador'}
{'statement': 'You are looking for a city with cold weather. Between Nouakchott and Chicago, you should visit Chicago.', 'answer': 'Chicago', 'candidate': 'Nouakchott'}
{'statement': 'You are looking for a city with cold weather. Between Phoenix and Zagreb, you should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a city with cold weather. Between Malabo and Christchurch, you should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Malabo'}
{'statement': 'You are looking for a city with cold weather. Between Belize City and Antofagasta, you should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Belize City'}
{'statement': 'You are looking for a city with cold weather. Between La Paz and Hobart, you should visit Hobart.', 'answer': 'Hobart', 'candidate': 'La Paz'}
{'statement': 'You are looking for a city with cold weather. Between Palembang and Halifax, you should visit Halifax.', 'answer': 'Halifax', 'candidate': 'Palembang'}
{'statement': 'You are looking for a city with cold weather. Between Lomé and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Lomé'}
{'statement': 'You are looking for a city with cold weather. Between Suva and Bucharest, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Antsiranana and Nur-Sultan, you should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Antsiranana'}
{'statement': 'You are looking for a city with cold weather. Between Mumbai and Nur-Sultan, you should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a city with cold weather. Between Lagos and Anchorage, you should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Lagos'}
{'statement': 'You are looking for a city with cold weather. Between Garoua and Pittsburgh, you should visit Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Garoua'}
{'statement': 'You are looking for a city with cold weather. Between Barranquilla and Sacramento, you should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Muscat and Vienna, you should visit Vienna.', 'answer': 'Vienna', 'candidate': 'Muscat'}
{'statement': 'You are looking for a city with cold weather. Between Kingston and Yerevan, you should visit Yerevan.', 'answer': 'Yerevan', 'candidate': 'Kingston'}
{'statement': 'You are looking for a city with cold weather. Between Brasília and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Brasília'}
{'statement': 'You are looking for a city with cold weather. Between Juba and Christchurch, you should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Juba'}
{'statement': 'You are looking for a city with cold weather. Between Bujumbura and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Bujumbura'}
{'statement': 'You are looking for a city with cold weather. Between Niamey and Ljubljana, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Niamey'}
{'statement': 'You are looking for a city with cold weather. Between Toamasina and Bucharest, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Toamasina'}
{'statement': 'You are looking for a city with cold weather. Between Cairo and Novosibirsk, you should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Cairo'}
{'statement': 'You are looking for a city with cold weather. Between Muscat and Addis Ababa, you should visit Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Muscat'}
{'statement': 'You are looking for a city with cold weather. Between Erbil and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Erbil'}
{'statement': 'You are looking for a city with cold weather. Between Wau and Ürümqi, you should visit Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Wau'}
{'statement': 'You are looking for a city with cold weather. Between Cabo San Lucas and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Cabo San Lucas'}
