{'statement': 'You are looking for restaurants nearby. Between Sushi Shop and Mi Mi Restaurant, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between The Empire and Cafe Jules, you should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Cafe Jules'}
{'statement': "You are looking for restaurants nearby. Between Milo's Pita and Roncy's Bean, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': 'You are looking for restaurants nearby. Between Solero Mediterranean Bakery and z-teca Gourmet Burritos, you should go to Solero Mediterranean Bakery.', 'answer': 'Solero Mediterranean Bakery', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between Ardor Bistro and Green Grotto, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Tian An Cuisine and Oxygen Restaurant & Lounge, you should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'You are looking for restaurants nearby. Between JJ Bean and El Fogón, you should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'JJ Bean'}
{'statement': 'You are looking for restaurants nearby. Between Goldstone Noodle Restaurant and Galata Cafe, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "You are looking for restaurants nearby. Between Madras Pantry and Druxy's Famous Deli, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for restaurants nearby. Between Anatolia Restaurant and Green Grotto, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Anatolia Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Evoo Ristorante and Aroma Espresso Bar, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You are looking for restaurants nearby. Between Mirage Grill & Lounge and Watson's, you should go to Watson's.", 'answer': "Watson's", 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for restaurants nearby. Between Tik Talk Cafe and Bagel Nash, you should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Bagel Nash'}
{'statement': "You are looking for restaurants nearby. Between Mamma's Pizza and Ardor Bistro, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Ardor Bistro'}
{'statement': 'You are looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Sushi World, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Tierra Azteca'}
{'statement': 'You are looking for restaurants nearby. Between Basil Express Restaurant and Modo Mio Italian Bistro, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Bagel Nash and KFC, you should go to KFC.', 'answer': 'KFC', 'candidate': 'Bagel Nash'}
{'statement': 'You are looking for restaurants nearby. Between Cake Opera and Tortería San Cosme, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Cake Opera'}
{'statement': "You are looking for restaurants nearby. Between Fit For Life and Carole's Cheesecake Cafe, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': 'You are looking for restaurants nearby. Between St. Louis Bar & Grill and Eggspectation, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Branca and Tierra Azteca, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Tierra Azteca'}
{'statement': 'You are looking for restaurants nearby. Between Kibo Sushi House and Ici Bistro, you should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Ici Bistro and Adega Restaurante, you should go to Adega Restaurante.', 'answer': 'Adega Restaurante', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Le Papillon Park and Topham Corner, you should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Topham Corner'}
{'statement': 'You are looking for restaurants nearby. Between Ici Bistro and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Ici Bistro'}
{'statement': "You are looking for restaurants nearby. Between Beryl's Pepper Pot and Assembly Chef's Hall, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "Assembly Chef's Hall"}
{'statement': 'You are looking for restaurants nearby. Between Tik Talk Cafe and St. Clair Shawarma and Falafel, you should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for restaurants nearby. Between Tian An Cuisine and EJ Sushi, you should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'EJ Sushi'}
{'statement': "You are looking for restaurants nearby. Between Milo's Pita and Shawarma Twist, you should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Shawarma Twist'}
{'statement': "You are looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Phil's Original BBQ, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': "Phil's Original BBQ"}
{'statement': 'You are looking for restaurants nearby. Between Thompson Rooftop and Magic Oven, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between Cake Opera and Queen Pita, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Queen Pita'}
{'statement': "You are looking for restaurants nearby. Between Druxy's Famous Deli and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for restaurants nearby. Between Breakfast Room and Topham Corner, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Topham Corner'}
{'statement': 'You are looking for restaurants nearby. Between EJ Sushi and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'EJ Sushi'}
{'statement': "You are looking for restaurants nearby. Between Piper's Pub And Grill and Joe Badali's Ristorante Italiano & Bar, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'You are looking for restaurants nearby. Between St. Louis Bar & Grill and Edible Arrangements, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for restaurants nearby. Between Goldstone Noodle Restaurant and Ici Bistro, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You are looking for restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': 'You are looking for restaurants nearby. Between Falafel House and La Pupusa Loka, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'Falafel House'}
{'statement': "You are looking for restaurants nearby. Between Mt Everest Restaurant and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Lahore Grill & Fast Food and Freshii, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between Verona Restaurant and Tik Talk Cafe, you should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Verona Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mt Everest Restaurant'}
{'statement': "You are looking for restaurants nearby. Between Grappa Ristorante and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Galata Cafe and Sichuan Landscape Chinese Restaurant, you should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Galata Cafe'}
{'statement': 'You are looking for restaurants nearby. Between Delicious Paradise Kitchen and New Bilan Restaurant, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Kairali - Taste of Kerala and New Bilan Restaurant, you should go to Kairali - Taste of Kerala.', 'answer': 'Kairali - Taste of Kerala', 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Sushi Time Japanese Restaurant and Pisco 1641, you should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between The Coffee Pocket and Thompson Rooftop, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between Green Grotto and Bonne Journee, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Bonne Journee'}
{'statement': 'You are looking for restaurants nearby. Between Tik Talk Cafe and The Coffee Pocket, you should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between Chipotle Mexican Grill and Pizzeria Via Mercanti, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You are looking for restaurants nearby. Between Pizza Pizza and Big Al's Diner, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': "Big Al's Diner"}
{'statement': 'You are looking for restaurants nearby. Between Sheriff Broaster Chicken and Verona Restaurant, you should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Edible Arrangements and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for restaurants nearby. Between Sushi World and New Bilan Restaurant, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Amaya Express and Sweet Jesus, you should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Sweet Jesus'}
{'statement': "You are looking for restaurants nearby. Between Big Al's Diner and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "You are looking for restaurants nearby. Between Cantine Bar & Grill and Phil's Original BBQ, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': "Phil's Original BBQ"}
{'statement': "You are looking for restaurants nearby. Between Piper's Pub And Grill and The Coffee Pocket, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'The Coffee Pocket'}
{'statement': "You are looking for restaurants nearby. Between Shawarma Twist and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Shawarma Twist'}
{'statement': "You are looking for restaurants nearby. Between Dinah's Cupboard and St. Clair Shawarma and Falafel, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'St. Clair Shawarma and Falafel'}
