{'statement': 'Between Aden and Milan, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Milan'}
{'statement': 'Between Djibouti and Lhasa, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lhasa'}
{'statement': 'Between Juba and Calgary, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Calgary'}
{'statement': 'Between San Antonio and Zagreb, the city with higher average temperature is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Zagreb'}
{'statement': 'Between Aden and Perth, the city with higher average temperature is Aden.', 'answer': 'Aden', 'candidate': 'Perth'}
{'statement': 'Between La Ceiba and Saskatoon, the city with higher average temperature is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Saskatoon'}
{'statement': 'Between Manila and Irkutsk, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Irkutsk'}
{'statement': 'Between Sapporo and Yakutsk, the city with higher average temperature is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Yakutsk'}
{'statement': 'Between La Ceiba and Amsterdam, the city with higher average temperature is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Amsterdam'}
{'statement': 'Between Tampa and Ürümqi, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Ürümqi'}
{'statement': 'Between Denpasar and Hobart, the city with higher average temperature is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Hobart'}
{'statement': 'Between Campos do Jordão and Saskatoon, the city with higher average temperature is Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Saskatoon'}
{'statement': 'Between Paramaribo and Addis Ababa, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Addis Ababa'}
{'statement': 'Between Toamasina and Yerevan, the city with higher average temperature is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Yerevan'}
{'statement': 'Between Kano and Moscow, the city with higher average temperature is Kano.', 'answer': 'Kano', 'candidate': 'Moscow'}
{'statement': 'Between Kingston and Novosibirsk, the city with higher average temperature is Kingston.', 'answer': 'Kingston', 'candidate': 'Novosibirsk'}
{'statement': 'Between Makurdi and Berlin, the city with higher average temperature is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Berlin'}
{'statement': 'Between Palermo and Ürümqi, the city with higher average temperature is Palermo.', 'answer': 'Palermo', 'candidate': 'Ürümqi'}
{'statement': 'Between Changsha and Nur-Sultan, the city with higher average temperature is Changsha.', 'answer': 'Changsha', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Abéché and Mexico City, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Mexico City'}
{'statement': 'Between Vientiane and Milwaukee, the city with higher average temperature is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Milwaukee'}
{'statement': 'Between Rosario and Irkutsk, the city with higher average temperature is Rosario.', 'answer': 'Rosario', 'candidate': 'Irkutsk'}
{'statement': 'Between Cayenne and Tauranga, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Tauranga'}
