{'statement': 'Someone is looking for a city with warm weather. Between Cotonou and Canberra, this person should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Canberra'}
{'statement': 'Someone is looking for a city with warm weather. Between Mahajanga and Ljubljana, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ljubljana'}
{'statement': 'Someone is looking for a city with warm weather. Between Lake Havasu City and Skopje, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Skopje'}
{'statement': 'Someone is looking for a city with warm weather. Between La Paz and Sapporo, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a city with warm weather. Between Nur-Sultan and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Nur-Sultan'}
{'statement': 'Someone is looking for a city with warm weather. Between Luanda and Lyon, this person should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Lyon'}
{'statement': 'Someone is looking for a city with warm weather. Between Novosibirsk and Wellington, this person should visit Wellington.', 'answer': 'Wellington', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Muscat and Copenhagen, this person should visit Muscat.', 'answer': 'Muscat', 'candidate': 'Copenhagen'}
{'statement': 'Someone is looking for a city with warm weather. Between Calgary and Cotonou, this person should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Calgary'}
{'statement': 'Someone is looking for a city with warm weather. Between Campos do Jordão and Douala, this person should visit Douala.', 'answer': 'Douala', 'candidate': 'Campos do Jordão'}
{'statement': 'Someone is looking for a city with warm weather. Between Irkutsk and Ségou, this person should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Irkutsk and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Surabaya and Ürümqi, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a city with warm weather. Between Pontianak and Vladivostok, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Vladivostok'}
{'statement': 'Someone is looking for a city with warm weather. Between Lviv and Paramaribo, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Lviv'}
{'statement': 'Someone is looking for a city with warm weather. Between Minneapolis and Pontianak, this person should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Parakou and Saint Petersburg, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Saint Petersburg'}
