{'statement': 'Between Córdoba and Abéché, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Córdoba'}
{'statement': 'Between Wau and Fairbanks, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Fairbanks'}
{'statement': 'Between Mumbai and Rome, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Rome'}
{'statement': 'Between Sydney and Erzurum, the city with higher average temperature is Sydney.', 'answer': 'Sydney', 'candidate': 'Erzurum'}
{'statement': 'Between Ulaanbaatar and Chihuahua, the city with higher average temperature is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between Skopje and Mahajanga, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Skopje'}
{'statement': 'Between Cayenne and Ürümqi, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Ürümqi'}
{'statement': 'Between Bergen and Fairbanks, the city with higher average temperature is Bergen.', 'answer': 'Bergen', 'candidate': 'Fairbanks'}
{'statement': 'Between Lima and Oslo, the city with higher average temperature is Lima.', 'answer': 'Lima', 'candidate': 'Oslo'}
{'statement': 'Between Abéché and Baku, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Baku'}
{'statement': 'Between Podgorica and Belize City, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Podgorica'}
{'statement': 'Between Frankfurt and Belize City, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Frankfurt'}
{'statement': 'Between Algiers and Willemstad, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Algiers'}
{'statement': 'Between Port Moresby and Moscow, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Moscow'}
{'statement': 'Between Bangui and Halifax, the city with higher average temperature is Bangui.', 'answer': 'Bangui', 'candidate': 'Halifax'}
{'statement': 'Between Minsk and Sokoto, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Minsk'}
{'statement': 'Between Lake Havasu City and Denver, the city with higher average temperature is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Denver'}
{'statement': 'Between Toronto and San Juan, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Toronto'}
{'statement': 'Between Cape Town and Malabo, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Cape Town'}
{'statement': 'Between Riyadh and Napier, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Napier'}
{'statement': 'Between Karachi and Saint Petersburg, the city with higher average temperature is Karachi.', 'answer': 'Karachi', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Cabo San Lucas and Boise, the city with higher average temperature is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Boise'}
{'statement': 'Between Minsk and Phnom Penh, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Minsk'}
{'statement': 'Between Manila and Ankara, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Between Mexico City and Juba, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Mexico City'}
