{'statement': 'Someone is looking for a small city to visit. Between San Diego and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Someone is looking for a small city to visit. Between Luanda and Piura, this person should visit Piura.', 'answer': 'Piura', 'candidate': 'Luanda'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Makurdi, this person should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Minneapolis and Gabès, this person should visit Gabès.', 'answer': 'Gabès', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a small city to visit. Between Denver and Chihuahua, this person should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Denver'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Jakarta, this person should visit Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Jakarta'}
{'statement': 'Someone is looking for a small city to visit. Between Bratislava and Surabaya, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Surabaya'}
{'statement': 'Someone is looking for a small city to visit. Between Ushuaia and Johannesburg, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Johannesburg'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Goiânia, this person should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Saint Petersburg, this person should visit Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Darwin and Tampa, this person should visit Darwin.', 'answer': 'Darwin', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Alexandria and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Chicago and Malabo, this person should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Someone is looking for a small city to visit. Between Lake Havasu City and Alexandria, this person should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Tauranga, this person should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Kathmandu and Melbourne, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Melbourne'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Bratislava, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Tirana and Guangzhou, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Irkutsk and Nairobi, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Hat Yai and Karachi, this person should visit Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Mahajanga and Buenos Aires, this person should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Tauranga, this person should visit Tauranga.', 'answer': 'Tauranga', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Tripoli, this person should visit Tripoli.', 'answer': 'Tripoli', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Paris and Vladivostok, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Paris'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Sucre, this person should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Chihuahua and Brasília, this person should visit Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a small city to visit. Between Buenos Aires and Canberra, this person should visit Canberra.', 'answer': 'Canberra', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a small city to visit. Between Kunming and Perth, this person should visit Perth.', 'answer': 'Perth', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a small city to visit. Between Conakry and Alexandria, this person should visit Conakry.', 'answer': 'Conakry', 'candidate': 'Alexandria'}
{'statement': 'Someone is looking for a small city to visit. Between Niamey and Berlin, this person should visit Niamey.', 'answer': 'Niamey', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Bangkok, this person should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Bangkok'}
