{'statement': 'Between Sokoto and Auckland, the city with higher average temperature is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Auckland'}
{'statement': 'Between Wau and Fukuoka, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Fukuoka'}
{'statement': 'Between Juba and Kunming, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Kunming'}
{'statement': 'Between Buenos Aires and Moscow, the city with higher average temperature is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Moscow'}
{'statement': 'Between Medellín and Ljubljana, the city with higher average temperature is Medellín.', 'answer': 'Medellín', 'candidate': 'Ljubljana'}
{'statement': 'Between Brisbane and Novosibirsk, the city with higher average temperature is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Novosibirsk'}
{'statement': 'Between Cotonou and London, the city with higher average temperature is Cotonou.', 'answer': 'Cotonou', 'candidate': 'London'}
{'statement': 'Between Barranquilla and Bogotá, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Bogotá'}
{'statement': 'Between Antsiranana and Fairbanks, the city with higher average temperature is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Fairbanks'}
{'statement': 'Between Kingston and Zagreb, the city with higher average temperature is Kingston.', 'answer': 'Kingston', 'candidate': 'Zagreb'}
{'statement': 'Between Mandalay and Toluca, the city with higher average temperature is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Toluca'}
{'statement': 'Between Belize City and Lhasa, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Lhasa'}
{'statement': 'Between Suva and Lhasa, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Lhasa'}
{'statement': 'Between Fukuoka and Kuopio, the city with higher average temperature is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Kuopio'}
{'statement': 'Between Beirut and Brussels, the city with higher average temperature is Beirut.', 'answer': 'Beirut', 'candidate': 'Brussels'}
{'statement': 'Between Cotonou and Frankfurt, the city with higher average temperature is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Frankfurt'}
{'statement': 'Between Manila and Albuquerque, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Albuquerque'}
{'statement': 'Between Hanoi and Kabul, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Kabul'}
{'statement': 'Between Port-Gentil and Melbourne, the city with higher average temperature is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Melbourne'}
{'statement': 'Between Phoenix and Saskatoon, the city with higher average temperature is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Saskatoon'}
{'statement': 'Between Brasília and Bratislava, the city with higher average temperature is Brasília.', 'answer': 'Brasília', 'candidate': 'Bratislava'}
{'statement': 'Between Lagos and Yinchuan, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Yinchuan'}
{'statement': 'Between Port Moresby and Minsk, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Minsk'}
{'statement': 'Between Florianópolis and Reykjavík, the city with higher average temperature is Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Reykjavík'}
{'statement': 'Between Kunming and Irkutsk, the city with higher average temperature is Kunming.', 'answer': 'Kunming', 'candidate': 'Irkutsk'}
{'statement': 'Between Port-Gentil and Belgrade, the city with higher average temperature is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Belgrade'}
{'statement': 'Between Cape Town and Yakutsk, the city with higher average temperature is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Yakutsk'}
{'statement': 'Between Lahore and Saskatoon, the city with higher average temperature is Lahore.', 'answer': 'Lahore', 'candidate': 'Saskatoon'}
{'statement': 'Between Vientiane and Kunming, the city with higher average temperature is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Kunming'}
{'statement': 'Between Phnom Penh and Anchorage, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Anchorage'}
{'statement': 'Between Suva and Irkutsk, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Irkutsk'}
{'statement': 'Between Conakry and Boise, the city with higher average temperature is Conakry.', 'answer': 'Conakry', 'candidate': 'Boise'}
{'statement': 'Between Lomé and Curitiba, the city with higher average temperature is Lomé.', 'answer': 'Lomé', 'candidate': 'Curitiba'}
{'statement': 'Between San Salvador and Yinchuan, the city with higher average temperature is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Yinchuan'}
{'statement': 'Between Ho Chi Minh City and Frankfurt, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Frankfurt'}
{'statement': 'Between Cayenne and Amsterdam, the city with higher average temperature is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Amsterdam'}
