{'statement': 'Between Tampa and Anchorage, the city with higher average temperature is Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'Between Bamako and Auckland, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Auckland'}
{'statement': 'Between Suwałki and Luanda, the city with higher average temperature is Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'Between Sucre and Pontianak, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Sucre'}
{'statement': 'Between Bergen and Mahajanga, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'Between Barranquilla and Frankfurt, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Frankfurt'}
{'statement': 'Between Pontianak and Lyon, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lyon'}
{'statement': 'Between Port Sudan and Vladivostok, the city with higher average temperature is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Vladivostok'}
{'statement': 'Between Kansas City and Managua, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Kansas City'}
{'statement': 'Between Managua and Belgrade, the city with higher average temperature is Managua.', 'answer': 'Managua', 'candidate': 'Belgrade'}
{'statement': 'Between Hanoi and Reykjavík, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Reykjavík'}
{'statement': 'Between Ushuaia and Maputo, the city with higher average temperature is Maputo.', 'answer': 'Maputo', 'candidate': 'Ushuaia'}
{'statement': 'Between Bogotá and Suva, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Bogotá'}
{'statement': 'Between Ottawa and Mendoza, the city with higher average temperature is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Ottawa'}
{'statement': 'Between Ulaanbaatar and Paris, the city with higher average temperature is Paris.', 'answer': 'Paris', 'candidate': 'Ulaanbaatar'}
{'statement': 'Between London and Makurdi, the city with higher average temperature is Makurdi.', 'answer': 'Makurdi', 'candidate': 'London'}
{'statement': 'Between Bishkek and Irkutsk, the city with higher average temperature is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Irkutsk'}
{'statement': 'Between Panama City and Mexico City, the city with higher average temperature is Panama City.', 'answer': 'Panama City', 'candidate': 'Mexico City'}
{'statement': 'Between Addis Ababa and Port Moresby, the city with higher average temperature is Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Addis Ababa'}
{'statement': 'Between Harare and Djibouti, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Harare'}
{'statement': 'Between Riyadh and Oslo, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Oslo'}
{'statement': 'Between Medellín and Sapporo, the city with higher average temperature is Medellín.', 'answer': 'Medellín', 'candidate': 'Sapporo'}
{'statement': 'Between Antsiranana and Milan, the city with higher average temperature is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Milan'}
{'statement': 'Between Djibouti and Saint Petersburg, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Asmara and Bangkok, the city with higher average temperature is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Asmara'}
{'statement': 'Between Entebbe and Pittsburgh, the city with higher average temperature is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Pittsburgh'}
{'statement': 'Between Reykjavík and Buenos Aires, the city with higher average temperature is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Reykjavík'}
{'statement': 'Between Willemstad and Curitiba, the city with higher average temperature is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Curitiba'}
{'statement': 'Between Anchorage and Changsha, the city with higher average temperature is Changsha.', 'answer': 'Changsha', 'candidate': 'Anchorage'}
{'statement': 'Between Vladivostok and Auckland, the city with higher average temperature is Auckland.', 'answer': 'Auckland', 'candidate': 'Vladivostok'}
{'statement': 'Between Bratislava and Manaus, the city with higher average temperature is Manaus.', 'answer': 'Manaus', 'candidate': 'Bratislava'}
{'statement': 'Between Toluca and Mahajanga, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Toluca'}
{'statement': 'Between Shanghai and San Juan, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Shanghai'}
{'statement': 'Between Napier and Paramaribo, the city with higher average temperature is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Napier'}
{'statement': 'Between Dodoma and Sapporo, the city with higher average temperature is Dodoma.', 'answer': 'Dodoma', 'candidate': 'Sapporo'}
{'statement': 'Between Ségou and La Serena, the city with higher average temperature is Ségou.', 'answer': 'Ségou', 'candidate': 'La Serena'}
{'statement': 'Between Conakry and Anchorage, the city with higher average temperature is Conakry.', 'answer': 'Conakry', 'candidate': 'Anchorage'}
{'statement': 'Between Phnom Penh and Baku, the city with higher average temperature is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Baku'}
{'statement': 'Between Djibouti and Dublin, the city with higher average temperature is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Dublin'}
{'statement': 'Between Mendoza and Vladivostok, the city with higher average temperature is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Vladivostok'}
{'statement': 'Between Santiago and Suva, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Santiago'}
{'statement': 'Between Canberra and Denpasar, the city with higher average temperature is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Canberra'}
{'statement': 'Between Manila and Yinchuan, the city with higher average temperature is Manila.', 'answer': 'Manila', 'candidate': 'Yinchuan'}
{'statement': 'Between Lyon and La Ceiba, the city with higher average temperature is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Lyon'}
{'statement': 'Between Ottawa and Mombasa, the city with higher average temperature is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ottawa'}
{'statement': 'Between Rome and Erzurum, the city with higher average temperature is Rome.', 'answer': 'Rome', 'candidate': 'Erzurum'}
{'statement': 'Between Omaha and San José, the city with higher average temperature is San José.', 'answer': 'San José', 'candidate': 'Omaha'}
{'statement': 'Between Ouahigouya and Yakutsk, the city with higher average temperature is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Yakutsk'}
{'statement': 'Between Ürümqi and Hanoi, the city with higher average temperature is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Ürümqi'}
{'statement': 'Between Cotonou and Kuopio, the city with higher average temperature is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Kuopio'}
{'statement': 'Between Bata and Ankara, the city with higher average temperature is Bata.', 'answer': 'Bata', 'candidate': 'Ankara'}
{'statement': 'Between Makurdi and Bogotá, the city with higher average temperature is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Bogotá'}
{'statement': 'Between Ottawa and Luanda, the city with higher average temperature is Luanda.', 'answer': 'Luanda', 'candidate': 'Ottawa'}
{'statement': 'Between Kabul and Ho Chi Minh City, the city with higher average temperature is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Kabul'}
{'statement': 'Between Belize City and Irkutsk, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Irkutsk'}
{'statement': 'Between Douala and Moscow, the city with higher average temperature is Douala.', 'answer': 'Douala', 'candidate': 'Moscow'}
{'statement': 'Between Lake Havasu City and Boise, the city with higher average temperature is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Boise'}
