{'statement': 'You are looking for a small city to visit. Between Rome and San Juan, you should visit San Juan.', 'answer': 'San Juan', 'candidate': 'Rome'}
{'statement': 'You are looking for a small city to visit. Between Manila and Mahajanga, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Christchurch, you should visit Christchurch.', 'answer': 'Christchurch', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Mumbai and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Ho Chi Minh City and Piura, you should visit Piura.', 'answer': 'Piura', 'candidate': 'Ho Chi Minh City'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Tabora, you should visit Tabora.', 'answer': 'Tabora', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Algiers and Asmara, you should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Algiers'}
{'statement': 'You are looking for a small city to visit. Between Jakarta and Tripoli, you should visit Tripoli.', 'answer': 'Tripoli', 'candidate': 'Jakarta'}
{'statement': 'You are looking for a small city to visit. Between Beijing and Port Sudan, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Beijing'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Kuwait City, you should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Lviv, you should visit Lviv.', 'answer': 'Lviv', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Goiânia, you should visit Goiânia.', 'answer': 'Goiânia', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Florianópolis, you should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Santiago'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Sucre, you should visit Sucre.', 'answer': 'Sucre', 'candidate': 'Melbourne'}
