{'statement': 'Between Kabul and Changsha, the smaller city is Changsha.', 'answer': 'Changsha', 'candidate': 'Kabul'}
{'statement': 'Between Berlin and Managua, the smaller city is Managua.', 'answer': 'Managua', 'candidate': 'Berlin'}
{'statement': 'Between Kuwait City and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Kuwait City'}
{'statement': 'Between Cayenne and Buenos Aires, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Buenos Aires'}
{'statement': 'Between Canberra and Ürümqi, the smaller city is Canberra.', 'answer': 'Canberra', 'candidate': 'Ürümqi'}
{'statement': 'Between Dublin and Paris, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Paris'}
{'statement': 'Between Niamey and Algiers, the smaller city is Niamey.', 'answer': 'Niamey', 'candidate': 'Algiers'}
{'statement': 'Between Lima and Guadalajara, the smaller city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Lima'}
{'statement': 'Between Cairo and Shanghai, the smaller city is Cairo.', 'answer': 'Cairo', 'candidate': 'Shanghai'}
{'statement': 'Between Guangzhou and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Guangzhou'}
{'statement': 'Between Santiago and Johannesburg, the smaller city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Santiago'}
{'statement': 'Between Damascus and Chicago, the smaller city is Damascus.', 'answer': 'Damascus', 'candidate': 'Chicago'}
{'statement': 'Between Saint Petersburg and Ürümqi, the smaller city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Kuwait City and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Kuwait City'}
{'statement': 'Between Brussels and Houston, the smaller city is Brussels.', 'answer': 'Brussels', 'candidate': 'Houston'}
{'statement': 'Between Mendoza and Hanoi, the smaller city is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Hanoi'}
{'statement': 'Between Tampa and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Tampa'}
{'statement': 'Between Port Sudan and Berlin, the smaller city is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Berlin'}
{'statement': 'Between Chicago and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Chicago'}
{'statement': 'Between Douala and Shanghai, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Shanghai'}
{'statement': 'Between Berlin and Luanda, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Luanda'}
{'statement': 'Between La Paz and Melbourne, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Melbourne'}
{'statement': 'Between Manila and Lviv, the smaller city is Lviv.', 'answer': 'Lviv', 'candidate': 'Manila'}
{'statement': 'Between Luanda and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Luanda'}
{'statement': 'Between Jakarta and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Jakarta'}
{'statement': 'Between Tampa and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Tampa'}
{'statement': 'Between Mumbai and Sokoto, the smaller city is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Mumbai'}
{'statement': 'Between Ankara and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Ankara'}
{'statement': 'Between Monterrey and Mumbai, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Mumbai'}
{'statement': 'Between Djibouti and Tampa, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Tampa'}
{'statement': 'Between Mombasa and Lahore, the smaller city is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Lahore'}
{'statement': 'Between Denver and Bujumbura, the smaller city is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Denver'}
{'statement': 'Between Skopje and Luanda, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Luanda'}
{'statement': 'Between Alexandria and Yaoundé, the smaller city is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Alexandria'}
{'statement': 'Between Bangui and Manila, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Manila'}
{'statement': 'Between Bogotá and Minneapolis, the smaller city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Bogotá'}
{'statement': 'Between Kano and Guadalajara, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Guadalajara'}
{'statement': 'Between Luanda and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Luanda'}
{'statement': 'Between Nairobi and Denpasar, the smaller city is Denpasar.', 'answer': 'Denpasar', 'candidate': 'Nairobi'}
{'statement': 'Between Mumbai and Podgorica, the smaller city is Podgorica.', 'answer': 'Podgorica', 'candidate': 'Mumbai'}
