{'statement': 'Between Guadalajara and Kansas City, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kansas City'}
{'statement': 'Between Guadalajara and Dodoma, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Dodoma'}
{'statement': 'Between Toronto and Minneapolis, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Minneapolis'}
{'statement': 'Between Bangkok and Garissa, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Garissa'}
{'statement': 'Between Mumbai and Mahajanga, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mahajanga'}
{'statement': 'Between Shanghai and Cape Town, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'Between Bogotá and Douala, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Douala'}
{'statement': 'Between Brasília and Campos do Jordão, the bigger city is Brasília.', 'answer': 'Brasília', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Hanoi and Asmara, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Asmara'}
{'statement': 'Between Moscow and Napier, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Napier'}
{'statement': 'Between Denver and Upington, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Upington'}
{'statement': 'Between Chicago and Murmansk, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Murmansk'}
{'statement': 'Between Alexandria and Garoua, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Garoua'}
{'statement': 'Between Guangzhou and San José, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'San José'}
{'statement': 'Between Los Angeles and Palermo, the bigger city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palermo'}
{'statement': 'Between Denver and Bergen, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Bergen'}
{'statement': 'Between Lahore and Asmara, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Asmara'}
{'statement': 'Between Monterrey and Kathmandu, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Kathmandu'}
{'statement': 'Between Guangzhou and Tampa, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tampa'}
{'statement': 'Between Buenos Aires and Yakutsk, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Yakutsk'}
{'statement': 'Between Lima and Baltimore, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Baltimore'}
{'statement': 'Between Lima and Irkutsk, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Irkutsk'}
{'statement': 'Between Beijing and Pretoria, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Pretoria'}
{'statement': 'Between Guadalajara and Honolulu, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Honolulu'}
{'statement': 'Between Moscow and Gabès, the bigger city is Moscow.', 'answer': 'Moscow', 'candidate': 'Gabès'}
{'statement': 'Between Beijing and Tabora, the bigger city is Beijing.', 'answer': 'Beijing', 'candidate': 'Tabora'}
{'statement': 'Between Minneapolis and Tabora, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Tabora'}
{'statement': 'Between Mexico City and Palembang, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Palembang'}
{'statement': 'Between Paris and Palermo, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Palermo'}
{'statement': 'Between Riyadh and Kano, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kano'}
{'statement': 'Between Luanda and Guadalajara, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Guadalajara'}
{'statement': 'Between Lagos and Lake Havasu City, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Kabul and Canberra, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Canberra'}
{'statement': 'Between Kunming and Omaha, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'Omaha'}
{'statement': 'Between Kuwait City and Kathmandu, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kathmandu'}
{'statement': 'Between Chicago and Perth, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Perth'}
{'statement': 'Between Karachi and San José, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'San José'}
{'statement': 'Between London and Bamako, the bigger city is London.', 'answer': 'London', 'candidate': 'Bamako'}
{'statement': 'Between Santiago and Berlin, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Berlin'}
{'statement': 'Between Lima and Lviv, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Lviv'}
{'statement': 'Between Lagos and Cape Town, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Cape Town'}
{'statement': 'Between Mexico City and Amsterdam, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Amsterdam'}
{'statement': 'Between Mexico City and Mexicali, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mexicali'}
{'statement': 'Between Jakarta and Mombasa, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mombasa'}
{'statement': 'Between Sydney and Brussels, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Between Jakarta and Port-Gentil, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Port-Gentil'}
{'statement': 'Between Mexico City and Tripoli, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tripoli'}
{'statement': 'Between Baghdad and Almaty, the bigger city is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Almaty'}
{'statement': 'Between Buenos Aires and Almaty, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Almaty'}
{'statement': 'Between Luanda and Minneapolis, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Minneapolis'}
{'statement': 'Between Rome and Oslo, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'Oslo'}
{'statement': 'Between Guangzhou and Dodoma, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Dodoma'}
{'statement': 'Between Phoenix and Bergen, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bergen'}
