{'statement': 'Someone is looking for a small city to visit. Between Baghdad and Ségou, this person should visit Ségou.', 'answer': 'Ségou', 'candidate': 'Baghdad'}
{'statement': 'Someone is looking for a small city to visit. Between Hanoi and Milwaukee, this person should visit Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a small city to visit. Between Mumbai and Damascus, this person should visit Damascus.', 'answer': 'Damascus', 'candidate': 'Mumbai'}
{'statement': 'Someone is looking for a small city to visit. Between Los Angeles and Kathmandu, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Los Angeles'}
{'statement': 'Someone is looking for a small city to visit. Between Toronto and Indianapolis, this person should visit Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Toronto'}
{'statement': 'Someone is looking for a small city to visit. Between Riyadh and Kampala, this person should visit Kampala.', 'answer': 'Kampala', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a small city to visit. Between Tampa and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Tampa'}
{'statement': 'Someone is looking for a small city to visit. Between Lagos and Omaha, this person should visit Omaha.', 'answer': 'Omaha', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a small city to visit. Between Santiago and Wau, this person should visit Wau.', 'answer': 'Wau', 'candidate': 'Santiago'}
{'statement': 'Someone is looking for a small city to visit. Between Guangzhou and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Guangzhou'}
{'statement': 'Someone is looking for a small city to visit. Between Addis Ababa and La Ceiba, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a small city to visit. Between Karachi and Damascus, this person should visit Damascus.', 'answer': 'Damascus', 'candidate': 'Karachi'}
{'statement': 'Someone is looking for a small city to visit. Between Nairobi and Sapporo, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Nairobi'}
{'statement': 'Someone is looking for a small city to visit. Between Dar es Salaam and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Someone is looking for a small city to visit. Between Lahore and Rome, this person should visit Rome.', 'answer': 'Rome', 'candidate': 'Lahore'}
