{'statement': 'Between Guadalajara and Kansas City, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Kansas City'}
{'statement': 'Between Guadalajara and Dodoma, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Dodoma'}
{'statement': 'Between Toronto and Minneapolis, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Minneapolis'}
{'statement': 'Between Bangkok and Garissa, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Garissa'}
{'statement': 'Between Mumbai and Mahajanga, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Mahajanga'}
{'statement': 'Between Shanghai and Cape Town, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'Between Bogotá and Douala, the city with a larger population is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Douala'}
{'statement': 'Between Brasília and Campos do Jordão, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Hanoi and Asmara, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Asmara'}
{'statement': 'Between Moscow and Napier, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Napier'}
{'statement': 'Between Denver and Upington, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Upington'}
{'statement': 'Between Chicago and Murmansk, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Murmansk'}
{'statement': 'Between Alexandria and Garoua, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Garoua'}
{'statement': 'Between Guangzhou and San José, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'San José'}
{'statement': 'Between Los Angeles and Palermo, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Palermo'}
{'statement': 'Between Denver and Bergen, the city with a larger population is Denver.', 'answer': 'Denver', 'candidate': 'Bergen'}
{'statement': 'Between Lahore and Asmara, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Asmara'}
{'statement': 'Between Monterrey and Kathmandu, the city with a larger population is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Kathmandu'}
{'statement': 'Between Guangzhou and Tampa, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tampa'}
{'statement': 'Between Buenos Aires and Yakutsk, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Yakutsk'}
{'statement': 'Between Lima and Baltimore, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Baltimore'}
{'statement': 'Between Lima and Irkutsk, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Irkutsk'}
{'statement': 'Between Beijing and Pretoria, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Pretoria'}
{'statement': 'Between Guadalajara and Honolulu, the city with a larger population is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Honolulu'}
{'statement': 'Between Moscow and Gabès, the city with a larger population is Moscow.', 'answer': 'Moscow', 'candidate': 'Gabès'}
{'statement': 'Between Beijing and Tabora, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Tabora'}
{'statement': 'Between Minneapolis and Tabora, the city with a larger population is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Tabora'}
{'statement': 'Between Mexico City and Palembang, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Palembang'}
{'statement': 'Between Paris and Palermo, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Palermo'}
{'statement': 'Between Riyadh and Kano, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Kano'}
{'statement': 'Between Luanda and Guadalajara, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Guadalajara'}
{'statement': 'Between Lagos and Lake Havasu City, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Kabul and Canberra, the city with a larger population is Kabul.', 'answer': 'Kabul', 'candidate': 'Canberra'}
{'statement': 'Between Kunming and Omaha, the city with a larger population is Kunming.', 'answer': 'Kunming', 'candidate': 'Omaha'}
{'statement': 'Between Kuwait City and Kathmandu, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Kathmandu'}
{'statement': 'Between Chicago and Perth, the city with a larger population is Chicago.', 'answer': 'Chicago', 'candidate': 'Perth'}
{'statement': 'Between Karachi and San José, the city with a larger population is Karachi.', 'answer': 'Karachi', 'candidate': 'San José'}
{'statement': 'Between London and Bamako, the city with a larger population is London.', 'answer': 'London', 'candidate': 'Bamako'}
{'statement': 'Between Santiago and Berlin, the city with a larger population is Santiago.', 'answer': 'Santiago', 'candidate': 'Berlin'}
{'statement': 'Between Lima and Lviv, the city with a larger population is Lima.', 'answer': 'Lima', 'candidate': 'Lviv'}
{'statement': 'Between Lagos and Cape Town, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Cape Town'}
{'statement': 'Between Mexico City and Amsterdam, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Amsterdam'}
{'statement': 'Between Mexico City and Mexicali, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Mexicali'}
{'statement': 'Between Jakarta and Mombasa, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Mombasa'}
{'statement': 'Between Sydney and Brussels, the city with a larger population is Sydney.', 'answer': 'Sydney', 'candidate': 'Brussels'}
{'statement': 'Between Jakarta and Port-Gentil, the city with a larger population is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Port-Gentil'}
{'statement': 'Between Mexico City and Tripoli, the city with a larger population is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Tripoli'}
{'statement': 'Between Baghdad and Almaty, the city with a larger population is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Almaty'}
{'statement': 'Between Buenos Aires and Almaty, the city with a larger population is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Almaty'}
{'statement': 'Between Luanda and Minneapolis, the city with a larger population is Luanda.', 'answer': 'Luanda', 'candidate': 'Minneapolis'}
{'statement': 'Between Rome and Oslo, the city with a larger population is Rome.', 'answer': 'Rome', 'candidate': 'Oslo'}
{'statement': 'Between Guangzhou and Dodoma, the city with a larger population is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Dodoma'}
{'statement': 'Between Phoenix and Bergen, the city with a larger population is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bergen'}
{'statement': 'Between Nairobi and Bahía Blanca, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Bahía Blanca'}
{'statement': 'Between Johannesburg and Makassar, the city with a larger population is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Makassar'}
{'statement': 'Between Bangkok and Muscat, the city with a larger population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Muscat'}
{'statement': 'Between Paris and Makassar, the city with a larger population is Paris.', 'answer': 'Paris', 'candidate': 'Makassar'}
{'statement': 'Between Los Angeles and Cotonou, the city with a larger population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Cotonou'}
{'statement': 'Between Dar es Salaam and Phoenix, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Phoenix'}
{'statement': 'Between Shanghai and Bujumbura, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Bujumbura'}
{'statement': 'Between Baku and La Serena, the city with a larger population is Baku.', 'answer': 'Baku', 'candidate': 'La Serena'}
{'statement': 'Between Riyadh and Palmerston North, the city with a larger population is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Palmerston North'}
{'statement': 'Between Surabaya and Podgorica, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Podgorica'}
{'statement': 'Between Shanghai and Denver, the city with a larger population is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Denver'}
{'statement': 'Between Nairobi and Lhasa, the city with a larger population is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Lhasa'}
{'statement': 'Between Douala and Zürich, the city with a larger population is Douala.', 'answer': 'Douala', 'candidate': 'Zürich'}
{'statement': 'Between Lahore and Mahajanga, the city with a larger population is Lahore.', 'answer': 'Lahore', 'candidate': 'Mahajanga'}
{'statement': 'Between Alexandria and Sucre, the city with a larger population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Sucre'}
{'statement': 'Between Kuwait City and Rangpur, the city with a larger population is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Rangpur'}
{'statement': 'Between Beijing and Fukuoka, the city with a larger population is Beijing.', 'answer': 'Beijing', 'candidate': 'Fukuoka'}
{'statement': 'Between Tampa and Mendoza, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'Mendoza'}
{'statement': 'Between Tampa and San Juan, the city with a larger population is Tampa.', 'answer': 'Tampa', 'candidate': 'San Juan'}
{'statement': 'Between Lagos and Napier, the city with a larger population is Lagos.', 'answer': 'Lagos', 'candidate': 'Napier'}
{'statement': 'Between Dar es Salaam and Tripoli, the city with a larger population is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Tripoli'}
{'statement': 'Between Fukuoka and Nouadhibou, the city with a larger population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Nouadhibou'}
{'statement': 'Between Melbourne and Mombasa, the city with a larger population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Mombasa'}
{'statement': 'Between Hanoi and Canberra, the city with a larger population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Canberra'}
{'statement': 'Between Toronto and Fairbanks, the city with a larger population is Toronto.', 'answer': 'Toronto', 'candidate': 'Fairbanks'}
{'statement': 'Between Houston and Denpasar, the city with a larger population is Houston.', 'answer': 'Houston', 'candidate': 'Denpasar'}
{'statement': 'Between Brasília and Albuquerque, the city with a larger population is Brasília.', 'answer': 'Brasília', 'candidate': 'Albuquerque'}
{'statement': 'Between Mumbai and Kunming, the city with a larger population is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Kunming'}
{'statement': 'Between Addis Ababa and Piura, the city with a larger population is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Piura'}
{'statement': 'Between Ankara and San Antonio, the city with a larger population is Ankara.', 'answer': 'Ankara', 'candidate': 'San Antonio'}
{'statement': 'Between Brisbane and Port Moresby, the city with a larger population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Port Moresby'}
{'statement': 'Between Surabaya and Rangpur, the city with a larger population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Rangpur'}
