{'statement': 'Between Manila and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Manila'}
{'statement': 'Between Buenos Aires and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Buenos Aires'}
{'statement': 'Between Saint Petersburg and Barranquilla, the smaller city is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Luanda and Bratislava, the smaller city is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Luanda'}
{'statement': 'Between Los Angeles and Nairobi, the smaller city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Los Angeles'}
{'statement': 'Between Ürümqi and Garissa, the smaller city is Garissa.', 'answer': 'Garissa', 'candidate': 'Ürümqi'}
{'statement': 'Between Ho Chi Minh City and Santiago, the smaller city is Santiago.', 'answer': 'Santiago', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'San Diego'}
{'statement': 'Between Lahore and Mandalay, the smaller city is Mandalay.', 'answer': 'Mandalay', 'candidate': 'Lahore'}
{'statement': 'Between Baghdad and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Baghdad'}
{'statement': 'Between Mexico City and Bangkok, the smaller city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Mexico City'}
{'statement': 'Between Mumbai and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Mumbai'}
{'statement': 'Between Ankara and Kuopio, the smaller city is Kuopio.', 'answer': 'Kuopio', 'candidate': 'Ankara'}
{'statement': 'Between Brasília and Garoua, the smaller city is Garoua.', 'answer': 'Garoua', 'candidate': 'Brasília'}
{'statement': 'Between Lima and Ankara, the smaller city is Ankara.', 'answer': 'Ankara', 'candidate': 'Lima'}
{'statement': 'Between Johannesburg and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Johannesburg'}
{'statement': 'Between Douala and Ljubljana, the smaller city is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Douala'}
{'statement': 'Between Alexandria and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Alexandria'}
{'statement': 'Between Ho Chi Minh City and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between San Diego and Tucson, the smaller city is Tucson.', 'answer': 'Tucson', 'candidate': 'San Diego'}
{'statement': 'Between Paris and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Paris'}
{'statement': 'Between Toronto and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Toronto'}
{'statement': 'Between Paris and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Paris'}
{'statement': 'Between Jakarta and Ushuaia, the smaller city is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Jakarta'}
{'statement': 'Between London and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'London'}
{'statement': 'Between Brasília and Kathmandu, the smaller city is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Brasília'}
{'statement': 'Between Lahore and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Lahore'}
{'statement': 'Between Jakarta and Kano, the smaller city is Kano.', 'answer': 'Kano', 'candidate': 'Jakarta'}
{'statement': 'Between Algiers and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Algiers'}
{'statement': 'Between Houston and Punta Arenas, the smaller city is Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Houston'}
{'statement': 'Between Jakarta and Monterrey, the smaller city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Jakarta'}
{'statement': 'Between Los Angeles and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Los Angeles'}
{'statement': 'Between Cairo and Pittsburgh, the smaller city is Pittsburgh.', 'answer': 'Pittsburgh', 'candidate': 'Cairo'}
{'statement': 'Between Ankara and Neuquén, the smaller city is Neuquén.', 'answer': 'Neuquén', 'candidate': 'Ankara'}
