{'statement': 'You are looking for a small city to visit. Between Guangzhou and Bujumbura, you should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Yakutsk and Kabul, you should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Manila and Kunming, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Manila'}
{'statement': 'You are looking for a small city to visit. Between Algiers and Mexico City, you should visit Algiers.', 'answer': 'Algiers', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Mahajanga and Ankara, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Entebbe and Mumbai, you should visit Entebbe.', 'answer': 'Entebbe', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Kano and Bahía Blanca, you should visit Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Kano'}
{'statement': 'You are looking for a small city to visit. Between Luanda and Bucharest, you should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Panama City and Paris, you should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Surabaya, you should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Calgary and Bangkok, you should visit Calgary.', 'answer': 'Calgary', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Kansas City and Johannesburg, you should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Johannesburg'}
{'statement': 'You are looking for a small city to visit. Between Algiers and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Algiers'}
{'statement': 'You are looking for a small city to visit. Between Moscow and Toronto, you should visit Toronto.', 'answer': 'Toronto', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Houston and Durban, you should visit Durban.', 'answer': 'Durban', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Santiago and Shanghai, you should visit Santiago.', 'answer': 'Santiago', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Mendoza and Riyadh, you should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Medellín, you should visit Medellín.', 'answer': 'Medellín', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Berlin and Lake Havasu City, you should visit Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Berlin'}
{'statement': 'You are looking for a small city to visit. Between Hamilton and Saint Petersburg, you should visit Hamilton.', 'answer': 'Hamilton', 'candidate': 'Saint Petersburg'}
