{'statement': 'Someone is looking for a city with cold weather. Between Sokoto and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Sokoto'}
{'statement': 'Someone is looking for a city with cold weather. Between Wau and Fukuoka, this person should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Wau'}
{'statement': 'Someone is looking for a city with cold weather. Between Juba and Kunming, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Juba'}
{'statement': 'Someone is looking for a city with cold weather. Between Buenos Aires and Moscow, this person should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Buenos Aires'}
{'statement': 'Someone is looking for a city with cold weather. Between Medellín and Ljubljana, this person should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Medellín'}
{'statement': 'Someone is looking for a city with cold weather. Between Brisbane and Novosibirsk, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Brisbane'}
{'statement': 'Someone is looking for a city with cold weather. Between Cotonou and London, this person should visit London.', 'answer': 'London', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Bogotá, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Antsiranana and Fairbanks, this person should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Antsiranana'}
{'statement': 'Someone is looking for a city with cold weather. Between Kingston and Zagreb, this person should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kingston'}
{'statement': 'Someone is looking for a city with cold weather. Between Mandalay and Toluca, this person should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a city with cold weather. Between Belize City and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Belize City'}
{'statement': 'Someone is looking for a city with cold weather. Between Suva and Lhasa, this person should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Fukuoka and Kuopio, this person should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Fukuoka'}
{'statement': 'Someone is looking for a city with cold weather. Between Beirut and Brussels, this person should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Beirut'}
{'statement': 'Someone is looking for a city with cold weather. Between Cotonou and Frankfurt, this person should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Cotonou'}
{'statement': 'Someone is looking for a city with cold weather. Between Manila and Albuquerque, this person should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Manila'}
{'statement': 'Someone is looking for a city with cold weather. Between Hanoi and Kabul, this person should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Hanoi'}
{'statement': 'Someone is looking for a city with cold weather. Between Port-Gentil and Melbourne, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a city with cold weather. Between Phoenix and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Phoenix'}
{'statement': 'Someone is looking for a city with cold weather. Between Brasília and Bratislava, this person should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Brasília'}
{'statement': 'Someone is looking for a city with cold weather. Between Lagos and Yinchuan, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Lagos'}
{'statement': 'Someone is looking for a city with cold weather. Between Port Moresby and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Port Moresby'}
{'statement': 'Someone is looking for a city with cold weather. Between Florianópolis and Reykjavík, this person should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Florianópolis'}
{'statement': 'Someone is looking for a city with cold weather. Between Kunming and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a city with cold weather. Between Port-Gentil and Belgrade, this person should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Port-Gentil'}
{'statement': 'Someone is looking for a city with cold weather. Between Cape Town and Yakutsk, this person should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Cape Town'}
{'statement': 'Someone is looking for a city with cold weather. Between Lahore and Saskatoon, this person should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Lahore'}
{'statement': 'Someone is looking for a city with cold weather. Between Vientiane and Kunming, this person should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Vientiane'}
{'statement': 'Someone is looking for a city with cold weather. Between Phnom Penh and Anchorage, this person should visit Anchorage.', 'answer': 'Anchorage', 'candidate': 'Phnom Penh'}
{'statement': 'Someone is looking for a city with cold weather. Between Suva and Irkutsk, this person should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Suva'}
{'statement': 'Someone is looking for a city with cold weather. Between Conakry and Boise, this person should visit Boise.', 'answer': 'Boise', 'candidate': 'Conakry'}
{'statement': 'Someone is looking for a city with cold weather. Between Lomé and Curitiba, this person should visit Curitiba.', 'answer': 'Curitiba', 'candidate': 'Lomé'}
{'statement': 'Someone is looking for a city with cold weather. Between San Salvador and Yinchuan, this person should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'San Salvador'}
{'statement': 'Someone is looking for a city with cold weather. Between Ho Chi Minh City and Frankfurt, this person should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Someone is looking for a city with cold weather. Between Cayenne and Amsterdam, this person should visit Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Cayenne'}
{'statement': 'Someone is looking for a city with cold weather. Between Palembang and Lyon, this person should visit Lyon.', 'answer': 'Lyon', 'candidate': 'Palembang'}
{'statement': 'Someone is looking for a city with cold weather. Between Mandalay and Punta Arenas, this person should visit Punta Arenas.', 'answer': 'Punta Arenas', 'candidate': 'Mandalay'}
{'statement': 'Someone is looking for a city with cold weather. Between Makurdi and Auckland, this person should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Makurdi'}
{'statement': 'Someone is looking for a city with cold weather. Between San Juan and Tirana, this person should visit Tirana.', 'answer': 'Tirana', 'candidate': 'San Juan'}
{'statement': 'Someone is looking for a city with cold weather. Between Riyadh and Tashkent, this person should visit Tashkent.', 'answer': 'Tashkent', 'candidate': 'Riyadh'}
{'statement': 'Someone is looking for a city with cold weather. Between El Paso and Novosibirsk, this person should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'El Paso'}
{'statement': 'Someone is looking for a city with cold weather. Between Niamey and Bishkek, this person should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a city with cold weather. Between Kano and Vladivostok, this person should visit Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Kano'}
{'statement': 'Someone is looking for a city with cold weather. Between Willemstad and Bucharest, this person should visit Bucharest.', 'answer': 'Bucharest', 'candidate': 'Willemstad'}
{'statement': 'Someone is looking for a city with cold weather. Between Niamey and Viedma, this person should visit Viedma.', 'answer': 'Viedma', 'candidate': 'Niamey'}
{'statement': 'Someone is looking for a city with cold weather. Between Kingston and Sacramento, this person should visit Sacramento.', 'answer': 'Sacramento', 'candidate': 'Kingston'}
{'statement': 'Someone is looking for a city with cold weather. Between Barranquilla and Minsk, this person should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Barranquilla'}
{'statement': 'Someone is looking for a city with cold weather. Between Garissa and Antofagasta, this person should visit Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Garissa'}
{'statement': 'Someone is looking for a city with cold weather. Between Beirut and Ushuaia, this person should visit Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Beirut'}
{'statement': 'Someone is looking for a city with cold weather. Between Bamako and Hobart, this person should visit Hobart.', 'answer': 'Hobart', 'candidate': 'Bamako'}
{'statement': 'Someone is looking for a city with cold weather. Between Kunming and Ulaanbaatar, this person should visit Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Kunming'}
