{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and Sushi Shop, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between The Empire and Cafe Jules, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Roncy's Bean and Milo's Pita, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': "Roncy's Bean"}
{'statement': "I don't like restaurants further away. Between z-teca Gourmet Burritos and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Ardor Bistro and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like restaurants further away. Between Oxygen Restaurant & Lounge and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like restaurants further away. Between JJ Bean and El Fogón, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'JJ Bean'}
{'statement': "I don't like restaurants further away. Between Galata Cafe and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Galata Cafe'}
{'statement': "I don't like restaurants further away. Between Madras Pantry and Druxy's Famous Deli, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like restaurants further away. Between Anatolia Restaurant and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like restaurants further away. Between Aroma Espresso Bar and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Watson's, I should go to Watson's.", 'answer': "Watson's", 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between Tik Talk Cafe and Bagel Nash, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Bagel Nash'}
{'statement': "I don't like restaurants further away. Between Mamma's Pizza and Ardor Bistro, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Ardor Bistro'}
