{'statement': 'Between Cotonou and Canberra, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Canberra'}
{'statement': 'Between Ljubljana and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Ljubljana'}
{'statement': 'Between Skopje and Lake Havasu City, the city with warmer weather is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Skopje'}
{'statement': 'Between La Paz and Sapporo, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Sapporo'}
{'statement': 'Between Sacramento and Nur-Sultan, the city with warmer weather is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Luanda and Lyon, the city with warmer weather is Luanda.', 'answer': 'Luanda', 'candidate': 'Lyon'}
{'statement': 'Between Wellington and Novosibirsk, the city with warmer weather is Wellington.', 'answer': 'Wellington', 'candidate': 'Novosibirsk'}
{'statement': 'Between Copenhagen and Muscat, the city with warmer weather is Muscat.', 'answer': 'Muscat', 'candidate': 'Copenhagen'}
{'statement': 'Between Cotonou and Calgary, the city with warmer weather is Cotonou.', 'answer': 'Cotonou', 'candidate': 'Calgary'}
{'statement': 'Between Douala and Campos do Jordão, the city with warmer weather is Douala.', 'answer': 'Douala', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Ségou and Irkutsk, the city with warmer weather is Ségou.', 'answer': 'Ségou', 'candidate': 'Irkutsk'}
{'statement': 'Between Gabès and Irkutsk, the city with warmer weather is Gabès.', 'answer': 'Gabès', 'candidate': 'Irkutsk'}
{'statement': 'Between Surabaya and Ürümqi, the city with warmer weather is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Ürümqi'}
{'statement': 'Between Pontianak and Vladivostok, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Vladivostok'}
{'statement': 'Between Paramaribo and Lviv, the city with warmer weather is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Lviv'}
{'statement': 'Between Pontianak and Minneapolis, the city with warmer weather is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Minneapolis'}
{'statement': 'Between Parakou and Saint Petersburg, the city with warmer weather is Parakou.', 'answer': 'Parakou', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Bangkok and Chihuahua, the city with warmer weather is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Chihuahua'}
{'statement': 'Between La Paz and Frankfurt, the city with warmer weather is La Paz.', 'answer': 'La Paz', 'candidate': 'Frankfurt'}
{'statement': 'Between Erzurum and Mombasa, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Erzurum'}
{'statement': 'Between Christchurch and Nouakchott, the city with warmer weather is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Christchurch'}
{'statement': 'Between Reykjavík and Lagos, the city with warmer weather is Lagos.', 'answer': 'Lagos', 'candidate': 'Reykjavík'}
{'statement': 'Between Barranquilla and Canberra, the city with warmer weather is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Canberra'}
{'statement': 'Between Sydney and Willemstad, the city with warmer weather is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Sydney'}
{'statement': 'Between Milwaukee and Mombasa, the city with warmer weather is Mombasa.', 'answer': 'Mombasa', 'candidate': 'Milwaukee'}
{'statement': 'Between Toliara and Paris, the city with warmer weather is Toliara.', 'answer': 'Toliara', 'candidate': 'Paris'}
{'statement': 'Between Niamey and Podgorica, the city with warmer weather is Niamey.', 'answer': 'Niamey', 'candidate': 'Podgorica'}
{'statement': 'Between Halifax and Hanoi, the city with warmer weather is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Halifax'}
{'statement': 'Between Skopje and Mahajanga, the city with warmer weather is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Skopje'}
{'statement': 'Between Suwałki and Kampala, the city with warmer weather is Kampala.', 'answer': 'Kampala', 'candidate': 'Suwałki'}
