{'statement': 'You are looking for a small city to visit. Between Mumbai and Florianópolis, you should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Lagos and Auckland, you should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Lagos'}
{'statement': 'You are looking for a small city to visit. Between Cairo and Garoua, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Cairo'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Garissa, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between Los Angeles and Denver, you should visit Denver.', 'answer': 'Denver', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Mombasa, you should visit Mombasa.', 'answer': 'Mombasa', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and Monterrey, you should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Guadalajara and Florianópolis, you should visit Florianópolis.', 'answer': 'Florianópolis', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Tampa and La Ceiba, you should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Guadalajara and Beirut, you should visit Beirut.', 'answer': 'Beirut', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Paris and Baku, you should visit Baku.', 'answer': 'Baku', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Aden, you should visit Aden.', 'answer': 'Aden', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Medellín and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Medellín'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Albuquerque, you should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Tampa and Malabo, you should visit Malabo.', 'answer': 'Malabo', 'candidate': 'Tampa'}
{'statement': 'You are looking for a small city to visit. Between Beijing and Parakou, you should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Beijing'}
{'statement': 'You are looking for a small city to visit. Between Yaoundé and Tamanrasset, you should visit Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Yaoundé'}
