{'statement': 'You are looking for a city with warm weather. Between Anchorage and Tampa, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Anchorage'}
{'statement': 'You are looking for a city with warm weather. Between Bamako and Auckland, you should visit Bamako.', 'answer': 'Bamako', 'candidate': 'Auckland'}
{'statement': 'You are looking for a city with warm weather. Between Luanda and Suwałki, you should visit Luanda.', 'answer': 'Luanda', 'candidate': 'Suwałki'}
{'statement': 'You are looking for a city with warm weather. Between Pontianak and Sucre, you should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Sucre'}
{'statement': 'You are looking for a city with warm weather. Between Bergen and Mahajanga, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Bergen'}
{'statement': 'You are looking for a city with warm weather. Between Frankfurt and Barranquilla, you should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Frankfurt'}
{'statement': 'You are looking for a city with warm weather. Between Pontianak and Lyon, you should visit Pontianak.', 'answer': 'Pontianak', 'candidate': 'Lyon'}
{'statement': 'You are looking for a city with warm weather. Between Vladivostok and Port Sudan, you should visit Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Vladivostok'}
{'statement': 'You are looking for a city with warm weather. Between Kansas City and Managua, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Kansas City'}
{'statement': 'You are looking for a city with warm weather. Between Managua and Belgrade, you should visit Managua.', 'answer': 'Managua', 'candidate': 'Belgrade'}
{'statement': 'You are looking for a city with warm weather. Between Hanoi and Reykjavík, you should visit Hanoi.', 'answer': 'Hanoi', 'candidate': 'Reykjavík'}
{'statement': 'You are looking for a city with warm weather. Between Ushuaia and Maputo, you should visit Maputo.', 'answer': 'Maputo', 'candidate': 'Ushuaia'}
{'statement': 'You are looking for a city with warm weather. Between Suva and Bogotá, you should visit Suva.', 'answer': 'Suva', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a city with warm weather. Between Ottawa and Mendoza, you should visit Mendoza.', 'answer': 'Mendoza', 'candidate': 'Ottawa'}
{'statement': 'You are looking for a city with warm weather. Between Paris and Ulaanbaatar, you should visit Paris.', 'answer': 'Paris', 'candidate': 'Ulaanbaatar'}
{'statement': 'You are looking for a city with warm weather. Between London and Makurdi, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'London'}
{'statement': 'You are looking for a city with warm weather. Between Bishkek and Irkutsk, you should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Irkutsk'}
{'statement': 'You are looking for a city with warm weather. Between Panama City and Mexico City, you should visit Panama City.', 'answer': 'Panama City', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a city with warm weather. Between Port Moresby and Addis Ababa, you should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Addis Ababa'}
