{'statement': 'You are looking for a city with cold weather. Between Sokoto and Auckland, you should visit Auckland.', 'answer': 'Auckland', 'candidate': 'Sokoto'}
{'statement': 'You are looking for a city with cold weather. Between Wau and Fukuoka, you should visit Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Wau'}
{'statement': 'You are looking for a city with cold weather. Between Juba and Kunming, you should visit Kunming.', 'answer': 'Kunming', 'candidate': 'Juba'}
{'statement': 'You are looking for a city with cold weather. Between Buenos Aires and Moscow, you should visit Moscow.', 'answer': 'Moscow', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a city with cold weather. Between Medellín and Ljubljana, you should visit Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Medellín'}
{'statement': 'You are looking for a city with cold weather. Between Brisbane and Novosibirsk, you should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Brisbane'}
{'statement': 'You are looking for a city with cold weather. Between Cotonou and London, you should visit London.', 'answer': 'London', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a city with cold weather. Between Barranquilla and Bogotá, you should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Barranquilla'}
{'statement': 'You are looking for a city with cold weather. Between Antsiranana and Fairbanks, you should visit Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Antsiranana'}
{'statement': 'You are looking for a city with cold weather. Between Kingston and Zagreb, you should visit Zagreb.', 'answer': 'Zagreb', 'candidate': 'Kingston'}
{'statement': 'You are looking for a city with cold weather. Between Mandalay and Toluca, you should visit Toluca.', 'answer': 'Toluca', 'candidate': 'Mandalay'}
{'statement': 'You are looking for a city with cold weather. Between Belize City and Lhasa, you should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Belize City'}
{'statement': 'You are looking for a city with cold weather. Between Suva and Lhasa, you should visit Lhasa.', 'answer': 'Lhasa', 'candidate': 'Suva'}
{'statement': 'You are looking for a city with cold weather. Between Fukuoka and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a city with cold weather. Between Beirut and Brussels, you should visit Brussels.', 'answer': 'Brussels', 'candidate': 'Beirut'}
{'statement': 'You are looking for a city with cold weather. Between Cotonou and Frankfurt, you should visit Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Cotonou'}
{'statement': 'You are looking for a city with cold weather. Between Manila and Albuquerque, you should visit Albuquerque.', 'answer': 'Albuquerque', 'candidate': 'Manila'}
{'statement': 'You are looking for a city with cold weather. Between Hanoi and Kabul, you should visit Kabul.', 'answer': 'Kabul', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a city with cold weather. Between Port-Gentil and Melbourne, you should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Port-Gentil'}
{'statement': 'You are looking for a city with cold weather. Between Phoenix and Saskatoon, you should visit Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Phoenix'}
{'statement': 'You are looking for a city with cold weather. Between Brasília and Bratislava, you should visit Bratislava.', 'answer': 'Bratislava', 'candidate': 'Brasília'}
{'statement': 'You are looking for a city with cold weather. Between Lagos and Yinchuan, you should visit Yinchuan.', 'answer': 'Yinchuan', 'candidate': 'Lagos'}
{'statement': 'You are looking for a city with cold weather. Between Port Moresby and Minsk, you should visit Minsk.', 'answer': 'Minsk', 'candidate': 'Port Moresby'}
{'statement': 'You are looking for a city with cold weather. Between Florianópolis and Reykjavík, you should visit Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Florianópolis'}
{'statement': 'You are looking for a city with cold weather. Between Kunming and Irkutsk, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Kunming'}
{'statement': 'You are looking for a city with cold weather. Between Port-Gentil and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Port-Gentil'}
{'statement': 'You are looking for a city with cold weather. Between Cape Town and Yakutsk, you should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Cape Town'}
