{'statement': 'Between Aden and Milan, the city with lower average temperature is Milan.', 'answer': 'Milan', 'candidate': 'Aden'}
{'statement': 'Between Djibouti and Lhasa, the city with lower average temperature is Lhasa.', 'answer': 'Lhasa', 'candidate': 'Djibouti'}
{'statement': 'Between Juba and Calgary, the city with lower average temperature is Calgary.', 'answer': 'Calgary', 'candidate': 'Juba'}
{'statement': 'Between San Antonio and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'San Antonio'}
{'statement': 'Between Aden and Perth, the city with lower average temperature is Perth.', 'answer': 'Perth', 'candidate': 'Aden'}
{'statement': 'Between La Ceiba and Saskatoon, the city with lower average temperature is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'La Ceiba'}
{'statement': 'Between Manila and Irkutsk, the city with lower average temperature is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Manila'}
{'statement': 'Between Sapporo and Yakutsk, the city with lower average temperature is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Sapporo'}
{'statement': 'Between La Ceiba and Amsterdam, the city with lower average temperature is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'La Ceiba'}
{'statement': 'Between Tampa and Ürümqi, the city with lower average temperature is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Tampa'}
{'statement': 'Between Denpasar and Hobart, the city with lower average temperature is Hobart.', 'answer': 'Hobart', 'candidate': 'Denpasar'}
{'statement': 'Between Campos do Jordão and Saskatoon, the city with lower average temperature is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Campos do Jordão'}
{'statement': 'Between Paramaribo and Addis Ababa, the city with lower average temperature is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Paramaribo'}
{'statement': 'Between Toamasina and Yerevan, the city with lower average temperature is Yerevan.', 'answer': 'Yerevan', 'candidate': 'Toamasina'}
{'statement': 'Between Kano and Moscow, the city with lower average temperature is Moscow.', 'answer': 'Moscow', 'candidate': 'Kano'}
