{'statement': 'Someone is looking for a city with warm weather. Between Aden and Milan, this person should visit Aden.', 'answer': 'Aden', 'candidate': 'Milan'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Lhasa, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lhasa'}
{'statement': 'Someone is looking for a city with warm weather. Between Juba and Calgary, this person should visit Juba.', 'answer': 'Juba', 'candidate': 'Calgary'}
{'statement': 'Someone is looking for a city with warm weather. Between San Antonio and Zagreb, this person should visit San Antonio.', 'answer': 'San Antonio', 'candidate': 'Zagreb'}
{'statement': 'Someone is looking for a city with warm weather. Between Aden and Perth, this person should visit Aden.', 'answer': 'Aden', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a city with warm weather. Between La Ceiba and Saskatoon, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Manila and Irkutsk, this person should visit Manila.', 'answer': 'Manila', 'candidate': 'Irkutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Sapporo and Yakutsk, this person should visit Sapporo.', 'answer': 'Sapporo', 'candidate': 'Yakutsk'}
{'statement': 'Someone is looking for a city with warm weather. Between La Ceiba and Amsterdam, this person should visit La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Amsterdam'}
{'statement': 'Someone is looking for a city with warm weather. Between Tampa and Ürümqi, this person should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Ürümqi'}
{'statement': 'Someone is looking for a city with warm weather. Between Denpasar and Hobart, this person should visit Denpasar.', 'answer': 'Denpasar', 'candidate': 'Hobart'}
{'statement': 'Someone is looking for a city with warm weather. Between Campos do Jordão and Saskatoon, this person should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Saskatoon'}
{'statement': 'Someone is looking for a city with warm weather. Between Paramaribo and Addis Ababa, this person should visit Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Addis Ababa'}
{'statement': 'Someone is looking for a city with warm weather. Between Toamasina and Yerevan, this person should visit Toamasina.', 'answer': 'Toamasina', 'candidate': 'Yerevan'}
