{'statement': 'Between Monterrey and Florianópolis, the bigger city is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Florianópolis'}
{'statement': 'Between Saint Petersburg and Kathmandu, the bigger city is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Kathmandu'}
{'statement': 'Between Phoenix and Mandalay, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Mandalay'}
{'statement': 'Between Sydney and Antofagasta, the bigger city is Sydney.', 'answer': 'Sydney', 'candidate': 'Antofagasta'}
{'statement': 'Between Buenos Aires and Port-Gentil, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Port-Gentil'}
{'statement': 'Between Ürümqi and Cotonou, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Cotonou'}
{'statement': 'Between Tampa and Makurdi, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Makurdi'}
{'statement': 'Between Phoenix and Podgorica, the bigger city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Podgorica'}
{'statement': 'Between Guangzhou and Mahajanga, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Mahajanga'}
{'statement': 'Between Medellín and Neuquén, the bigger city is Medellín.', 'answer': 'Medellín', 'candidate': 'Neuquén'}
{'statement': 'Between Surabaya and Erbil, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Erbil'}
{'statement': 'Between Denver and Juba, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Juba'}
{'statement': 'Between Lagos and Yakutsk, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Yakutsk'}
{'statement': 'Between Jakarta and Palermo, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Palermo'}
{'statement': 'Between Karachi and Minneapolis, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Minneapolis'}
{'statement': 'Between Surabaya and Fukuoka, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Fukuoka'}
{'statement': 'Between Kabul and Pretoria, the bigger city is Kabul.', 'answer': 'Kabul', 'candidate': 'Pretoria'}
{'statement': 'Between Lagos and Surabaya, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Surabaya'}
{'statement': 'Between Bangkok and Curitiba, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Curitiba'}
{'statement': 'Between Lima and Pretoria, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Pretoria'}
{'statement': 'Between Denver and Podgorica, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Podgorica'}
{'statement': 'Between Mexico City and Ouahigouya, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Ouahigouya'}
{'statement': 'Between Mumbai and Pontianak, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Pontianak'}
{'statement': 'Between Melbourne and Nouakchott, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Nouakchott'}
{'statement': 'Between Douala and Ségou, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Ségou'}
{'statement': 'Between Brisbane and Kuopio, the bigger city is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Kuopio'}
{'statement': 'Between Buenos Aires and Panama City, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Panama City'}
{'statement': 'Between Guangzhou and Boise, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Boise'}
{'statement': 'Between Guangzhou and Ouahigouya, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Ouahigouya'}
{'statement': 'Between Shanghai and Cape Town, the bigger city is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Cape Town'}
{'statement': 'Between Rome and La Paz, the bigger city is Rome.', 'answer': 'Rome', 'candidate': 'La Paz'}
{'statement': 'Between Chicago and Novosibirsk, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Novosibirsk'}
{'statement': 'Between Ankara and Wellington, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Wellington'}
{'statement': 'Between Ürümqi and Ndola, the bigger city is Ürümqi.', 'answer': 'Ürümqi', 'candidate': 'Ndola'}
{'statement': 'Between Toronto and Podgorica, the bigger city is Toronto.', 'answer': 'Toronto', 'candidate': 'Podgorica'}
{'statement': 'Between Lahore and Aden, the bigger city is Lahore.', 'answer': 'Lahore', 'candidate': 'Aden'}
{'statement': 'Between Kuwait City and Lomé, the bigger city is Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Lomé'}
{'statement': 'Between Kunming and San Diego, the bigger city is Kunming.', 'answer': 'Kunming', 'candidate': 'San Diego'}
{'statement': 'Between Paris and Lomé, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Lomé'}
{'statement': 'Between Karachi and Barranquilla, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Barranquilla'}
{'statement': 'Between Riyadh and Pretoria, the bigger city is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Pretoria'}
{'statement': 'Between Cairo and Cabo San Lucas, the bigger city is Cairo.', 'answer': 'Cairo', 'candidate': 'Cabo San Lucas'}
{'statement': 'Between Houston and Brussels, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Brussels'}
