{'statement': 'Between London and Milan, the city with a smaller population is Milan.', 'answer': 'Milan', 'candidate': 'London'}
{'statement': 'Between Lagos and Calgary, the city with a smaller population is Calgary.', 'answer': 'Calgary', 'candidate': 'Lagos'}
{'statement': 'Between Douala and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Douala'}
{'statement': 'Between Jakarta and Hanoi, the city with a smaller population is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Jakarta'}
{'statement': 'Between Houston and Pretoria, the city with a smaller population is Pretoria.', 'answer': 'Pretoria', 'candidate': 'Houston'}
{'statement': 'Between Karachi and Lusaka, the city with a smaller population is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Karachi'}
{'statement': 'Between Melbourne and Makurdi, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Melbourne'}
{'statement': 'Between Tashkent and Gabès, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Tashkent'}
{'statement': 'Between Luanda and Toliara, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Luanda'}
{'statement': 'Between Guadalajara and Harare, the city with a smaller population is Harare.', 'answer': 'Harare', 'candidate': 'Guadalajara'}
{'statement': 'Between Nairobi and Zagreb, the city with a smaller population is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Nairobi'}
{'statement': 'Between Hanoi and Barranquilla, the city with a smaller population is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Hanoi'}
{'statement': 'Between Berlin and Ndola, the city with a smaller population is Ndola.', 'answer': 'Ndola', 'candidate': 'Berlin'}
{'statement': 'Between Ho Chi Minh City and Bratislava, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Ankara and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Ankara'}
{'statement': 'Between Algiers and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Algiers'}
{'statement': 'Between Manila and Managua, the city with a smaller population is Managua.', 'answer': 'Managua', 'candidate': 'Manila'}
{'statement': 'Between Berlin and San Juan, the city with a smaller population is San Juan.', 'answer': 'San Juan', 'candidate': 'Berlin'}
{'statement': 'Between Berlin and Córdoba, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Berlin'}
{'statement': 'Between Jakarta and Luanda, the city with a smaller population is Luanda.', 'answer': 'Luanda', 'candidate': 'Jakarta'}
{'statement': 'Between Ankara and Brisbane, the city with a smaller population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Ankara'}
{'statement': 'Between Karachi and Alexandria, the city with a smaller population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Karachi'}
{'statement': 'Between Phnom Penh and Port-Gentil, the city with a smaller population is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Phnom Penh'}
{'statement': 'Between Paris and Juba, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'Paris'}
{'statement': 'Between Santiago and Indianapolis, the city with a smaller population is Indianapolis.', 'answer': 'Indianapolis', 'candidate': 'Santiago'}
{'statement': 'Between Buenos Aires and Frankfurt, the city with a smaller population is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Buenos Aires'}
{'statement': 'Between Manila and Ankara, the city with a smaller population is Ankara.', 'answer': 'Ankara', 'candidate': 'Manila'}
{'statement': 'Between Guadalajara and Manaus, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Guadalajara'}
{'statement': 'Between Bangkok and Entebbe, the city with a smaller population is Entebbe.', 'answer': 'Entebbe', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Rome, the city with a smaller population is Rome.', 'answer': 'Rome', 'candidate': 'Lima'}
{'statement': 'Between London and Mendoza, the city with a smaller population is Mendoza.', 'answer': 'Mendoza', 'candidate': 'London'}
{'statement': 'Between Dar es Salaam and Bucharest, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Bangkok and Canberra, the city with a smaller population is Canberra.', 'answer': 'Canberra', 'candidate': 'Bangkok'}
{'statement': 'Between Tashkent and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Tashkent'}
{'statement': 'Between Santiago and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Santiago'}
{'statement': 'Between Nairobi and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Nairobi'}
{'statement': 'Between Mexico City and Fukuoka, the city with a smaller population is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Mexico City'}
{'statement': 'Between Bogotá and Bergen, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Bogotá'}
{'statement': 'Between Mumbai and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Mumbai'}
{'statement': 'Between Brasília and Sokoto, the city with a smaller population is Sokoto.', 'answer': 'Sokoto', 'candidate': 'Brasília'}
{'statement': 'Between Buenos Aires and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Buenos Aires'}
{'statement': 'Between Sydney and Bujumbura, the city with a smaller population is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Sydney'}
