{'statement': "I'm looking for an affordable restaurant. Between Mt Everest Restaurant and Sizzlers, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Grappa Ristorante and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Ardor Bistro and Mirage Grill & Lounge, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Lebanese Bakery and Druxy's Famous Deli, I should go to Druxy's Famous Deli.", 'answer': "Druxy's Famous Deli", 'candidate': 'Lebanese Bakery'}
{'statement': "I'm looking for an affordable restaurant. Between 9 Restaurant and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Mamma's Pizza and Mysteriously Yours Dinner Theatre, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for an affordable restaurant. Between Shawarma Twist and Farmacia Health Bar, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Farmacia Health Bar'}
{'statement': "I'm looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Madras Pantry, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Pho 88 and Taste of Greek Cuisine, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Thompson Rooftop, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Thompson Rooftop'}
{'statement': "I'm looking for an affordable restaurant. Between Anatolia Restaurant and Sizzlers, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Solero Mediterranean Bakery, I should go to Solero Mediterranean Bakery.", 'answer': 'Solero Mediterranean Bakery', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an affordable restaurant. Between Ici Bistro and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Pasta Pantry and Ici Bistro, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Kim PO Vietnamese and Branca, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Mövenpick Café and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for an affordable restaurant. Between Basha Middle Eastern Grill and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Just Soups Take Out & Catering and Phil's Original BBQ, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for an affordable restaurant. Between Phil's Original BBQ and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for an affordable restaurant. Between Cantine Bar & Grill and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and La Pupusa Loka, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for an affordable restaurant. Between Joe Badali's Ristorante Italiano & Bar and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for an affordable restaurant. Between Freshii and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Freshii'}
{'statement': "I'm looking for an affordable restaurant. Between Edible Arrangements and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Kibo Sushi House and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Kibo Sushi House'}
{'statement': "I'm looking for an affordable restaurant. Between Falafel Hut Village and Taste of Greek Cuisine, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Pho 88 and Tik Talk Cafe, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Kairali - Taste of Kerala and Branca, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Chick Fiesta and Viccino Pizzeria, I should go to Chick Fiesta.", 'answer': 'Chick Fiesta', 'candidate': 'Viccino Pizzeria'}
{'statement': "I'm looking for an affordable restaurant. Between Sizzlers and Cantine Bar & Grill, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Ciao Europa wine bar and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I'm looking for an affordable restaurant. Between Cantine Bar & Grill and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an affordable restaurant. Between Big Al's Diner and Ici Bistro, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Fit For Life and Sheriff Broaster Chicken, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an affordable restaurant. Between Tik Talk Cafe and Aris Place, I should go to Aris Place.", 'answer': 'Aris Place', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Le Papillon Park and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for an affordable restaurant. Between Pho 88 and Topham Corner, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for an affordable restaurant. Between Villa Madina and Hapa Toronto, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between The Coffee Pocket and Oxygen Restaurant & Lounge, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Watson's, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': "Watson's"}
{'statement': "I'm looking for an affordable restaurant. Between Cafe Jules and Pasta Pantry, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Pasta Pantry'}
