{'statement': 'Someone is looking for a city with warm weather. Between Muscat and Nur-Sultan, this person should visit Muscat.', 'answer': 'Muscat', 'candidate': 'Nur-Sultan'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Perth, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Perth'}
{'statement': 'Someone is looking for a city with warm weather. Between Jakarta and Sapporo, this person should visit Jakarta.', 'answer': 'Jakarta', 'candidate': 'Sapporo'}
{'statement': 'Someone is looking for a city with warm weather. Between Surabaya and Berlin, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Berlin'}
{'statement': 'Someone is looking for a city with warm weather. Between Kathmandu and Kuopio, this person should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Kuopio'}
{'statement': 'Someone is looking for a city with warm weather. Between Muscat and Fianarantsoa, this person should visit Muscat.', 'answer': 'Muscat', 'candidate': 'Fianarantsoa'}
{'statement': 'Someone is looking for a city with warm weather. Between Port Moresby and Antofagasta, this person should visit Port Moresby.', 'answer': 'Port Moresby', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a city with warm weather. Between Quito and Ulaanbaatar, this person should visit Quito.', 'answer': 'Quito', 'candidate': 'Ulaanbaatar'}
{'statement': 'Someone is looking for a city with warm weather. Between Monterrey and Dublin, this person should visit Monterrey.', 'answer': 'Monterrey', 'candidate': 'Dublin'}
{'statement': 'Someone is looking for a city with warm weather. Between Manaus and Kunming, this person should visit Manaus.', 'answer': 'Manaus', 'candidate': 'Kunming'}
{'statement': 'Someone is looking for a city with warm weather. Between Kuwait City and Novosibirsk, this person should visit Kuwait City.', 'answer': 'Kuwait City', 'candidate': 'Novosibirsk'}
{'statement': 'Someone is looking for a city with warm weather. Between Willemstad and Murmansk, this person should visit Willemstad.', 'answer': 'Willemstad', 'candidate': 'Murmansk'}
{'statement': 'Someone is looking for a city with warm weather. Between Barranquilla and Beijing, this person should visit Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Beijing'}
{'statement': 'Someone is looking for a city with warm weather. Between Djibouti and Lusaka, this person should visit Djibouti.', 'answer': 'Djibouti', 'candidate': 'Lusaka'}
{'statement': 'Someone is looking for a city with warm weather. Between Surabaya and Bergen, this person should visit Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bergen'}
{'statement': 'Someone is looking for a city with warm weather. Between Melbourne and Ulaanbaatar, this person should visit Melbourne.', 'answer': 'Melbourne', 'candidate': 'Ulaanbaatar'}
{'statement': 'Someone is looking for a city with warm weather. Between Córdoba and Oslo, this person should visit Córdoba.', 'answer': 'Córdoba', 'candidate': 'Oslo'}
{'statement': 'Someone is looking for a city with warm weather. Between Parakou and Ushuaia, this person should visit Parakou.', 'answer': 'Parakou', 'candidate': 'Ushuaia'}
{'statement': 'Someone is looking for a city with warm weather. Between Juba and Ottawa, this person should visit Juba.', 'answer': 'Juba', 'candidate': 'Ottawa'}
{'statement': 'Someone is looking for a city with warm weather. Between Phnom Penh and Antofagasta, this person should visit Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Antofagasta'}
{'statement': 'Someone is looking for a city with warm weather. Between Baghdad and Vienna, this person should visit Baghdad.', 'answer': 'Baghdad', 'candidate': 'Vienna'}
{'statement': 'Someone is looking for a city with warm weather. Between La Paz and Minneapolis, this person should visit La Paz.', 'answer': 'La Paz', 'candidate': 'Minneapolis'}
{'statement': 'Someone is looking for a city with warm weather. Between Bogotá and Fairbanks, this person should visit Bogotá.', 'answer': 'Bogotá', 'candidate': 'Fairbanks'}
