{'statement': "I'm looking for restaurants further away. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between Carole's Cheesecake Cafe and Anatolia Restaurant, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for restaurants further away. Between Juice & Java Cafe and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for restaurants further away. Between Juice & Java Cafe and Eastern legend, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Banjara Indian Cuisine and Kim PO Vietnamese, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Mirage Grill & Lounge and Branca, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "I'm looking for restaurants further away. Between Helena's Magic Kitchen and La Cocina De Dona Luz, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I'm looking for restaurants further away. Between Freshii and Popeyes Louisiana Kitchen, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I'm looking for restaurants further away. Between Breakfast Room and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Mamma's Pizza and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for restaurants further away. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for restaurants further away. Between La Pupusa Loka and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for restaurants further away. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between Dangerous Dan's Diner and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for restaurants further away. Between Eastern legend and The Empire, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'The Empire'}
{'statement': "I'm looking for restaurants further away. Between Grappa Ristorante and Basil Express Restaurant, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Chick Fiesta and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Chick Fiesta'}
{'statement': "I'm looking for restaurants further away. Between Helena's Magic Kitchen and Amaya Express, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Amaya Express'}
{'statement': "I'm looking for restaurants further away. Between Buk Chang Dong Soon Tofu and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and Sushi World, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "I'm looking for restaurants further away. Between La Pupusa Loka and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for restaurants further away. Between Nutella Cafe by Pusateri's and Chick Fiesta, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Chick Fiesta'}
