{'statement': 'Between London and Milan, the bigger city is London.', 'answer': 'London', 'candidate': 'Milan'}
{'statement': 'Between Lagos and Calgary, the bigger city is Lagos.', 'answer': 'Lagos', 'candidate': 'Calgary'}
{'statement': 'Between Douala and Reykjavík, the bigger city is Douala.', 'answer': 'Douala', 'candidate': 'Reykjavík'}
{'statement': 'Between Jakarta and Hanoi, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Hanoi'}
{'statement': 'Between Houston and Pretoria, the bigger city is Houston.', 'answer': 'Houston', 'candidate': 'Pretoria'}
{'statement': 'Between Karachi and Lusaka, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Lusaka'}
{'statement': 'Between Melbourne and Makurdi, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Makurdi'}
{'statement': 'Between Tashkent and Gabès, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Gabès'}
{'statement': 'Between Luanda and Toliara, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Toliara'}
{'statement': 'Between Guadalajara and Harare, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Harare'}
{'statement': 'Between Nairobi and Zagreb, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Zagreb'}
{'statement': 'Between Hanoi and Barranquilla, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Barranquilla'}
{'statement': 'Between Berlin and Ndola, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Ndola'}
{'statement': 'Between Ho Chi Minh City and Bratislava, the bigger city is Ho Chi Minh City.', 'answer': 'Ho Chi Minh City', 'candidate': 'Bratislava'}
{'statement': 'Between Ankara and Cayenne, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Cayenne'}
{'statement': 'Between Algiers and Chihuahua, the bigger city is Algiers.', 'answer': 'Algiers', 'candidate': 'Chihuahua'}
{'statement': 'Between Manila and Managua, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Managua'}
{'statement': 'Between Berlin and San Juan, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'San Juan'}
{'statement': 'Between Berlin and Córdoba, the bigger city is Berlin.', 'answer': 'Berlin', 'candidate': 'Córdoba'}
{'statement': 'Between Jakarta and Luanda, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Luanda'}
{'statement': 'Between Ankara and Brisbane, the bigger city is Ankara.', 'answer': 'Ankara', 'candidate': 'Brisbane'}
{'statement': 'Between Karachi and Alexandria, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Alexandria'}
{'statement': 'Between Phnom Penh and Port-Gentil, the bigger city is Phnom Penh.', 'answer': 'Phnom Penh', 'candidate': 'Port-Gentil'}
{'statement': 'Between Paris and Juba, the bigger city is Paris.', 'answer': 'Paris', 'candidate': 'Juba'}
{'statement': 'Between Santiago and Indianapolis, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Indianapolis'}
{'statement': 'Between Buenos Aires and Frankfurt, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Frankfurt'}
{'statement': 'Between Manila and Ankara, the bigger city is Manila.', 'answer': 'Manila', 'candidate': 'Ankara'}
{'statement': 'Between Guadalajara and Manaus, the bigger city is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Manaus'}
{'statement': 'Between Bangkok and Entebbe, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Entebbe'}
{'statement': 'Between Lima and Rome, the bigger city is Lima.', 'answer': 'Lima', 'candidate': 'Rome'}
{'statement': 'Between London and Mendoza, the bigger city is London.', 'answer': 'London', 'candidate': 'Mendoza'}
{'statement': 'Between Dar es Salaam and Bucharest, the bigger city is Dar es Salaam.', 'answer': 'Dar es Salaam', 'candidate': 'Bucharest'}
{'statement': 'Between Bangkok and Canberra, the bigger city is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Canberra'}
{'statement': 'Between Tashkent and Beirut, the bigger city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Beirut'}
{'statement': 'Between Santiago and Reykjavík, the bigger city is Santiago.', 'answer': 'Santiago', 'candidate': 'Reykjavík'}
{'statement': 'Between Nairobi and Ljubljana, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Ljubljana'}
{'statement': 'Between Mexico City and Fukuoka, the bigger city is Mexico City.', 'answer': 'Mexico City', 'candidate': 'Fukuoka'}
{'statement': 'Between Bogotá and Bergen, the bigger city is Bogotá.', 'answer': 'Bogotá', 'candidate': 'Bergen'}
{'statement': 'Between Mumbai and Rangpur, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Rangpur'}
