{'statement': 'You are looking for a small city to visit. Between Addis Ababa and Cotonou, you should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Addis Ababa'}
{'statement': 'You are looking for a small city to visit. Between Chicago and Baku, you should visit Baku.', 'answer': 'Baku', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Medellín and Garoua, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Medellín'}
{'statement': 'You are looking for a small city to visit. Between Perth and Suwałki, you should visit Suwałki.', 'answer': 'Suwałki', 'candidate': 'Perth'}
{'statement': 'You are looking for a small city to visit. Between Los Angeles and Lomé, you should visit Lomé.', 'answer': 'Lomé', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Houston and Bishkek, you should visit Bishkek.', 'answer': 'Bishkek', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Paris and Cape Town, you should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Paris'}
{'statement': 'You are looking for a small city to visit. Between Melbourne and Ouahigouya, you should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Melbourne'}
{'statement': 'You are looking for a small city to visit. Between Guadalajara and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Nairobi and Pretoria, you should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Nairobi'}
{'statement': 'You are looking for a small city to visit. Between London and Bujumbura, you should visit Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'London'}
{'statement': 'You are looking for a small city to visit. Between Saint Petersburg and Novosibirsk, you should visit Novosibirsk.', 'answer': 'Novosibirsk', 'candidate': 'Saint Petersburg'}
{'statement': 'You are looking for a small city to visit. Between Luanda and Podgorica, you should visit Podgorica.', 'answer': 'Podgorica', 'candidate': 'Luanda'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Belgrade, you should visit Belgrade.', 'answer': 'Belgrade', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Houston and Ouahigouya, you should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Houston'}
{'statement': 'You are looking for a small city to visit. Between Fukuoka and Nouadhibou, you should visit Nouadhibou.', 'answer': 'Nouadhibou', 'candidate': 'Fukuoka'}
{'statement': 'You are looking for a small city to visit. Between Sydney and Garoua, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Sydney'}
{'statement': 'You are looking for a small city to visit. Between Kabul and Garissa, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Kabul'}
{'statement': 'You are looking for a small city to visit. Between Mexico City and Changsha, you should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Mexico City'}
{'statement': 'You are looking for a small city to visit. Between Kunming and Nur-Sultan, you should visit Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Kunming'}
{'statement': 'You are looking for a small city to visit. Between Mumbai and Ouahigouya, you should visit Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Sydney and Kuopio, you should visit Kuopio.', 'answer': 'Kuopio', 'candidate': 'Sydney'}
{'statement': 'You are looking for a small city to visit. Between Ankara and Cotonou, you should visit Cotonou.', 'answer': 'Cotonou', 'candidate': 'Ankara'}
{'statement': 'You are looking for a small city to visit. Between Riyadh and Erbil, you should visit Erbil.', 'answer': 'Erbil', 'candidate': 'Riyadh'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Makurdi, you should visit Makurdi.', 'answer': 'Makurdi', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Los Angeles and Changsha, you should visit Changsha.', 'answer': 'Changsha', 'candidate': 'Los Angeles'}
