{'statement': "I don't like hot weather. Between Barranquilla and Sacramento, I should visit Sacramento.", 'answer': 'Sacramento', 'candidate': 'Barranquilla'}
{'statement': "I don't like hot weather. Between Suva and Minneapolis, I should visit Minneapolis.", 'answer': 'Minneapolis', 'candidate': 'Suva'}
{'statement': "I don't like hot weather. Between Port Sudan and Buenos Aires, I should visit Buenos Aires.", 'answer': 'Buenos Aires', 'candidate': 'Port Sudan'}
{'statement': "I don't like hot weather. Between Wau and Bratislava, I should visit Bratislava.", 'answer': 'Bratislava', 'candidate': 'Wau'}
{'statement': "I don't like hot weather. Between Ho Chi Minh City and Ushuaia, I should visit Ushuaia.", 'answer': 'Ushuaia', 'candidate': 'Ho Chi Minh City'}
{'statement': "I don't like hot weather. Between Managua and Napier, I should visit Napier.", 'answer': 'Napier', 'candidate': 'Managua'}
{'statement': "I don't like hot weather. Between Bamako and Milwaukee, I should visit Milwaukee.", 'answer': 'Milwaukee', 'candidate': 'Bamako'}
{'statement': "I don't like hot weather. Between Shanghai and Ottawa, I should visit Ottawa.", 'answer': 'Ottawa', 'candidate': 'Shanghai'}
{'statement': "I don't like hot weather. Between Willemstad and Vienna, I should visit Vienna.", 'answer': 'Vienna', 'candidate': 'Willemstad'}
{'statement': "I don't like hot weather. Between Bujumbura and Ljubljana, I should visit Ljubljana.", 'answer': 'Ljubljana', 'candidate': 'Bujumbura'}
{'statement': "I don't like hot weather. Between Guangzhou and Almaty, I should visit Almaty.", 'answer': 'Almaty', 'candidate': 'Guangzhou'}
{'statement': "I don't like hot weather. Between Porto Alegre and Copenhagen, I should visit Copenhagen.", 'answer': 'Copenhagen', 'candidate': 'Porto Alegre'}
{'statement': "I don't like hot weather. Between Luanda and Ürümqi, I should visit Ürümqi.", 'answer': 'Ürümqi', 'candidate': 'Luanda'}
{'statement': "I don't like hot weather. Between San Juan and Addis Ababa, I should visit Addis Ababa.", 'answer': 'Addis Ababa', 'candidate': 'San Juan'}
{'statement': "I don't like hot weather. Between Valencia and Saint Petersburg, I should visit Saint Petersburg.", 'answer': 'Saint Petersburg', 'candidate': 'Valencia'}
{'statement': "I don't like hot weather. Between Wau and Anchorage, I should visit Anchorage.", 'answer': 'Anchorage', 'candidate': 'Wau'}
{'statement': "I don't like hot weather. Between Mombasa and Toluca, I should visit Toluca.", 'answer': 'Toluca', 'candidate': 'Mombasa'}
{'statement': "I don't like hot weather. Between Dodoma and Saskatoon, I should visit Saskatoon.", 'answer': 'Saskatoon', 'candidate': 'Dodoma'}
{'statement': "I don't like hot weather. Between Bujumbura and Indianapolis, I should visit Indianapolis.", 'answer': 'Indianapolis', 'candidate': 'Bujumbura'}
{'statement': "I don't like hot weather. Between Lusaka and Zürich, I should visit Zürich.", 'answer': 'Zürich', 'candidate': 'Lusaka'}
{'statement': "I don't like hot weather. Between Honolulu and Rome, I should visit Rome.", 'answer': 'Rome', 'candidate': 'Honolulu'}
{'statement': "I don't like hot weather. Between Mumbai and Cape Town, I should visit Cape Town.", 'answer': 'Cape Town', 'candidate': 'Mumbai'}
{'statement': "I don't like hot weather. Between Kunming and Erzurum, I should visit Erzurum.", 'answer': 'Erzurum', 'candidate': 'Kunming'}
{'statement': "I don't like hot weather. Between Perth and Nur-Sultan, I should visit Nur-Sultan.", 'answer': 'Nur-Sultan', 'candidate': 'Perth'}
{'statement': "I don't like hot weather. Between Barranquilla and Yakutsk, I should visit Yakutsk.", 'answer': 'Yakutsk', 'candidate': 'Barranquilla'}
{'statement': "I don't like hot weather. Between Lusaka and Kuopio, I should visit Kuopio.", 'answer': 'Kuopio', 'candidate': 'Lusaka'}
{'statement': "I don't like hot weather. Between Managua and Reykjavík, I should visit Reykjavík.", 'answer': 'Reykjavík', 'candidate': 'Managua'}
{'statement': "I don't like hot weather. Between Mandalay and Zürich, I should visit Zürich.", 'answer': 'Zürich', 'candidate': 'Mandalay'}
{'statement': "I don't like hot weather. Between Guadalajara and Chicago, I should visit Chicago.", 'answer': 'Chicago', 'candidate': 'Guadalajara'}
{'statement': "I don't like hot weather. Between San Juan and Palmerston North, I should visit Palmerston North.", 'answer': 'Palmerston North', 'candidate': 'San Juan'}
{'statement': "I don't like hot weather. Between Hat Yai and Campos do Jordão, I should visit Campos do Jordão.", 'answer': 'Campos do Jordão', 'candidate': 'Hat Yai'}
{'statement': "I don't like hot weather. Between Tamanrasset and Zagreb, I should visit Zagreb.", 'answer': 'Zagreb', 'candidate': 'Tamanrasset'}
{'statement': "I don't like hot weather. Between Willemstad and Kuopio, I should visit Kuopio.", 'answer': 'Kuopio', 'candidate': 'Willemstad'}
{'statement': "I don't like hot weather. Between Baghdad and Dublin, I should visit Dublin.", 'answer': 'Dublin', 'candidate': 'Baghdad'}
{'statement': "I don't like hot weather. Between Nouakchott and Rome, I should visit Rome.", 'answer': 'Rome', 'candidate': 'Nouakchott'}
{'statement': "I don't like hot weather. Between Rangpur and Milan, I should visit Milan.", 'answer': 'Milan', 'candidate': 'Rangpur'}
{'statement': "I don't like hot weather. Between Phnom Penh and Christchurch, I should visit Christchurch.", 'answer': 'Christchurch', 'candidate': 'Phnom Penh'}
{'statement': "I don't like hot weather. Between Caracas and Murmansk, I should visit Murmansk.", 'answer': 'Murmansk', 'candidate': 'Caracas'}
{'statement': "I don't like hot weather. Between Kingston and Johannesburg, I should visit Johannesburg.", 'answer': 'Johannesburg', 'candidate': 'Kingston'}
{'statement': "I don't like hot weather. Between Suva and Melbourne, I should visit Melbourne.", 'answer': 'Melbourne', 'candidate': 'Suva'}
{'statement': "I don't like hot weather. Between Cotonou and Sapporo, I should visit Sapporo.", 'answer': 'Sapporo', 'candidate': 'Cotonou'}
{'statement': "I don't like hot weather. Between Valencia and Halifax, I should visit Halifax.", 'answer': 'Halifax', 'candidate': 'Valencia'}
{'statement': "I don't like hot weather. Between Port Moresby and Sapporo, I should visit Sapporo.", 'answer': 'Sapporo', 'candidate': 'Port Moresby'}
{'statement': "I don't like hot weather. Between Thiès and Frankfurt, I should visit Frankfurt.", 'answer': 'Frankfurt', 'candidate': 'Thiès'}
{'statement': "I don't like hot weather. Between Ljubljana and Yakutsk, I should visit Yakutsk.", 'answer': 'Yakutsk', 'candidate': 'Ljubljana'}
{'statement': "I don't like hot weather. Between Lomé and Saskatoon, I should visit Saskatoon.", 'answer': 'Saskatoon', 'candidate': 'Lomé'}
{'statement': "I don't like hot weather. Between Upington and Irkutsk, I should visit Irkutsk.", 'answer': 'Irkutsk', 'candidate': 'Upington'}
{'statement': "I don't like hot weather. Between Nouadhibou and Halifax, I should visit Halifax.", 'answer': 'Halifax', 'candidate': 'Nouadhibou'}
