{'statement': 'You are looking for a small city to visit. Between Guadalajara and Kansas City, you should visit Kansas City.', 'answer': 'Kansas City', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Guadalajara and Dodoma, you should visit Dodoma.', 'answer': 'Dodoma', 'candidate': 'Guadalajara'}
{'statement': 'You are looking for a small city to visit. Between Toronto and Minneapolis, you should visit Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Toronto'}
{'statement': 'You are looking for a small city to visit. Between Bangkok and Garissa, you should visit Garissa.', 'answer': 'Garissa', 'candidate': 'Bangkok'}
{'statement': 'You are looking for a small city to visit. Between Mumbai and Mahajanga, you should visit Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Mumbai'}
{'statement': 'You are looking for a small city to visit. Between Shanghai and Cape Town, you should visit Cape Town.', 'answer': 'Cape Town', 'candidate': 'Shanghai'}
{'statement': 'You are looking for a small city to visit. Between Bogotá and Douala, you should visit Douala.', 'answer': 'Douala', 'candidate': 'Bogotá'}
{'statement': 'You are looking for a small city to visit. Between Brasília and Campos do Jordão, you should visit Campos do Jordão.', 'answer': 'Campos do Jordão', 'candidate': 'Brasília'}
{'statement': 'You are looking for a small city to visit. Between Hanoi and Asmara, you should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Hanoi'}
{'statement': 'You are looking for a small city to visit. Between Moscow and Napier, you should visit Napier.', 'answer': 'Napier', 'candidate': 'Moscow'}
{'statement': 'You are looking for a small city to visit. Between Denver and Upington, you should visit Upington.', 'answer': 'Upington', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Chicago and Murmansk, you should visit Murmansk.', 'answer': 'Murmansk', 'candidate': 'Chicago'}
{'statement': 'You are looking for a small city to visit. Between Alexandria and Garoua, you should visit Garoua.', 'answer': 'Garoua', 'candidate': 'Alexandria'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and San José, you should visit San José.', 'answer': 'San José', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Los Angeles and Palermo, you should visit Palermo.', 'answer': 'Palermo', 'candidate': 'Los Angeles'}
{'statement': 'You are looking for a small city to visit. Between Denver and Bergen, you should visit Bergen.', 'answer': 'Bergen', 'candidate': 'Denver'}
{'statement': 'You are looking for a small city to visit. Between Lahore and Asmara, you should visit Asmara.', 'answer': 'Asmara', 'candidate': 'Lahore'}
{'statement': 'You are looking for a small city to visit. Between Monterrey and Kathmandu, you should visit Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Monterrey'}
{'statement': 'You are looking for a small city to visit. Between Guangzhou and Tampa, you should visit Tampa.', 'answer': 'Tampa', 'candidate': 'Guangzhou'}
{'statement': 'You are looking for a small city to visit. Between Buenos Aires and Yakutsk, you should visit Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Buenos Aires'}
{'statement': 'You are looking for a small city to visit. Between Lima and Baltimore, you should visit Baltimore.', 'answer': 'Baltimore', 'candidate': 'Lima'}
{'statement': 'You are looking for a small city to visit. Between Lima and Irkutsk, you should visit Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Lima'}
{'statement': 'You are looking for a small city to visit. Between Beijing and Pretoria, you should visit Pretoria.', 'answer': 'Pretoria', 'candidate': 'Beijing'}
