{'statement': "I don't like the restaurants nearby. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Carole's Cheesecake Cafe and Anatolia Restaurant, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like the restaurants nearby. Between EJ Sushi and Harry's Char Broil & Dining Lounge, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like the restaurants nearby. Between Hawthorne Food and Drink and Juice & Java Cafe, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I don't like the restaurants nearby. Between Eastern legend and Juice & Java Cafe, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Banjara Indian Cuisine and Kim PO Vietnamese, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Mirage Grill & Lounge and Branca, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Branca'}
{'statement': "I don't like the restaurants nearby. Between La Cocina De Dona Luz and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'La Cocina De Dona Luz'}
{'statement': "I don't like the restaurants nearby. Between Freshii and Popeyes Louisiana Kitchen, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like the restaurants nearby. Between Breakfast Room and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like the restaurants nearby. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like the restaurants nearby. Between La Pupusa Loka and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like the restaurants nearby. Between Warung Indonesia D'Eglinton and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like the restaurants nearby. Between Dangerous Dan's Diner and Tierra Azteca, I should go to Tierra Azteca.", 'answer': 'Tierra Azteca', 'candidate': "Dangerous Dan's Diner"}
