{'statement': 'Between Suva and Berlin, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Berlin'}
{'statement': 'Between Baghdad and Halifax, the city with higher average temperature is Baghdad.', 'answer': 'Baghdad', 'candidate': 'Halifax'}
{'statement': 'Between Abéché and Kuopio, the city with higher average temperature is Abéché.', 'answer': 'Abéché', 'candidate': 'Kuopio'}
{'statement': 'Between Garoua and Milan, the city with higher average temperature is Garoua.', 'answer': 'Garoua', 'candidate': 'Milan'}
{'statement': 'Between Riyadh and Indianapolis, the city with higher average temperature is Riyadh.', 'answer': 'Riyadh', 'candidate': 'Indianapolis'}
{'statement': 'Between Lagos and Podgorica, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Podgorica'}
{'statement': 'Between Mexicali and Milan, the city with higher average temperature is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Milan'}
{'statement': 'Between Mendoza and Irkutsk, the city with higher average temperature is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Irkutsk'}
{'statement': 'Between San Juan and Baltimore, the city with higher average temperature is San Juan.', 'answer': 'San Juan', 'candidate': 'Baltimore'}
{'statement': 'Between Garissa and Chicago, the city with higher average temperature is Garissa.', 'answer': 'Garissa', 'candidate': 'Chicago'}
{'statement': 'Between Pontianak and Moscow, the city with higher average temperature is Pontianak.', 'answer': 'Pontianak', 'candidate': 'Moscow'}
{'statement': 'Between Yaoundé and Minsk, the city with higher average temperature is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Minsk'}
{'statement': 'Between Mahajanga and Lhasa, the city with higher average temperature is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Lhasa'}
{'statement': 'Between Ouahigouya and Palmerston North, the city with higher average temperature is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Palmerston North'}
{'statement': 'Between Hat Yai and Brussels, the city with higher average temperature is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Brussels'}
{'statement': 'Between Yaoundé and Vladivostok, the city with higher average temperature is Yaoundé.', 'answer': 'Yaoundé', 'candidate': 'Vladivostok'}
{'statement': 'Between Rangpur and Ürümqi, the city with higher average temperature is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Ürümqi'}
{'statement': 'Between San Salvador and Berlin, the city with higher average temperature is San Salvador.', 'answer': 'San Salvador', 'candidate': 'Berlin'}
{'statement': 'Between Nouakchott and Chicago, the city with higher average temperature is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Chicago'}
{'statement': 'Between Phoenix and Zagreb, the city with higher average temperature is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Zagreb'}
{'statement': 'Between Malabo and Christchurch, the city with higher average temperature is Malabo.', 'answer': 'Malabo', 'candidate': 'Christchurch'}
{'statement': 'Between Belize City and Antofagasta, the city with higher average temperature is Belize City.', 'answer': 'Belize City', 'candidate': 'Antofagasta'}
{'statement': 'Between La Paz and Hobart, the city with higher average temperature is La Paz.', 'answer': 'La Paz', 'candidate': 'Hobart'}
{'statement': 'Between Palembang and Halifax, the city with higher average temperature is Palembang.', 'answer': 'Palembang', 'candidate': 'Halifax'}
{'statement': 'Between Lomé and Napier, the city with higher average temperature is Lomé.', 'answer': 'Lomé', 'candidate': 'Napier'}
{'statement': 'Between Suva and Bucharest, the city with higher average temperature is Suva.', 'answer': 'Suva', 'candidate': 'Bucharest'}
{'statement': 'Between Antsiranana and Nur-Sultan, the city with higher average temperature is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Mumbai and Nur-Sultan, the city with higher average temperature is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Nur-Sultan'}
{'statement': 'Between Lagos and Anchorage, the city with higher average temperature is Lagos.', 'answer': 'Lagos', 'candidate': 'Anchorage'}
{'statement': 'Between Garoua and Pittsburgh, the city with higher average temperature is Garoua.', 'answer': 'Garoua', 'candidate': 'Pittsburgh'}
{'statement': 'Between Barranquilla and Sacramento, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Sacramento'}
{'statement': 'Between Muscat and Vienna, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Vienna'}
{'statement': 'Between Kingston and Yerevan, the city with higher average temperature is Kingston.', 'answer': 'Kingston', 'candidate': 'Yerevan'}
{'statement': 'Between Brasília and Moscow, the city with higher average temperature is Brasília.', 'answer': 'Brasília', 'candidate': 'Moscow'}
{'statement': 'Between Juba and Christchurch, the city with higher average temperature is Juba.', 'answer': 'Juba', 'candidate': 'Christchurch'}
{'statement': 'Between Bujumbura and Saskatoon, the city with higher average temperature is Bujumbura.', 'answer': 'Bujumbura', 'candidate': 'Saskatoon'}
{'statement': 'Between Niamey and Ljubljana, the city with higher average temperature is Niamey.', 'answer': 'Niamey', 'candidate': 'Ljubljana'}
{'statement': 'Between Toamasina and Bucharest, the city with higher average temperature is Toamasina.', 'answer': 'Toamasina', 'candidate': 'Bucharest'}
{'statement': 'Between Cairo and Novosibirsk, the city with higher average temperature is Cairo.', 'answer': 'Cairo', 'candidate': 'Novosibirsk'}
{'statement': 'Between Muscat and Addis Ababa, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Addis Ababa'}
{'statement': 'Between Erbil and Minsk, the city with higher average temperature is Erbil.', 'answer': 'Erbil', 'candidate': 'Minsk'}
{'statement': 'Between Wau and Ürümqi, the city with higher average temperature is Wau.', 'answer': 'Wau', 'candidate': 'Ürümqi'}
{'statement': 'Between Cabo San Lucas and Minneapolis, the city with higher average temperature is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Minneapolis'}
{'statement': 'Between Guadalajara and Berlin, the city with higher average temperature is Guadalajara.', 'answer': 'Guadalajara', 'candidate': 'Berlin'}
{'statement': 'Between Barranquilla and Copenhagen, the city with higher average temperature is Barranquilla.', 'answer': 'Barranquilla', 'candidate': 'Copenhagen'}
{'statement': 'Between Monterrey and Erzurum, the city with higher average temperature is Monterrey.', 'answer': 'Monterrey', 'candidate': 'Erzurum'}
{'statement': 'Between Bamako and Lviv, the city with higher average temperature is Bamako.', 'answer': 'Bamako', 'candidate': 'Lviv'}
{'statement': 'Between Tabora and Dublin, the city with higher average temperature is Tabora.', 'answer': 'Tabora', 'candidate': 'Dublin'}
{'statement': 'Between Auckland and Novosibirsk, the city with higher average temperature is Auckland.', 'answer': 'Auckland', 'candidate': 'Novosibirsk'}
{'statement': 'Between Harare and Reykjavík, the city with higher average temperature is Harare.', 'answer': 'Harare', 'candidate': 'Reykjavík'}
{'statement': 'Between Muscat and Rabat, the city with higher average temperature is Muscat.', 'answer': 'Muscat', 'candidate': 'Rabat'}
{'statement': 'Between Conakry and Ushuaia, the city with higher average temperature is Conakry.', 'answer': 'Conakry', 'candidate': 'Ushuaia'}
